Science and Engineering, Research Institution Collaboration Flow, Collaborations, long_tail
Source,Target,Value
Adriantown College,Parker University,91
Parker University,Adriantown College,44
Herman Research Center,Parker University,31
Parker University,Herman Research Center,23
Odonnell Laboratory,Parker University,19
Parker University,Odonnell Laboratory,15
Fleming-Rosario Academy,Parker University,13
Parker University,Fleming-Rosario Academy,11
Herman Research Center,Adriantown College,9
Adriantown College,Herman Research Center,8
Fleming-Rosario Academy,Odonnell Laboratory,10
Odonnell Laboratory,Fleming-Rosario Academy,7
