Science and Engineering, Research Institution Collaboration Flow, Collaborations, random
Source,Target,Value
Royal Academy,Alex Laboratory,46
Alex Laboratory,Royal Academy,6
Herman Research Center,Alex Laboratory,11
Alex Laboratory,Herman Research Center,54
Fleming-Rosario Academy,Royal Academy,27
Royal Academy,Fleming-Rosario Academy,48
Herman Research Center,Williams University,23
Williams University,Herman Research Center,56
Fleming-Rosario Academy,Alex Laboratory,40
Alex Laboratory,Fleming-Rosario Academy,22
Alex Laboratory,Williams University,52
Williams University,Alex Laboratory,9
