Sports and Entertainment, Basketball Team Fans Migration, Thousand Fans, linear
Source,Target,Value
South Stars,New Chiefs,401
New Chiefs,South Stars,374
Fosterborough Stars,South Stars,336
South Stars,Fosterborough Stars,327
Fosterborough Stars,Edwardsborough Bulls,302
Edwardsborough Bulls,Fosterborough Stars,263
Rebeccaview Dolphins,New Chiefs,241
New Chiefs,Rebeccaview Dolphins,212
Fosterborough Stars,New Chiefs,202
New Chiefs,Fosterborough Stars,162
New Chiefs,Edwardsborough Bulls,141
Edwardsborough Bulls,New Chiefs,122
