Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
Castio,SceneX,MoviQ,Streamo,Showio
19680,17963,3822,8881,16676
25577,17320,3074,5445,15831
22773,20393,3125,6850,19200
21718,15966,4946,6491,22064
29909,13789,5472,9140,15109
29371,13728,3329,5166,16057
32500,13044,4575,5564,13560
32717,22581,4155,5191,13121
17742,16004,5559,6365,13295
24284,15648,6305,6150,16056
23558,22459,3276,7112,15097
16625,10167,3476,8097,12237
22071,16169,4473,7249,16942
18007,18202,3387,11214,11507
25436,11450,4843,6222,24837
20491,13207,5662,5932,14308
23135,12722,3822,8287,20107
15613,22388,3401,10225,28730
36142,10411,3777,7005,16295
16104,24705,3786,6777,33338
17267,11376,4228,5852,13390
22885,13461,5471,4958,18267
26351,19498,3126,4695,24257
19681,18409,3542,8240,13926
31730,13659,3718,7939,15100
32230,13172,3474,6126,17450
29654,15169,3835,15558,15082
23052,16871,5598,7324,14848
31566,21460,3258,4437,18567
23042,15595,3601,10345,17213
22133,19282,5497,6262,15159
22557,10471,3622,11918,14673
16277,10566,4180,4717,14785
17425,22654,5532,8358,19108
20421,15228,3887,8775,21945
23049,13350,3584,9328,13909
25515,22884,4318,7700,21379
21812,12803,4202,7656,18229
23368,14007,3572,7972,29067
23526,24462,4696,8294,10872
22347,15021,3895,6226,14892
15058,15325,4536,6657,11607
28503,21256,5491,8710,12142
24249,12497,4407,10914,18286
16432,30303,4299,6323,13327
21031,17990,3143,9222,19104
22610,13788,3466,4937,14829
23961,11565,4062,9724,23104
23264,19029,4778,5633,20381
16103,16587,4796,6820,23246
16640,23249,4033,5982,21300
20576,15987,4673,12160,12374
32032,29160,3326,6184,11921
30790,12745,4194,6494,16622
23955,13988,4141,5443,14276
20683,17364,6562,5792,22164
33293,12811,4642,4805,12671
17745,23112,5240,5774,14740
24992,12356,5453,5856,12237
20255,16589,5197,5320,15660
20476,15808,5572,8613,27824
21384,19895,3944,15198,14642
17241,17419,3217,8852,16296
30869,14664,4443,11760,14299
27005,10835,3828,5646,17680
23888,14941,4283,11218,17067
20889,16396,4018,5815,13209
29327,15715,3168,12806,15978
23098,13258,3263,11961,13903
15194,14296,3209,7854,14701
20557,10105,4589,7155,25588
25388,12857,3685,5737,12038
20513,15213,4632,6630,19739
24212,13163,3910,5969,11510
19171,14451,4123,10720,18757
16599,21850,3569,5748,19315
15613,17583,3971,7335,20375
36522,27270,5584,7625,14886
17388,12412,4422,7015,14637
32658,28428,3940,7352,16001
32466,17571,4226,9054,11077
23135,15545,3478,10267,16435
32751,17194,4013,9306,12355
23570,18113,3266,6560,16891
19283,11896,5067,11234,16291
24072,17182,3224,5819,13728
40129,15652,4861,10657,10549
19838,12322,3450,12304,26875
27411,11151,5026,7111,17484
23179,17656,4607,5603,27208
19783,18462,5237,8460,15673
34198,18520,3691,9066,12237
26024,23379,4875,8244,26767
24396,11814,5082,5603,12462
24020,11505,3945,6848,11659
32717,22330,4257,5927,15922
19243,13511,4162,5024,11736
28933,12942,3590,10838,28225
26356,13534,5964,9250,21392
23591,16340,4476,5573,16849
25377,16752,3350,11779,19022
30742,23602,3543,13146,22131
22232,12642,5055,7639,19662
21203,10384,3369,7007,13853
26240,23100,3193,7555,29048
30537,12806,5751,4634,32025
16694,11289,3813,6058,17425
18899,18083,5360,7726,18479
28360,14344,5424,9316,14015
17178,23990,5338,5691,28750
18375,18617,3293,10070,10792
14448,27024,3580,6080,18827
17174,13934,4151,9408,17599
21222,17693,3352,5341,13196
19372,29188,3373,4930,20337
22029,16997,3606,15950,12168
24440,13911,3250,11373,15204
23418,13311,4013,9257,12328
