Human Resources and Employee Management, Salary of Employees in Different Cities, USD, t
Brookfield,Zephyr,Quarryville
43675,49109,53293
35311,23114,51649
28195,61549,44438
65561,7804,17108
38055,50301,61668
36437,59094,32949
52684,50243,21756
60774,47225,52161
56181,98272,42935
38157,41445,39072
57920,45870,16888
41796,34263,35593
55418,10472,42467
47822,42872,11613
26206,46668,64257
64800,42441,59374
44930,26600,12346
51319,39937,30443
62617,55985,33626
26107,27630,24534
67108,45570,27865
36480,89189,58304
55993,56658,39751
51974,27062,42941
60945,31419,67982
33030,46015,36687
61888,65649,37769
40500,34433,32247
49066,61216,49266
57691,61519,33860
52847,75749,50000
23573,72522,56207
49441,54476,32180
63562,29509,51821
11274,30654,62644
46030,53422,33744
35239,67950,38494
64099,43917,51252
55749,14258,5160
50627,37391,13240
50268,34984,36171
62112,35972,43569
30594,41428,36819
50526,48203,16706
49225,60822,30229
44420,64064,57961
56226,62684,40007
53064,48630,50579
51940,17433,26009
56304,41163,30167
43825,49560,58242
61265,50171,73241
52281,65519,31560
38000,47552,39240
32336,60676,42965
67518,17285,33151
32008,22639,44379
48485,49730,19085
43853,41535,31732
47235,67232,21679
63811,20916,9768
45131,17742,42755
46369,6394,30630
40690,37925,30613
50054,36680,32411
41248,59944,40812
33423,23064,43602
48413,54214,3127
45675,49720,35549
45859,63053,21811
41781,57697,38445
50318,35009,53
64051,39620,28853
39813,60315,38139
34268,39867,39890
52573,37178,34772
34051,68248,30970
49099,48256,22978
49444,31693,42744
36664,26314,30117
53360,49054,47090
59030,38843,41017
43359,54708,44748
57542,71070,53908
56392,58225,41892
52803,16824,36226
54048,19610,30790
58250,50802,38962
40709,82689,24769
39200,32231,34338
42970,83796,22828
64957,68717,22113
48784,67834,39189
19223,29644,66776
64981,58523,41968
44558,37267,59096
44163,69351,25224
69491,75155,37076
40520,43979,61404
48809,33349,65900
52948,73850,42321
57065,13609,61745
61814,63047,56395
50347,11341,38947
50805,16125,36657
45642,61944,51275
70180,20396,50591
48400,44470,32483
38925,46213,41490
44591,42452,27956
15791,42629,44672
56468,54489,29538
59299,48208,38815
47791,39597,62129
52911,23879,47362
34694,39403,6302
45084,42176,34748
35078,58621,27976
