Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, normal
Oats,Cotton
6904,5264
6255,5530
9004,9765
8177,7552
6544,11607
4797,9963
7210,4932
6836,3559
5769,8087
7364,5637
7122,7890
6178,4498
7336,3527
7891,5978
6899,4523
7657,7001
7619,3747
6422,10874
7956,6800
6828,8583
7318,8356
6390,6706
7490,5898
8016,2635
7383,7870
6900,8323
6108,8513
7050,6929
6418,9649
7439,7157
7640,3396
6767,8804
7380,6284
7284,7313
7122,4502
6147,7569
6538,7854
7269,8568
5687,10570
7238,9485
5192,8498
7986,6747
6901,4376
6377,4745
5925,7535
8078,5334
7206,10245
7444,4681
7584,5217
8280,9062
7532,6115
8289,5398
7026,7371
7251,5525
7720,7263
6816,6546
7260,3777
6355,7578
5713,6736
5651,7058
6944,9806
8567,6310
6399,5213
8383,6350
5810,6567
8204,5884
8758,5171
7165,6083
4593,4765
8513,9324
6680,5479
8104,5436
6121,9368
6125,6361
7687,10469
7498,7808
8206,9746
6079,5760
6064,7424
7423,3070
6622,5929
6879,5693
7328,7618
4722,10764
5472,8701
7675,7729
8898,6994
7540,8465
6630,4262
6413,6799
5963,6304
8066,5060
6499,4463
5938,10667
7286,5542
9453,9624
8058,6651
9392,6050
6812,5265
7593,4458
6138,4916
7313,6155
5964,7201
7940,8318
7732,2102
6295,6646
8245,9670
7655,8011
7852,7998
7023,4287
8602,6053
6722,5076
9138,9855
6689,6846
6324,5152
6783,8012
7604,7937
5873,7928
