Education and Academics, Data on employment rates in different schools, %, t
Sunnyvale Prep,Lakewood Institute,Eastwood Prep,Silverton High,Meadowbrook High
88.55,82.64,73.21,84.68,85.48
84.6,90.11,78.41,82.02,83.66
85.74,89.08,74.55,82.54,87.41
89.57,86.25,83.09,82.51,82.62
85.36,88.24,79.42,87.64,85.87
83.4,93.26,76.04,82.79,83.02
86.13,95.58,80.99,84.62,84.22
85.06,80.58,84.01,82.18,82.29
86.44,92.53,74.6,79.73,79.19
86.15,87.3,83.33,85.74,84.83
90.64,89.24,81.87,83.1,83.78
84.36,92.47,86.35,82.88,82.26
87.69,82.26,83.14,85.84,81.45
87.81,88.07,81.85,82.01,82.1
85.11,83.85,78.53,79.05,86.23
82.32,88.57,78.81,83.52,82.59
87.48,88.85,74.68,80.81,81.58
87.48,85.4,83.7,84.13,84.94
82.72,94.72,79.81,83.19,79.68
87.14,95.92,81.42,84.87,78.67
84.93,75.55,81.44,87.95,83.19
83.97,89.59,87.62,81.81,74.87
83.01,87.57,83.38,81.24,80.59
90.78,95.22,77.69,83.59,81.17
93.95,87.91,82.36,82.91,77.62
86.09,84.03,77.78,81.39,84.48
85.62,88.97,86.06,81.5,83.21
87.07,92.72,81.07,85.02,83.04
87.5,85.47,77.28,80.82,84.01
85.27,85.39,82.55,82.4,83.97
84.38,85.26,80.01,82.72,83.67
84.78,102.35,79.04,82.72,84.8
87.6,90.61,85.92,82.63,88.29
87.65,82.98,82.18,84.75,82.27
83.81,83.95,78.89,79.39,80.41
89.13,85.84,79.46,80.88,80.43
88.2,92.17,83.83,86.74,87.82
83.63,88.77,77.21,85.72,80.6
83.56,91.9,78.91,78.06,84.52
84.81,102.83,80.16,81.57,86.42
88.94,88.21,80.38,81.66,88.63
85.17,84.24,81.53,90.61,87.47
88.14,85.86,79.61,83.63,81.6
84.47,87.05,80.63,77.37,83.86
85.29,79.18,83.71,84.1,80.69
84.78,84.82,77.35,83.06,84.33
87.14,91.8,79.61,85.39,86.4
86.6,87.51,85.04,85.81,83.1
86.91,89.25,78.35,84.99,86.22
88.22,97.76,77.44,82.63,83.8
88.13,95.04,78.7,88.87,83.23
85.65,96.25,77.82,78.45,85.84
87.78,84.32,81.93,85.35,85.06
87.38,92.61,80.4,82.74,88.75
87.66,88.87,81.78,84.42,84.35
81.28,88.58,76.31,85.22,88.38
85.2,91.39,73.94,80.53,88.93
85.36,91.74,82.28,81.51,82.84
89.21,85.29,79.28,79.35,82.95
85.39,84.27,78.89,80.78,84.42
84.27,90.14,76.55,79.52,81.6
87.69,85.48,83.27,85.34,81.49
86.38,84.23,81.49,81.08,81.3
84.49,87.29,80.09,79.71,86.15
87.54,95.5,72.93,84.93,97.14
89.7,83.12,81.2,82.62,80.92
85.31,93.17,79.61,82.75,86.33
85.94,90.27,71.76,83.83,88.63
86.07,89.11,79.12,78.27,82.85
89.98,89.94,74.97,81.47,84.47
88.22,87.04,81.44,81.03,81.32
80.72,84.83,80.08,85.49,86.44
82.34,96.42,77.0,86.55,83.46
83.41,87.93,83.2,80.06,84.37
86.72,92.02,74.21,83.04,83.38
90.24,89.73,78.33,83.84,86.35
81.77,94.3,79.55,83.23,88.63
85.61,88.56,75.81,83.19,86.56
86.0,96.03,80.47,84.35,80.56
87.9,94.32,78.91,82.68,84.77
83.35,93.03,86.35,83.83,76.44
87.29,94.43,80.46,84.85,87.83
83.86,79.11,79.32,85.02,81.84
83.92,87.95,83.0,89.51,84.01
83.13,90.71,81.14,84.53,92.26
85.53,93.14,80.0,81.66,78.3
86.7,101.46,82.61,79.44,83.2
82.62,91.33,74.85,85.37,69.43
89.7,90.28,79.0,80.31,84.68
83.29,83.81,80.54,83.71,83.54
85.04,84.61,79.39,82.6,80.69
84.81,84.5,72.81,83.51,79.81
87.92,80.95,79.8,85.43,84.51
84.53,88.21,79.51,85.96,84.95
85.54,77.05,83.73,76.21,78.2
84.32,88.26,82.0,84.09,80.29
82.5,86.82,83.96,81.2,82.58
85.04,87.3,78.05,84.47,80.19
87.07,90.95,82.23,82.74,84.69
83.65,96.11,81.45,77.96,81.71
88.57,87.76,83.43,80.93,77.99
84.43,78.13,79.44,89.3,81.17
86.55,83.26,77.42,82.82,84.39
84.43,88.02,77.56,79.59,81.58
85.46,82.91,76.32,82.59,86.52
84.4,94.83,77.16,82.59,80.6
84.99,80.03,77.78,85.31,81.63
89.82,93.54,81.91,80.32,82.9
88.83,87.39,79.09,81.95,84.21
86.95,83.89,73.67,81.07,79.66
85.17,90.64,83.17,81.81,85.65
84.41,85.7,76.19,83.7,91.93
85.11,87.45,76.9,84.23,84.82
87.69,87.59,76.19,84.75,86.39
91.43,99.09,85.97,81.68,86.06
87.5,89.93,74.83,83.43,84.96
84.21,99.17,78.14,84.67,86.14
88.13,83.29,82.3,80.18,77.2
84.05,94.85,79.56,80.14,72.37
84.09,89.56,83.81,82.75,80.06
