Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, skewed
Nightfall,Last Ember,Deep Waters,Empty Roads,Starlight
341,654,821,657,349
446,607,632,270,1197
852,891,553,620,778
500,303,1042,720,264
1187,302,439,615,357
383,1057,330,330,695
937,221,340,390,593
332,1656,617,150,535
345,1076,362,356,1074
697,999,380,386,2353
566,970,534,403,908
1140,543,780,312,676
752,926,242,640,968
1229,797,520,382,1069
533,1838,1330,928,1060
362,891,602,378,320
576,967,592,162,907
979,1167,772,270,541
539,155,505,467,687
829,508,265,384,991
985,1293,703,467,502
624,318,510,375,661
443,714,577,340,801
350,843,745,183,433
374,745,738,490,1454
192,900,1077,314,170
207,455,397,400,399
880,817,833,200,547
205,615,343,497,487
573,543,583,199,852
712,348,422,687,566
1004,765,431,330,819
727,1053,1326,669,433
595,704,434,1018,445
341,544,353,334,592
1244,1459,427,471,693
775,1071,456,588,1944
462,788,448,224,596
920,987,674,251,648
597,743,183,473,587
562,804,367,323,482
795,1387,1019,1052,553
683,653,694,402,333
258,212,725,306,1183
541,670,688,663,369
291,675,329,325,751
458,1434,550,262,1072
180,481,281,648,607
627,929,626,410,920
637,298,378,274,1006
379,665,896,562,1198
1085,616,929,321,1949
213,741,477,534,572
420,1276,416,336,388
773,1175,474,218,1682
1142,820,519,441,1411
543,299,955,645,347
418,475,788,506,1101
471,204,266,815,573
290,1385,777,212,624
294,353,604,138,1288
748,493,481,347,508
187,454,1146,366,777
385,488,392,474,371
589,279,532,373,611
446,525,855,391,717
832,1244,601,578,1422
288,312,289,365,855
123,646,816,247,712
548,586,222,812,1543
1042,261,586,231,557
519,631,906,586,1127
943,558,831,268,575
497,1116,209,229,908
488,614,595,212,351
426,673,203,230,370
849,719,368,237,412
405,468,1177,396,952
547,397,206,316,410
1352,321,888,1066,642
569,746,530,325,557
580,964,865,302,590
479,896,380,898,755
388,217,492,301,266
647,1196,1100,314,725
797,1168,478,314,681
1174,299,839,232,773
334,788,845,519,479
380,785,833,191,523
624,688,331,185,260
311,424,338,599,328
643,328,491,632,618
785,1166,690,381,403
321,1273,817,816,755
288,1013,279,311,284
606,415,1100,387,562
251,547,468,343,624
777,355,358,527,531
593,405,262,176,1174
983,713,1043,635,784
307,350,247,869,1043
590,473,1218,847,274
700,1345,693,441,1130
324,753,535,484,485
566,1231,468,1076,615
270,530,697,616,410
362,431,679,540,1253
659,585,480,218,921
612,206,256,393,632
759,998,613,747,572
265,837,703,605,359
790,700,482,289,1217
203,1031,183,575,727
243,258,286,519,759
284,944,246,454,546
419,532,452,338,978
738,547,732,285,719
585,930,224,499,406
