Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, t
Iron Heart,Last Ember,Echoes,Final Reckoning,Plain Sight,Frozen Time,Hidden Truth
513,504,537,583,607,676,492
590,655,467,295,422,464,524
580,572,495,632,565,644,561
560,655,408,450,588,444,398
537,556,455,589,506,721,635
612,661,487,409,364,538,758
568,611,409,572,564,576,412
516,469,640,582,566,330,488
630,736,402,306,421,621,572
618,728,685,402,695,708,693
665,545,451,715,564,625,650
329,465,313,608,540,523,765
568,637,251,522,509,434,385
724,651,524,459,561,670,624
622,591,436,276,491,649,606
564,599,239,468,491,599,610
550,445,532,421,629,487,683
414,594,350,274,419,601,546
617,562,327,625,410,517,749
605,721,423,302,479,332,335
669,598,361,379,518,452,561
552,504,345,391,700,367,518
545,287,436,344,521,433,480
581,636,384,627,565,669,548
417,588,610,624,413,419,511
622,433,394,535,543,530,525
589,532,411,362,466,653,651
585,394,397,459,339,530,662
491,517,446,432,445,547,725
760,514,291,490,501,361,549
492,615,304,502,468,272,404
679,602,527,338,334,598,224
583,623,346,379,401,405,578
506,511,497,438,559,408,641
657,719,508,573,633,474,555
593,521,271,733,539,601,676
542,487,396,360,490,495,672
607,546,312,787,517,618,621
526,397,349,231,663,636,616
590,637,355,394,640,475,630
609,576,547,279,627,398,679
676,550,506,482,604,81,610
664,496,452,346,554,562,648
666,602,356,231,635,562,722
737,598,461,513,596,377,504
645,670,456,398,485,401,538
440,626,405,554,391,498,735
670,550,333,446,587,576,531
347,442,424,419,668,661,630
681,548,555,538,568,504,595
612,569,311,414,386,569,544
763,507,384,395,535,267,634
658,560,152,425,562,638,645
476,619,439,371,377,507,581
553,452,469,485,412,481,587
483,615,329,709,645,529,494
563,593,529,574,379,591,621
489,604,129,365,397,690,597
602,433,139,434,629,372,609
497,583,414,252,519,490,505
573,586,410,380,517,509,520
542,463,487,370,523,548,571
583,412,295,807,461,553,605
685,578,263,301,644,610,552
705,487,350,461,550,485,594
730,531,364,308,205,467,715
604,544,404,503,405,562,659
649,535,375,545,551,510,630
598,520,425,630,551,476,722
628,575,290,300,613,366,604
648,418,244,251,357,478,616
690,583,633,557,207,313,734
597,611,496,317,519,294,594
725,604,362,410,297,389,657
558,489,561,494,381,425,428
616,556,229,509,492,495,650
597,390,578,151,547,481,811
677,620,399,466,517,446,731
589,515,458,321,471,415,745
593,532,417,470,549,428,593
489,521,410,338,529,350,410
675,579,490,383,419,584,657
603,429,555,396,531,611,713
506,618,154,449,481,669,570
559,459,322,614,506,490,406
678,488,392,397,654,476,629
689,602,496,516,609,490,560
636,482,345,534,545,499,479
529,352,375,386,536,534,598
480,484,492,544,614,429,544
567,693,522,617,550,659,517
520,532,379,534,511,321,629
642,574,481,268,438,503,558
580,702,443,362,515,542,671
510,518,500,594,496,656,654
618,525,378,565,328,387,637
672,619,322,535,415,611,713
613,633,239,422,447,512,713
468,619,399,421,548,500,581
549,680,473,703,439,480,598
624,575,459,472,526,539,434
769,597,484,168,576,720,679
642,644,186,516,598,621,636
470,695,565,505,534,299,267
598,464,450,705,505,508,685
551,433,461,379,621,400,407
562,611,450,365,457,491,582
600,588,304,560,541,480,565
543,535,425,395,536,532,826
578,662,364,502,482,461,520
649,467,640,390,513,395,589
514,519,212,140,360,515,748
556,556,557,270,494,316,576
699,520,414,480,443,380,688
352,504,316,459,477,443,537
739,526,465,342,538,454,182
516,494,399,378,541,598,639
