Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Zephyr,Northgate,Dunvale,Westport,Springfield,Oakridge
50595,54323,56218,61481,34629,44915
63355,46403,46342,49613,42875,54499
61087,51621,34976,61018,52251,49880
47628,50910,37416,47001,42741,54532
54060,50601,36705,61169,47357,41878
57102,40291,56706,49268,56848,42148
50073,45089,48183,68957,47291,38957
46167,41598,37888,62662,51093,43296
43456,52308,41662,59027,63214,54659
50598,62808,51127,51318,47803,48947
54739,38599,39518,59127,43091,29210
66391,45189,40813,36457,53589,46908
50775,51379,49581,39899,45132,42233
51778,41346,45593,43421,48812,44115
44678,42158,55381,39186,35032,59797
46943,44016,38387,47955,50985,45282
44806,44714,69234,64628,43123,57204
56925,46405,48285,52489,51166,52329
48093,52929,46816,53848,42144,42979
53620,52560,44229,51498,33247,39071
60553,31606,42543,53318,52337,48008
33580,44782,40241,48758,57336,47762
37679,46674,32325,51184,42324,61614
62011,44544,34366,51673,55644,60023
50093,50312,46657,54117,48279,38762
62858,57236,36937,60678,50635,53939
48391,47028,58404,60278,54197,46613
51788,53680,53271,35915,51668,41130
52279,62454,42246,49935,39794,53255
50318,50354,43263,56210,47185,53808
50622,40226,53030,52276,53691,57906
47401,47751,53339,64049,52595,51518
44421,48286,44514,55176,51771,42068
54941,46296,33787,48294,58198,56790
49299,44878,40436,56121,40838,49105
50046,57555,49699,48004,60110,58003
61046,60359,42670,58174,46376,43822
43821,44594,45570,51308,64208,47461
55431,52967,54955,46716,63828,59531
61638,51716,60808,57606,35784,67357
47799,54553,38590,74844,35313,43997
62905,50600,40364,45242,48668,68262
50486,28896,60835,47578,39132,48785
57265,43929,52022,57365,55393,54625
59567,40907,37997,52967,54589,44349
53532,31780,34110,47071,60964,55111
46748,38977,37743,41573,49451,49791
50159,51882,40969,54935,44518,64906
51710,55946,48472,62181,49374,44884
50614,50061,41078,58061,47194,33787
50416,58321,46024,58224,53404,56793
40624,47419,40275,61550,53306,48038
45509,41022,45504,61406,65257,41237
54285,48985,35883,55629,41144,41914
37772,51358,40579,41115,49374,36438
55751,51568,55543,47199,46787,45058
51190,32331,53075,59827,56442,35477
48822,36496,22964,51442,42551,47816
50933,49762,45194,53487,55702,45324
48106,43728,33659,49207,44356,54276
48628,50520,59516,57293,48386,61365
50607,39627,36420,46830,56102,43795
59641,44668,45840,57528,46519,47593
41893,47189,51172,61686,40851,54948
46382,58571,46321,39142,50534,45577
48939,45490,40084,46937,55632,56183
42887,60209,52969,50600,50403,42079
54296,66186,52320,64113,66180,57527
49015,49615,44155,59414,62547,45765
56656,32595,35581,63102,43956,50852
42395,47949,35014,68311,42290,55191
34881,52993,37681,51066,52548,42048
48877,49008,47740,59728,34634,69262
43493,56192,42939,59849,40008,42890
64432,47206,36562,52739,29997,33240
46332,43823,59750,42112,45882,43001
46643,44855,43306,61204,47165,40327
54477,40816,32023,43487,50277,57605
53570,48376,41835,59486,58748,61177
48107,38011,52471,61966,38131,56239
44437,45689,40762,50562,60020,45687
52912,45619,34921,39403,55527,31183
44229,62308,54862,46917,48016,56767
46064,55321,47635,60882,29548,42571
52661,57780,35713,56597,43598,42005
50218,51098,40481,53675,54300,57213
52485,49334,39737,60696,49869,39744
56525,62675,37887,49494,49169,48037
53823,45679,57727,61254,62901,52497
54299,50987,30839,64806,57821,43305
62482,61824,49228,37626,49999,46313
49835,47113,44477,38669,49776,42374
36377,40379,39736,54645,60207,32113
55544,49609,36084,51816,43401,56239
59338,69485,57124,69625,41992,42802
48452,50861,41422,56508,50439,37826
36909,55604,51635,54864,41752,53877
47210,58752,46963,46213,54566,42725
49233,46080,45724,54221,40332,53074
50739,56837,35924,54063,37978,61219
53521,55252,25683,62386,51458,39944
43851,51324,52901,52241,58115,48959
54720,54912,43451,53954,51312,53501
55879,47743,38181,63276,49863,25701
45124,50489,41583,49560,51166,62159
54680,48829,45222,34207,37836,56327
49103,59510,43909,40641,53639,53022
50845,46249,38996,48622,36390,54614
42816,34941,39184,60791,35164,45605
45206,45523,41571,47916,52402,37673
42805,40019,29823,60635,51048,41021
52845,57222,44256,66107,49420,52853
44094,57160,38736,49893,46255,51675
48760,31407,36717,63652,47013,47791
51157,67293,39072,60839,52617,49746
42370,48129,50512,66404,46955,48856
55118,45088,43059,40473,40437,52986
43890,56697,53461,46632,38187,40904
50640,25795,31452,61904,54447,44463
52027,62397,40781,41894,44956,29893
