Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, skewed
Lotus Temple,Misty Trail,Willow Grove,Star Plateau
6565,8055,11291,20515
15670,15516,10249,7318
28001,6984,10336,6787
6259,16011,9463,9059
7216,12189,8438,4847
6201,18807,6273,7811
13531,12484,10458,9082
22131,5413,10693,7682
7752,13589,10108,6751
6650,8456,13142,4916
12842,12196,5185,8918
3597,9939,10176,12399
4486,9130,20313,5406
12914,7266,11747,17725
16933,8048,5176,9238
12857,16073,7795,9588
14632,9742,4276,5598
7817,6992,5787,7536
10490,9409,4273,11804
12848,4079,15908,8030
15131,25974,12645,14382
20202,5596,18156,7537
14328,4189,14026,6626
21200,18445,8435,11198
15571,8637,8827,13938
14978,6406,4977,11328
5732,6444,3625,13254
13025,11657,7254,4437
13225,6347,11818,4014
10078,5271,19434,8717
11908,13526,5574,5111
13999,11817,6411,9391
11443,19834,26753,6562
8072,6105,14239,10404
8418,12341,21608,5107
25141,6624,5909,8680
7658,6889,17772,6732
8113,24851,23765,9673
13168,15580,8033,14194
25507,9215,5449,11029
16638,5040,13945,16381
20455,8629,16670,6833
13668,9281,34364,19316
3808,10167,6482,10061
13187,27732,9283,5799
21030,7679,7906,4966
4238,9896,15736,8850
6423,15062,13566,16834
14170,14055,13168,8668
4298,4635,5483,6388
8184,12658,7666,8640
12353,15590,7732,10223
17634,11472,4852,15488
22991,10789,9158,10477
9183,3915,6402,9257
26141,6210,4248,12241
10917,12995,8234,13822
26949,13824,6791,10295
17810,12364,11261,3541
5405,5042,5169,6151
6213,10185,7697,11516
6753,8766,15312,10104
11205,4795,7361,11813
6978,16936,17110,13327
17732,9872,4911,9950
16843,17483,15797,6709
23730,19300,5413,7594
3901,8104,9046,11282
16542,7127,3918,26667
10919,9656,9035,13184
12567,7547,18518,21926
12851,11615,10556,19865
10701,17866,9581,4962
4710,5504,12605,13182
28860,14013,4229,11757
15898,15425,14200,8246
13819,6326,9254,11403
18356,13813,9820,9227
9963,16047,8437,7257
6048,5407,9037,4289
18570,7462,9563,14316
17616,4068,7511,13518
7219,11204,8567,4839
12307,8779,9730,13977
15388,16359,9060,9468
14369,16644,8739,5986
12265,7221,6873,11492
15983,16825,8072,12943
5008,4843,6752,14616
13357,10545,7021,6511
6962,11910,15209,4724
14241,9136,8621,13729
30874,26181,14619,4450
17211,5229,9973,5668
14848,10155,9043,14729
22105,5810,8762,5185
22525,14512,8810,9860
13265,4863,19953,11889
8316,16109,11030,22366
12985,7145,13760,13033
9603,31113,8609,3737
13762,10082,5953,15027
10070,14843,4820,11140
8139,8003,6006,5459
4818,14588,7425,6478
12207,7380,9253,16155
13034,16059,5121,8730
5886,4615,6496,9180
5086,7796,9296,5690
12842,15813,19114,17084
9981,6029,7440,3986
16430,6380,5647,7011
8324,8247,20208,8620
6629,12574,22122,9063
15604,8589,4856,11466
16637,8350,20335,15694
16147,8510,12680,7392
18217,5735,7099,10448
12534,23020,11032,8130
11641,15957,4183,5146
