Education and Academics, Data on employment rates in different schools, %, t
Westport Academy,Crestview High,Pinecrest Institute
90.5,89.05,84.05
87.54,79.55,84.63
89.09,80.91,82.59
86.3,78.47,77.71
93.09,89.32,81.57
88.38,85.2,82.57
83.63,87.16,80.51
86.59,87.02,83.49
89.0,85.33,79.81
83.72,81.21,85.13
88.12,84.85,82.5
87.36,89.22,83.45
88.02,88.74,80.42
86.67,81.13,81.84
86.54,87.05,81.39
88.6,65.87,83.67
92.48,81.53,81.94
85.3,78.28,82.78
89.99,78.25,82.6
89.19,78.27,81.31
87.66,81.38,83.64
89.9,81.8,83.21
97.45,83.07,79.62
96.18,79.46,81.55
88.39,75.31,77.01
90.56,82.59,83.79
91.31,80.79,82.02
87.36,81.45,82.07
86.16,81.58,79.69
89.74,79.58,85.96
89.89,74.98,81.08
89.8,77.5,80.85
90.88,79.66,80.02
89.11,77.68,83.43
90.68,78.88,79.88
85.43,78.4,82.42
91.95,80.45,84.15
88.18,78.57,84.13
91.92,81.34,78.16
91.6,79.94,82.94
90.68,79.31,84.8
85.16,78.1,84.45
85.7,85.64,84.47
92.95,80.66,82.74
88.19,79.14,81.38
83.12,83.04,78.48
91.78,85.92,82.84
91.25,83.02,81.8
90.44,79.87,83.14
91.22,80.64,83.12
89.71,76.83,80.77
86.99,83.37,85.32
88.02,80.78,81.34
103.95,81.8,79.79
91.55,82.54,83.34
89.39,72.4,86.64
87.72,81.48,82.82
90.44,82.9,80.28
87.91,82.55,78.47
87.84,79.12,81.1
88.15,81.73,75.49
88.51,79.97,81.6
88.17,84.45,80.29
89.6,81.98,83.5
94.24,77.6,82.21
89.02,74.37,82.6
93.51,78.98,81.64
87.14,80.05,79.65
86.32,75.12,81.76
88.53,78.26,82.74
90.64,83.96,84.5
89.54,76.95,81.5
89.65,78.21,84.29
88.82,80.0,80.89
94.83,78.81,79.83
93.36,86.01,86.36
88.39,78.65,81.72
88.38,76.43,85.16
89.71,81.14,81.4
90.57,74.54,77.39
85.97,83.78,78.69
84.53,80.69,81.61
90.28,78.8,80.43
89.4,80.54,83.48
87.33,85.43,83.58
96.02,85.62,81.85
89.74,85.17,82.04
86.65,80.28,83.22
88.41,80.11,82.17
89.14,81.66,84.28
86.5,77.77,82.26
87.51,80.87,77.37
88.41,77.32,82.26
87.6,74.79,83.16
89.35,81.0,83.34
91.05,80.82,81.32
89.65,71.5,81.77
90.92,79.68,84.59
90.1,80.75,81.27
86.24,88.17,81.91
89.33,85.19,80.09
85.29,78.74,81.64
81.78,80.22,79.46
91.04,80.57,83.88
73.03,78.69,87.18
90.83,80.51,79.85
84.27,99.41,83.9
91.08,79.84,82.76
85.28,77.04,79.08
84.21,76.16,77.8
86.96,89.03,82.26
87.15,86.23,84.73
87.89,81.14,83.73
80.1,83.92,73.17
82.16,78.56,81.5
89.63,82.47,81.97
89.65,80.62,83.14
89.38,78.48,81.04
88.17,82.83,77.63
84.64,82.28,81.34
