Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Quarryville,Creston,Springfield,Elmhurst,Ironwood
2085,2546,2918,4843,3176
2591,2675,3207,5386,2550
2115,3309,3119,4353,2514
2465,2687,2824,4495,2572
2213,2731,3075,4014,3780
1919,3125,3008,4937,3120
2115,3149,2721,6148,3020
2037,2940,3400,4676,2615
1778,3099,2648,5908,2848
1866,3020,3699,4929,3236
2055,2645,2431,5474,2831
2813,2999,2936,5499,2413
2037,2666,2330,4981,2413
2181,2437,2703,5404,3006
2368,2946,1945,5624,2942
2043,2218,3226,4964,3452
2160,2737,2581,5079,3427
1830,3190,3110,5458,3047
2447,3208,3364,5882,3273
2850,2886,3021,5161,2683
2232,2880,3135,5960,3076
2780,2829,3101,5312,3349
2351,2876,2623,5086,2804
2550,2549,2836,4788,2893
2049,2778,2826,5835,3524
2441,2891,3426,4988,2509
2440,2999,3602,5255,2543
2375,2193,2693,4781,3049
1185,3196,3561,5240,2987
2222,3272,2786,5399,3021
2589,3318,2801,5186,2938
1667,2423,3052,5409,2753
2012,3204,2997,5507,2854
2327,3101,2929,5311,2989
1618,2144,2794,4663,2820
2327,3078,2861,5807,3059
2199,3238,2914,4510,3067
2031,2995,2805,4432,3208
2504,2258,2694,5048,2308
1665,2884,2876,5089,3274
1588,2888,3131,5712,2695
2309,3103,3300,5300,3302
2521,3153,3217,5031,3377
2366,3198,3506,5276,3176
2131,3348,2490,4756,2922
2611,2812,2461,4603,4027
2209,3047,2175,5225,3258
1888,2578,2905,5047,3222
2419,3033,2920,4907,2905
1838,2187,2678,5273,2482
2121,2526,2870,4265,2784
2269,3003,2777,4837,3937
2098,2542,2655,4998,3108
1787,2646,3611,5248,3279
2105,3367,2679,5317,3123
1932,2837,3438,4823,3904
2871,3009,3231,5482,2418
1425,3137,2834,4624,3255
2191,2962,2798,4909,2365
2299,1991,2912,4833,2352
2477,2638,2547,5517,2726
2934,3096,3631,5552,2359
1592,3253,3033,5766,3062
2609,3350,3158,5319,3066
1839,3576,2692,4948,3439
1481,2708,2890,5520,3053
1909,3371,2381,4496,3146
2150,2699,2521,4393,2598
1693,2858,2492,4461,2678
2415,2770,3348,5067,2831
2417,2913,3101,5879,3168
2475,3268,2591,5270,2649
2383,2815,2781,4644,2967
2146,2628,3364,5469,2898
2442,2058,2530,5071,2712
2475,2400,2846,5090,3058
1874,3309,2519,5633,2545
2272,3143,2937,5177,2951
2586,2323,2762,5067,3463
2213,2673,2870,4768,3088
2414,3214,3161,5777,3195
1719,2626,2452,5593,3167
2050,2500,2819,5690,3001
1891,3331,2857,5653,3093
2336,3439,2967,4580,3507
2295,2885,3039,5177,2616
2102,2336,2562,4973,2170
2309,2631,2769,5732,2891
2166,2992,3252,5374,2821
1797,2565,2859,5088,3350
2647,3376,3429,5302,2900
2261,2896,3033,5186,3181
2449,2827,2314,5658,3212
1801,3298,2658,5347,2526
2353,2813,3132,5022,3762
2008,2800,3525,5381,2466
2735,2843,3109,5620,3417
2070,2780,2715,5335,3755
2791,2924,3168,5140,3395
2692,2920,3113,5486,3101
1690,3406,2842,5676,3552
2081,3056,3351,5138,2663
2288,2686,3640,5017,3161
2270,2979,2717,4986,3151
2191,2913,3273,5115,3235
2173,2742,2794,5051,3247
1865,2711,3241,5210,3586
2756,2808,2753,5134,3008
1685,2779,2728,5150,2580
2408,2461,2982,5227,3230
2943,2277,3088,5164,1961
2414,3011,2906,5730,2837
2630,2623,2756,4994,2064
2608,3097,2925,4967,3369
1624,3086,3211,5473,2319
2077,2637,2497,4750,3516
2264,2822,2701,4564,3116
2767,3528,2727,4632,3167
