Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, normal
Lakeview,Ironwood,Zephyr
46180,41214,56823
35508,34212,46355
55593,38969,43389
50865,43021,48913
54848,45380,35541
48702,55548,40556
45848,39042,69288
41177,37774,24946
31786,54318,52753
46866,38230,46667
58457,39156,56857
36003,40043,31658
41367,38679,62353
62332,40241,39484
36875,46073,62087
51592,36958,47593
53557,43666,39459
30711,41163,58419
53398,45290,61391
49287,48569,59477
47331,50050,36001
40262,44660,50188
48846,42560,41333
55476,47427,48446
44759,36644,50396
56439,51801,40247
40214,50166,47169
51875,48446,53033
35945,46917,45263
42812,47344,42578
71812,47346,51362
35834,42308,55956
44401,42884,55015
56568,58481,51559
52045,33539,38070
49438,31510,46686
51740,38521,28632
51706,51148,48964
27055,51132,47437
46959,32147,44485
49167,46126,44884
52190,58741,49556
43295,46314,56007
44065,56352,49771
43738,43013,57266
49848,50555,51530
46205,50196,36882
59360,38878,38447
46179,36155,42447
52089,42031,53393
43066,55828,42049
45811,38283,58430
52834,51053,42338
53229,41075,50805
36318,44342,55926
51608,42158,32635
31509,58197,58872
46296,31005,37916
39388,57085,63526
58917,47528,38634
53642,44834,42600
49564,56134,53707
28160,55240,50754
50320,43341,58879
43460,41119,55989
47104,53610,36186
36965,59048,48756
45109,41160,60991
53790,43084,45101
43413,37566,45049
36732,55951,56309
50574,38546,68417
37921,48154,56046
40958,39830,60011
39774,50561,49471
43973,43307,50617
42379,46904,43272
30289,55557,48387
49037,40800,34842
62622,51736,44828
55865,41273,55859
39010,48057,46479
50674,30497,41022
46283,42626,43884
40719,49289,52579
51071,39344,63188
65996,35584,40832
39533,41273,50450
53221,57095,68685
31371,49173,54274
29287,51309,52700
62366,52462,55506
56763,40019,76420
39355,41871,49777
67018,35340,64367
45964,62402,49884
53020,52403,52228
36224,46958,53206
56232,46908,33574
47171,46062,37095
51085,46999,31818
44524,48380,33297
41211,49463,46597
47006,50365,39213
49906,46868,54355
49570,38067,28767
47740,65346,51178
44251,34015,33336
60924,42232,52045
60298,51758,38446
49539,47026,57708
43296,39754,60563
58422,51159,45398
41377,48273,57893
59333,48001,48412
54424,41627,56080
61106,50599,53208
48354,42994,60124
42033,39528,47470
31204,48291,45209
