Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Glenhaven,Zephyr,Pinehaven,Mapleton,Creston,Lakeview,Fairmont
4504,4116,4700,5821,2957,2565,2685
4521,3853,4910,6304,3184,2532,2350
4644,4219,4464,5575,2667,2279,1904
4766,4020,3065,5210,2809,3244,2832
4310,3863,4092,5296,2865,2142,2373
4013,4212,4404,5440,2927,2497,2455
4596,3643,4035,5878,2633,2837,2383
3625,4852,5243,5432,2919,1947,2204
4900,4791,4439,6314,3073,2748,2315
4938,4184,4807,5114,2508,2222,2542
4183,3664,4235,5563,2849,3462,2731
4427,4268,3796,5953,2999,2040,2566
4285,3755,5102,5398,2798,2426,2420
4115,4200,4926,6763,3407,2583,2186
4979,3729,3928,5588,3407,3206,2617
4551,4140,4835,5567,2727,1189,2478
4601,4459,4076,5023,2899,3371,2171
4689,4582,4119,4970,3110,1887,2174
4948,4512,4287,4928,3166,1912,2106
4657,3820,5074,5377,2647,1960,2280
4675,4237,4492,5314,3028,3425,2036
3886,3751,4347,6537,2902,1667,2164
5028,4205,4563,4933,2830,1600,2752
4890,4067,3935,6065,3131,1813,2718
4217,3819,4472,6161,2639,3230,2179
4081,4287,5551,5347,2828,2692,2606
4223,3761,4065,5137,2987,2540,2023
4788,3856,4745,5754,2938,3022,2427
4426,4000,4954,5278,3009,2015,3040
4221,3670,5431,5037,2798,3005,2399
4633,3654,3846,5623,3047,3039,2326
3926,4074,3983,5366,3186,3404,2277
4267,4178,4053,4907,3168,3216,2661
3794,4136,4462,5200,3011,2313,2296
4298,4257,4822,6287,3210,2241,1987
4690,2943,5129,5781,2807,2672,2740
3983,4499,4519,5460,2973,2796,2448
4706,4721,4734,6030,2988,2067,2321
4734,4366,5121,5411,3193,2138,2198
4075,3588,4781,5506,3099,2020,2870
4289,4515,5725,6245,2832,2214,1610
4339,4858,4344,6047,3041,2050,1940
4661,3956,4011,6062,2924,3196,2506
5343,4194,5596,6399,3000,2513,2259
4846,4460,4785,4333,3138,2881,2294
3733,4536,4119,5775,2910,2840,2234
4216,4608,4284,5632,2507,2883,2718
4295,4047,5129,5282,2753,3309,2762
4597,4083,4808,5556,2849,1605,2748
5011,3851,3589,6473,3223,2471,2771
4502,3858,5250,3626,2828,2710,2035
4438,4133,4264,5835,3015,2415,2684
4029,4248,4488,6031,2717,2067,1873
4385,3932,4764,6638,3017,2507,2203
4886,4300,4550,4954,3401,1735,2675
4254,3892,4049,5156,2886,3247,2229
4284,4475,4653,4493,3202,2941,2651
4590,4437,4747,6209,2852,2023,2116
4269,4509,4077,6012,3049,3423,2455
4309,4315,4861,4777,2544,3377,2761
4810,3703,4539,5817,3167,2434,1876
4684,4342,4208,4484,2703,1696,2544
4376,3926,5258,6014,3012,2836,2680
4545,4239,4149,6202,3088,1567,3189
4396,4301,4660,5523,3147,2967,2380
3720,4568,4734,6028,2743,2000,2936
3587,4483,5198,4902,2881,2147,1982
4597,4247,4860,5476,3083,2374,2285
4315,3736,4982,6016,2795,2666,2806
4261,4626,3959,5779,3113,1867,2635
4967,4215,4469,6622,2868,2658,2553
4605,4198,4773,5571,2841,2691,2417
5145,3934,5309,6278,2808,2242,3060
4355,4081,4491,6436,2682,2681,2498
4219,4435,4816,5930,2840,1884,2273
4113,3563,4518,6097,2890,1834,2469
4451,4086,4623,5016,3015,2668,2388
4323,3919,4522,5720,2912,2098,2491
3383,4455,4726,6389,2710,2957,1967
4704,4190,5372,5584,2461,1784,2808
4439,4186,4455,5919,3066,2474,2603
5226,4589,4154,6291,3003,2090,2908
3796,4596,4805,4969,2769,2390,1648
3711,4562,4833,5061,3075,2760,1760
4367,3704,5360,5826,2770,2036,2876
4727,4656,4742,5671,3107,2315,2445
4711,4472,5299,6156,3025,2177,2316
3883,4718,4682,5326,3274,2595,2816
4421,4134,5733,5832,3024,2679,2577
4607,3745,4760,5271,2914,2465,2557
4131,4163,4597,5610,2762,2440,2539
4852,4504,4388,5946,2888,2322,2351
4387,3136,3357,5579,2368,2363,1927
3613,4006,4685,6381,3019,1658,2588
4656,4280,5231,5924,2931,2566,2426
4553,4514,5279,5271,2687,1650,1794
3989,4319,4260,5801,2861,2101,2315
4546,4292,4919,6327,2999,2077,2544
4928,4124,4721,5668,2840,2429,2701
4288,3868,5042,5993,2762,2800,2148
4284,4372,5015,4885,3223,2692,1933
3798,3400,4677,6199,2497,2952,2885
4958,3209,4693,5460,2586,2462,2310
4465,4453,4549,5627,2898,2773,2530
3944,3945,4787,6367,2803,2158,1683
4164,3846,4304,4982,3065,2222,2569
4076,4243,4834,5588,2844,2188,2254
4718,3709,5118,5362,3157,1911,2475
4843,4158,4345,5908,2991,2330,1910
4610,3885,4052,6679,3254,1944,2046
4599,4281,4052,6322,2563,2347,2810
4994,4416,4667,5847,2818,3436,2146
4388,4464,3920,6063,3044,2573,2369
4863,3811,4030,5721,2687,2137,2565
3505,4804,4096,5728,2821,1882,2074
4732,3782,4393,5386,2970,2567,2607
4039,4839,5074,5511,2795,2719,2254
4608,3669,4152,5608,2606,1954,2479
