Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, t
Fairmont,Springfield,Rosewood,Brookfield,Elmhurst
717,566,577,1344,1846
638,524,769,1481,1923
728,456,533,1577,1902
694,664,507,1494,2186
848,600,290,1665,1571
704,330,543,1401,1997
827,536,383,1477,2094
782,653,450,1447,1726
758,496,345,1730,2050
878,583,461,1596,2052
712,754,472,1554,1779
719,554,554,1626,1772
719,670,404,1594,1948
841,603,507,1641,1918
725,532,149,1332,2008
696,332,492,1748,1782
768,594,879,1391,1979
804,616,374,1339,1811
725,475,816,1630,2111
773,602,308,1546,2209
805,669,515,1527,1983
788,471,291,1524,2343
782,641,653,1514,1933
864,417,661,1429,1923
701,712,542,1507,2103
571,555,673,1823,1766
776,662,418,1626,1930
765,582,733,1276,2031
711,419,478,1492,1919
699,727,384,1223,1521
700,560,492,1684,2274
641,541,247,1370,1952
720,639,628,1761,1937
676,521,458,1686,1988
778,629,578,1682,1932
749,342,607,1353,1836
852,558,711,1322,1963
787,717,622,1499,1821
702,448,851,1649,1913
771,420,485,1297,2284
749,585,374,1782,2215
761,380,754,1368,1911
661,657,480,1579,2192
761,661,584,1661,2207
695,614,482,1673,2048
763,455,668,1186,2130
863,578,716,1525,1504
827,532,223,1798,2008
447,552,305,1795,1844
729,499,516,1364,1669
717,483,693,1630,2016
835,495,796,1420,1796
825,589,548,1499,1658
724,584,677,1623,1864
737,620,773,1474,2068
825,571,605,1666,2017
772,681,792,986,1928
790,596,595,1541,2293
756,569,463,1480,1845
760,492,444,1292,1894
641,480,663,1685,1834
652,619,350,1634,2299
755,711,837,1253,1888
764,524,490,1561,2094
793,531,636,1583,1644
838,439,575,1552,2055
770,607,561,1477,2103
695,564,741,1460,2195
663,510,290,1386,2121
665,485,541,1568,1996
820,576,575,1754,2126
827,553,609,1741,2035
763,603,679,1579,2275
778,592,463,1767,1964
743,513,728,1577,1959
662,595,460,1301,2136
725,530,785,1574,2135
721,576,810,1592,2021
757,505,636,1618,2113
708,402,679,1405,1938
650,406,552,1511,2164
839,480,615,1447,2010
714,396,382,1557,2197
805,556,795,1577,2095
717,612,343,1010,2073
722,649,284,1679,1999
696,453,804,1387,1889
701,504,645,1233,1935
830,761,763,1523,2194
725,615,547,1563,2094
645,392,642,1420,2000
757,457,711,1253,2039
701,515,638,1625,1840
621,499,737,1563,1891
706,525,451,1208,2071
753,647,470,1493,1848
737,458,543,1498,2065
667,521,516,1601,2042
805,731,567,1081,1716
672,479,322,1407,2115
711,596,425,1331,2140
674,515,639,1567,1643
805,552,577,1483,2228
807,597,697,1585,2172
638,486,461,1667,2206
849,591,779,1535,1983
790,603,714,1530,2051
646,475,735,1599,2113
603,571,235,1433,1884
756,603,832,1716,1742
695,414,410,1486,2175
756,570,576,1581,2285
678,671,393,1047,1969
655,718,743,1597,2059
759,551,523,1510,1947
757,591,474,1708,2009
830,437,450,1490,1974
