Business and Finance, Data on the monthly revenue of different companies, USD, t
BrightWave,UrbanFlow,BrightEdge
41235,43964,42528
67903,20468,65500
114235,60894,61812
67244,36626,70878
52021,110554,52603
37433,49556,58891
80020,53956,39038
56282,40577,82779
25451,62637,53256
60526,62705,57721
29010,53248,57631
49175,49143,55393
13396,48598,110284
60125,64517,14034
50870,53290,63633
54716,45745,58779
64324,57284,86642
64741,61652,45232
76915,64964,81941
37390,50757,26127
65294,41208,41853
53850,5019,57304
32176,42970,70758
86686,14749,54729
66329,32157,45754
44984,78016,55821
32321,19867,56266
81030,8520,69298
54479,63911,58389
47375,65564,63398
55026,42248,78089
66325,95327,43790
66327,45879,59671
61642,25464,61396
61256,48083,38224
61240,29946,121906
35165,26027,50741
62412,21932,66686
87411,22758,40012
76037,88780,63375
45440,31191,66696
66508,35400,55818
42571,53844,66847
62682,59323,79423
81252,69829,43414
40309,48699,58180
31185,61881,65514
65094,45539,39901
64868,49408,29904
80702,40648,32763
58465,34992,89033
64365,47547,58879
57907,1108,71398
56598,65698,62561
59469,44102,30374
43058,61872,36227
84879,37064,57088
64861,38129,93330
71190,54037,78974
61174,48826,69561
35626,39857,53698
65995,37944,58761
73085,64300,63137
66525,37297,58978
56195,32857,56532
60265,63579,42577
45877,73704,66522
42491,44237,85001
47486,101856,58215
65624,44681,55632
63229,44374,29964
59685,77501,70553
16952,81018,20965
61323,36402,80894
52976,31491,67815
75276,83668,53643
53115,27622,51657
61776,49897,90612
73170,21691,40911
33846,40541,78545
27255,47550,67905
42981,55348,46002
74233,61204,53691
61089,55531,66711
58171,37221,54538
59873,42222,48346
54829,88982,76114
31466,50372,69863
56982,40196,63376
166269,35378,56598
61710,45603,68090
58630,74195,71257
41832,62030,30912
77871,43187,47565
77754,63916,67093
77639,37840,11359
54352,35626,62208
52117,66659,89804
53418,99085,52297
48186,106070,59688
80282,39494,48205
78033,68308,73101
47809,37410,51351
47639,53818,47397
56344,37908,47367
74653,45012,57474
70905,22950,68358
51233,48937,51784
31018,46122,66283
38636,33097,37329
48942,57840,85208
79297,38837,35758
72488,52793,99264
69634,45380,57893
