Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Zephyr,Northgate
27957,51992
21159,57874
32884,56112
45197,58713
37278,45982
47214,51402
41121,68077
46000,54821
41560,60253
47689,48843
38238,49061
53335,52569
42011,40977
52064,55416
30903,44370
38075,60440
44342,53251
48239,44651
40159,50143
45167,57328
43887,56171
49214,55791
55217,41957
46910,47982
54814,63908
50744,64319
55682,38145
45901,52111
49895,59301
46298,48219
47255,66566
43112,59125
40339,58933
39632,54709
46236,57623
47536,48997
50987,61243
39461,62002
49409,58175
42884,62299
49722,52007
27950,52047
50222,61531
59713,65415
54842,62415
58680,62370
58485,43651
46762,59342
38754,60111
56818,36266
32712,65432
50179,65023
37083,60204
35429,60641
38254,51073
51067,58706
36922,52744
45870,51505
46729,52374
40664,62171
40411,67191
43815,58089
58106,56544
43896,70232
42770,56045
42682,59939
52531,51024
54835,40790
44765,58242
30022,65428
34523,31068
46805,56268
52640,69682
51149,47580
42036,49867
43886,55867
43496,44291
43977,52830
52198,48756
52473,61098
45424,63477
39149,51792
45866,61436
47451,53476
54537,67826
43661,49901
54837,47793
45365,52670
48547,57020
48491,47011
46442,55845
32952,49432
32449,58024
42012,50895
40917,72086
42086,58151
64715,66823
44523,60545
38764,63526
46323,51528
45334,47651
51957,53105
36887,61908
42531,50180
36682,41015
44374,55715
47564,52835
48350,46204
40448,62972
49631,48205
52558,55142
42700,44988
47948,51921
37330,50601
56865,60421
33913,42646
48454,65026
47031,61830
27725,40805
48967,45710
