Business and Finance, Data on the monthly revenue of different companies, USD, skewed
CoreLogic,UrbanFlow,BrightWave,EcoCore,PrimeVue,NovaEdge,SkyBound
41618,67813,41223,73156,32786,104950,48149
170454,64627,40210,48880,168895,156072,82840
34025,119203,45093,129601,124900,131613,60535
33859,51503,71933,67691,29016,106588,48623
30590,65901,95406,180459,154603,44743,34033
117753,84891,62921,142413,45228,57434,89177
28889,41269,58878,149870,65589,40008,40827
29289,24721,40021,85056,85001,127660,67651
79435,64030,48716,45666,31375,88100,116945
64971,34311,34799,60439,129608,128413,72573
127144,28782,73916,129233,123212,73961,81150
47604,44299,54288,77410,64427,137529,31176
118268,70232,66996,56086,104114,69092,83067
43853,102373,101178,33978,96883,66946,66727
61959,25076,90095,71196,35256,237216,52998
79271,42796,67918,41617,45575,52646,45992
56391,23924,77704,110498,71242,27799,51402
101055,50175,75061,119064,39552,111849,71756
48003,99155,55915,57707,56216,53841,43330
44066,33969,23095,39092,64036,55822,29188
57858,100737,92917,92232,75094,32500,50669
32670,48196,40617,34580,78209,47265,57132
75004,45047,75983,106188,106528,31365,58008
94120,33617,75581,97884,108957,54714,162750
33455,116036,60395,88475,88311,51285,34529
91573,85575,43090,76214,39672,82996,58232
72815,38909,159674,98043,70685,73326,133142
74921,81083,93200,27763,28787,130207,186024
52841,48964,78532,50610,38192,164258,35694
27839,28003,37532,92946,83117,106509,61631
112514,29280,72285,115227,28187,133241,71836
60754,54252,57607,86999,74535,136235,61704
65097,29637,31984,56276,96378,62199,33667
140484,150827,89103,56858,73778,166301,28788
51262,82220,37904,110436,69438,124257,49240
32567,47601,78282,48158,59356,91103,32429
83774,80823,71615,161628,106432,65231,42911
93518,51311,31968,58620,78695,56390,49093
39939,43588,87864,40574,56191,144960,33129
176043,48559,70885,69067,84736,121645,74117
44392,36479,57930,65213,43062,34104,34555
79024,41679,57000,63503,24582,65891,61298
42491,33901,84426,71097,64620,159696,71230
30999,60762,55570,32651,45743,37583,35308
93986,30960,59773,39711,70500,36507,97634
62473,38378,26777,74725,43311,44260,36967
40418,55515,52065,46664,166302,55257,86505
106589,57902,66972,79632,109589,116477,62353
36703,48414,44552,50947,61705,90665,53523
48147,62714,51013,27454,115297,91976,95224
60429,89327,47484,104281,25473,150819,52227
139766,46913,97294,40962,95500,78542,52700
42389,40811,102796,108053,37598,57987,52425
73017,36417,34143,70113,36837,97129,68811
83223,55493,59384,72679,116753,95759,58565
20548,34781,111395,79010,195249,88136,147522
51554,49129,48966,43870,46303,45683,88175
55540,58450,81555,39776,152539,60356,54717
34562,95930,106078,148589,186453,88647,49894
44555,69058,103455,56246,27808,64196,115907
115351,78175,33132,36587,49327,52295,35219
110284,57155,65157,29902,103511,58631,57053
68987,44841,61106,91169,60223,75013,71916
22916,48049,29001,51997,48513,87732,73080
55023,41473,74487,62128,68543,50016,51252
57237,84385,57178,108389,58426,96776,32635
71678,56616,41281,120195,26647,54448,78878
58594,55627,48783,97981,102521,41719,95766
56462,34752,117000,72627,79386,142771,38973
125060,62489,58555,78603,65380,140646,75162
61657,58083,105922,70191,146597,129899,118034
35347,72105,51394,56473,67088,72303,38921
53126,98172,108740,68596,56523,44791,60537
93938,50601,45546,79990,27424,42208,56248
118816,24355,45085,104694,66049,57004,138546
33711,90156,73310,24151,33396,90834,79095
64479,75155,95140,81218,41956,70097,96371
104407,70832,60915,105648,53355,46608,72701
42230,78781,38868,84582,23775,96114,161259
51471,87084,62898,220716,80313,113428,55079
82849,33569,82654,109352,36686,47011,117793
86633,26625,26539,93596,54495,138096,69755
110154,51058,85130,42955,42569,55741,57673
44626,63459,106374,66795,62084,81158,62971
39970,47510,34214,32201,156967,54526,100702
37682,66211,59018,54096,49374,58551,36131
40358,88485,60707,71064,83137,138015,40144
123511,65874,57039,111815,90082,156319,57037
47569,38803,34323,38705,37547,108633,77751
69599,113609,39281,73080,104961,44181,60231
68692,37467,102715,137740,45322,90610,60958
78267,30123,41212,143415,98010,144433,109301
105819,119068,61709,88321,22827,175322,119346
46321,25901,31380,66044,49020,109248,141962
55059,40443,56195,102384,73236,100055,100730
149101,77725,74223,99542,160652,139051,70511
39624,52992,45192,77274,68615,79097,67494
107035,57293,85351,40069,63654,108173,59439
123433,54943,34517,44420,117270,152254,69730
63007,47291,35308,70177,57655,50618,127382
91228,46656,97549,55634,115754,125838,47334
70348,50495,30733,81848,78623,36667,59617
60729,100228,36083,43473,45685,133144,78313
43406,31727,69981,51102,113941,71621,46252
39478,23254,46869,55456,54413,53307,70752
38938,63433,32060,104679,86810,281230,92013
60418,38227,47117,55994,63495,83036,176505
33388,113801,47362,54327,24930,61823,60417
81348,60844,95507,41386,52959,33360,46149
43624,55858,52107,72636,61998,31735,43794
63036,42811,50499,130301,86716,70241,55748
69201,25365,41329,42697,68437,44760,107505
27968,56923,112845,56728,51284,30846,42523
33434,44196,58123,103170,47773,164101,80994
62729,45192,65877,27448,56314,101883,97994
39988,85594,49608,37731,36228,31013,54147
27589,59862,50711,142392,100979,117887,116805
155852,40238,36454,82502,82976,82941,58197
54676,45042,46293,104905,66277,36899,74580
60446,51665,60262,102977,35987,56551,41043
