Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, skewed
Farmhouse,Mobile Home
365,809
531,794
558,883
517,617
838,901
374,751
303,842
763,1307
479,705
631,521
437,463
588,429
795,1329
615,615
998,993
626,747
531,500
587,622
1072,741
326,449
798,753
318,530
555,373
530,586
399,526
400,1260
482,933
494,1022
371,444
575,899
662,592
801,995
772,396
784,645
1043,896
934,1178
543,1080
310,411
793,431
350,762
740,703
776,494
679,455
764,987
313,839
407,312
428,1015
426,680
981,842
552,637
637,550
480,640
698,404
494,689
931,997
427,873
768,584
517,558
773,471
1263,766
488,801
546,466
356,612
530,938
672,527
938,358
936,486
447,495
473,554
622,358
767,861
334,780
345,745
479,780
404,475
859,588
1649,745
652,358
445,679
570,1195
919,631
487,725
344,849
1262,718
464,501
586,1343
510,698
654,651
791,902
377,726
678,797
476,440
486,1181
708,886
854,926
476,579
630,413
417,484
1386,474
589,1229
830,871
841,375
774,600
1239,677
867,1261
439,726
676,960
544,665
630,516
597,684
650,563
548,816
325,371
637,728
669,849
704,458
387,582
723,660
