Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, skewed
Starlight,Last Ember,Dark Horizon
677,742,330
390,810,519
786,307,516
1470,509,768
431,415,444
425,370,803
491,591,651
706,593,679
394,314,574
521,256,760
328,249,902
1156,464,610
320,623,394
708,828,757
568,298,398
518,818,445
323,1075,501
508,413,1001
656,764,621
303,667,983
1006,263,598
410,622,320
371,549,804
466,783,501
304,282,269
429,667,696
343,461,303
451,523,757
503,444,299
663,529,503
425,262,634
438,861,496
608,206,547
573,291,649
466,617,546
598,984,1423
697,354,711
454,809,985
518,992,261
461,764,306
834,502,813
469,867,389
472,356,1135
730,593,295
1246,485,631
505,626,595
799,320,910
619,246,1242
622,417,917
921,582,262
903,554,1003
527,753,197
171,985,1451
850,810,415
332,747,290
387,417,231
399,809,1006
622,272,628
320,719,698
1361,192,347
951,263,635
486,1171,295
609,356,1850
901,369,337
334,259,1917
699,220,347
495,670,799
676,131,175
521,247,261
910,1034,341
401,639,906
593,346,912
751,518,746
422,254,367
501,1086,502
687,450,1081
310,989,609
280,710,649
200,953,693
1098,644,477
590,402,1172
714,1011,1223
351,1305,582
1085,158,537
249,740,487
707,353,529
398,337,881
694,309,627
1133,418,884
413,210,552
648,1183,883
515,786,828
669,566,1022
654,363,875
846,506,409
544,1015,744
489,556,538
1280,958,905
1388,536,1419
287,465,736
689,541,1129
970,1000,772
559,465,846
220,839,818
287,415,627
720,278,806
1275,325,1126
472,412,704
627,588,558
747,927,752
801,602,721
499,1325,456
433,451,494
579,434,876
600,661,470
501,616,735
504,1253,1582
641,233,369
