Business and Finance, Data on the monthly revenue of different companies, USD, skewed
BrightEdge,QuantumX,NextGen,SwiftLink,PureSync
56132,33769,93744,59070,123947
79050,59621,47870,87243,51622
53611,56214,29971,63844,57757
52247,106324,81954,55029,89844
27791,74051,155994,91783,70170
41120,46667,142164,93669,125566
95793,73779,42074,25413,96647
67553,50302,48465,63478,57632
165466,206436,89588,129732,94435
65090,29318,91870,64293,127642
68661,91899,49060,82730,35098
36061,50830,64424,74720,191509
35710,60482,69950,32887,123007
38557,51430,50223,49346,181059
35722,28628,166557,57161,59863
75333,89433,96849,143174,38725
86792,57844,35449,50689,31377
62849,112959,66010,42656,77940
72903,120533,105457,89331,57894
55725,54030,55230,70252,43020
55263,57406,63538,61792,124097
87965,29109,34976,37231,63671
67822,53199,71385,30321,184965
33409,69893,117703,42194,104256
71177,89651,46587,75649,141002
82896,62146,44535,36331,98423
49064,69350,124489,90949,63704
52576,45279,41072,70764,59523
55512,52226,91512,24153,91906
29112,49148,36603,69646,92719
42772,150679,151776,107133,178266
104579,51329,23674,53466,191955
102453,67714,144671,89665,133498
69200,42424,31224,93060,87648
66834,87114,98107,57153,175324
49132,96468,41972,23211,114201
61578,154146,36778,135616,100941
54879,30218,66948,81112,226555
40099,40398,74102,58721,40017
120022,47009,54186,41311,54294
106981,38194,52459,115800,208048
28742,87403,84744,47084,71943
56700,119482,56420,53011,78338
44407,120623,84627,64571,157652
175774,71471,74426,89584,95370
65806,109459,51984,32274,113889
94909,48888,56303,132070,48841
79119,99428,89110,26573,58689
46739,154759,101767,53387,200093
28393,70749,49098,66073,45064
39433,58218,107920,71357,82542
37059,87706,51600,56546,95633
107223,83223,47493,83729,66230
68803,122871,41320,45213,82347
94905,44562,57041,53444,126534
54169,65975,87297,118900,87215
89088,22756,67925,31857,100539
44313,103045,67749,90242,100494
32475,62000,110896,62960,176269
32850,54727,64148,44705,73135
32139,112678,35856,61899,159059
48540,168232,52299,103511,168810
34188,54127,60576,61173,108551
52094,59521,67282,128877,70967
56430,103863,83832,50817,40844
69057,60963,120800,86953,99922
80580,32244,158417,86138,82886
45989,172538,82109,167714,48804
25217,101153,76047,36293,35784
70578,57290,65820,66226,91053
50819,28332,49727,103839,39898
54453,49718,37192,175479,48735
38152,160502,121289,41823,94240
42092,120782,43297,29117,28596
30073,52895,83707,63961,72888
28397,50550,73266,68242,37313
39233,50862,117655,33265,123642
23504,26212,41898,77336,107892
114228,55733,52108,90830,114450
40208,32627,122011,42994,110182
100416,50576,53874,57352,74446
48198,39733,100478,120997,274325
58028,68009,62347,87680,42250
23163,105545,92900,55583,54381
53791,69578,59096,35990,50037
39071,50623,59499,32927,131450
44703,24965,68041,57606,93252
56650,29139,64878,54664,119412
65090,90908,53013,56357,162220
95846,35756,39893,47578,89332
23233,37488,44951,77399,58803
104144,79781,36679,48713,37856
32195,23556,64305,174684,168983
58020,43490,93555,77443,109603
79998,38564,29925,122229,77283
25326,42518,30845,63700,96756
86271,104853,126015,38488,28461
69506,64028,46229,28302,41757
114701,51837,24780,63779,77224
99277,147425,34823,94399,44464
95013,60351,84018,59513,92267
52049,39450,55942,43667,135496
39727,81519,96090,99116,170063
95775,30331,32911,32391,37917
19767,49452,171220,67314,55940
69733,86040,99943,71515,30406
43323,53923,52877,61268,104742
47680,156789,31539,37182,61015
20752,64142,33994,62958,153372
57782,24181,81755,125693,97604
97241,37924,72109,60865,45734
37131,31815,71192,78968,49442
51050,93645,55325,35172,107085
42933,93169,46786,61940,65778
100505,47169,42416,22411,90931
124555,54169,176860,65624,72204
206277,124920,67436,61836,59461
38822,60005,26503,129517,94489
30337,87585,35492,61434,59743
31219,32224,46850,48516,122163
