Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Music,Tools,Health
295,304,321
171,146,257
178,357,233
304,276,334
374,408,489
351,415,163
361,307,180
193,215,108
113,399,223
139,314,192
346,272,454
387,201,306
504,259,234
380,396,219
153,435,113
267,193,234
391,295,169
211,423,298
412,329,184
162,256,251
232,354,443
388,190,157
308,283,134
321,460,211
137,417,143
418,200,174
309,587,188
527,392,175
363,158,344
312,435,308
198,344,351
265,350,187
266,413,224
256,186,481
451,141,171
130,490,227
112,234,295
322,277,208
185,174,109
149,602,374
115,244,383
385,205,170
362,371,320
113,324,389
178,230,173
370,276,200
263,344,218
303,268,208
279,159,188
172,166,325
212,337,121
175,396,453
224,487,165
416,425,133
399,458,135
553,209,115
216,292,400
314,202,230
215,188,314
236,239,195
252,195,468
402,259,120
248,426,274
119,196,220
208,535,142
198,116,131
115,203,149
450,580,188
303,594,97
159,448,87
239,208,134
182,195,211
355,201,314
192,147,92
366,325,406
251,254,314
165,191,168
272,187,380
184,378,260
382,330,221
123,230,232
196,510,381
442,243,188
122,338,265
121,288,76
144,190,387
119,409,423
258,284,221
413,260,254
414,279,358
351,379,222
118,341,453
154,299,117
160,352,274
205,183,108
231,136,319
547,340,159
130,392,116
276,194,297
478,461,318
189,498,315
299,211,207
156,269,229
254,166,183
289,359,250
168,335,334
147,326,304
275,332,92
468,624,121
213,160,164
187,90,192
165,96,76
418,143,369
107,141,435
255,364,352
340,227,168
217,237,68
117,508,382
