Business and Finance, Data on the monthly revenue of different companies, USD, normal
SwiftLink,NovaEdge,SmartHub,CoreLogic,MarketZen,TrueNorth,SkyBound
74458,44193,61174,25864,30362,58678,42119
73619,17338,27572,18306,66383,52081,58652
68915,22885,31831,35446,47224,49750,38248
71034,38829,35522,41420,43307,31309,30382
76559,55444,17683,30570,51670,43541,49951
82363,28680,41624,44906,37797,47822,53247
37538,61840,43905,32892,31066,57204,22095
20052,73691,31807,35303,78666,52134,52866
69229,60397,60548,48788,52529,59699,49051
42208,29192,39286,36194,56580,57312,34439
71632,53053,47786,40961,37028,44141,30336
47398,16586,43087,44527,58794,40969,30105
51850,41166,60735,52439,51671,53992,31863
83361,13565,29345,22629,66710,52888,51727
63940,46642,38904,72387,46123,27947,53785
46731,31588,39062,30046,65969,43012,57542
48525,29942,36098,47461,62626,57366,28387
44436,49512,31234,23741,70635,56069,35534
81210,15027,38564,42913,74066,43226,48042
49415,45942,58196,6738,49165,43121,20433
63347,37220,50683,21717,37124,86208,40431
70577,20565,53889,34698,44093,46139,59537
59306,52093,79976,32737,64871,34521,73131
63336,31799,26120,65436,28278,32877,35149
75437,51610,49672,68275,39440,41787,31560
47582,51332,54803,37198,74973,33430,61888
44151,25502,29092,23151,63200,59082,63370
59744,37846,47650,32511,61207,58529,31693
22814,37039,18770,34233,55856,33628,33490
82654,23197,55046,26493,68082,53149,53051
73052,42408,30216,31433,43189,47818,37409
70461,30135,27452,50345,35222,54920,57528
54723,57016,51376,38438,64084,74115,53300
60368,56204,44003,44611,66288,48157,49563
55322,27354,40227,45564,58514,57883,39389
38263,48076,73293,22570,83284,45170,47758
74767,21726,41390,69296,60599,54228,52806
98540,65026,57108,22985,58828,38709,47860
44074,52336,47057,33943,57100,32915,59256
49959,62150,73582,44367,69363,100401,60851
60666,34417,41943,52743,58912,78565,37258
36319,50372,31021,25545,73086,36680,61495
62632,33364,33899,26024,58428,28529,45373
34426,39052,55433,55158,57937,60911,48989
66517,54131,21107,55225,66768,50009,28262
58294,25599,45573,30318,53742,62253,26397
79610,46233,42673,37343,70042,29468,31651
78396,40135,50245,35738,75984,58410,54032
61551,44633,36414,67635,67196,36021,47239
74596,48542,19756,52153,58184,44411,48490
85787,26008,54630,50069,58166,53149,36453
46868,21981,60468,42718,59678,46914,48821
54090,32436,20045,18209,59625,32562,48907
39563,33686,42455,30696,73792,58421,15460
51841,43689,67735,29325,41034,60389,30396
56783,53459,24801,44375,69065,66371,42568
51685,40347,71890,28957,48831,52763,46147
70364,20574,44256,37041,57231,49299,49433
68528,56927,44930,48877,64317,44544,55241
60451,32747,52751,35099,61039,34938,45627
39637,78330,61227,36910,28277,57213,53861
37124,4597,53692,18525,53453,64002,34334
71569,37507,34031,28443,70795,51361,39662
74678,31540,34302,40700,63980,58400,36868
54170,37658,47481,25798,76166,45476,61671
60583,69726,46659,34986,79992,58687,34954
46791,67165,39715,30566,22979,42924,46699
49139,30553,56021,30874,77127,19655,57168
61638,62897,38670,18593,55100,65153,43560
75379,31138,23843,30561,75561,35126,26781
48665,33731,18943,29084,58925,29950,60455
66613,61953,32188,43752,70458,39086,55807
57975,28564,48008,52279,63104,57302,58489
64442,12793,18301,35136,65522,55003,76769
39515,12674,46893,43290,74362,75859,53984
59970,62654,42659,43335,54309,35994,43033
63787,31482,17438,67013,51430,45720,25505
55850,34384,59342,22528,58981,46369,37800
49789,37937,35274,65586,58056,40347,29309
80115,4166,46577,48250,62718,57684,50900
72842,21386,35188,27111,61317,58231,22046
55546,26624,48073,36594,69517,24019,46434
44637,35882,30792,52162,50929,43506,49918
38307,85653,22692,56353,59827,47515,46753
66090,6905,13578,34768,54667,39887,53147
31924,12957,40805,9225,54194,22459,49112
77223,19367,31984,23078,70082,55026,54523
76352,24499,32211,38974,61137,58104,42867
60380,48575,34513,50434,58150,48430,61949
60343,53664,31883,28618,38767,42480,46144
70124,50270,50552,20982,82358,41541,25943
70985,70421,53927,44142,74498,60907,42566
73048,56358,35317,25088,58705,36253,25404
51776,58316,44358,36725,31196,22825,53320
46148,42025,50849,38571,68612,51335,48653
47014,49363,69253,34630,57738,34626,48475
45047,32557,58039,45075,64246,52000,61129
78221,54137,15452,44970,52410,22586,42281
62690,43704,65309,45322,55767,60508,56020
68624,34023,30152,28358,63309,55690,22154
44401,46072,52472,23830,54410,40027,41588
38393,44926,75378,39916,51480,21720,55918
70918,37060,41686,58643,45642,39404,27318
39425,45556,50333,68618,54007,39213,52716
78899,63148,42904,45858,34827,44025,56725
49428,56272,32242,45531,73715,44858,41549
52246,49475,57424,35570,31554,55770,54895
90532,46137,43098,39723,53592,69560,41345
17161,57569,29824,53266,47430,51120,43174
39175,17796,44279,11077,73197,42003,37190
76313,49917,39861,71499,59406,25588,25104
50642,40414,64959,24303,66299,48410,49958
64354,30120,36827,4808,56888,47685,48125
50647,25628,32912,11349,68477,55801,42373
82964,51271,35373,42715,49739,54028,30247
47670,44129,27410,53862,53801,65744,57963
36422,10850,49750,50656,59268,48810,32941
44774,60784,23179,49479,88091,43897,40337
45691,35842,59290,30599,68537,49826,11958
