Education and Academics, Data on employment rates in different schools, %, normal
Redwood Prep,Fairview School,Westport Academy,Maplewood School
87.78,79.43,86.77,81.96
80.53,86.98,80.19,81.13
85.27,84.55,83.21,82.99
79.25,90.1,79.54,82.82
85.24,73.52,72.42,82.66
86.26,81.71,78.43,81.1
86.46,84.31,73.0,83.62
87.43,81.58,75.57,81.31
82.75,81.19,85.71,83.48
87.69,83.53,74.35,80.79
82.15,82.34,81.67,89.06
83.76,81.09,81.35,85.42
82.42,84.92,83.66,81.69
80.2,80.57,81.8,85.05
79.84,80.13,80.21,83.08
90.3,82.33,85.87,87.48
87.45,78.35,67.22,82.86
83.54,82.62,81.96,77.14
83.72,78.43,77.11,82.6
86.0,85.9,77.99,90.2
86.7,89.38,83.36,82.96
82.44,79.81,74.83,79.77
86.12,84.28,81.81,80.15
80.52,83.84,75.78,87.32
85.56,80.28,92.42,82.15
87.61,83.97,79.77,83.43
87.2,82.7,81.39,85.36
82.33,86.55,80.11,83.63
85.24,81.9,80.12,81.35
82.86,76.51,85.03,82.99
77.12,81.76,86.58,83.17
88.9,84.21,85.11,87.47
83.98,82.49,83.68,81.8
79.9,78.97,80.9,81.97
84.2,77.47,78.93,84.24
83.27,82.95,88.18,86.75
80.21,77.81,73.07,83.49
80.89,78.27,85.63,81.08
80.31,81.78,81.49,83.71
83.81,84.13,78.81,80.75
90.38,84.46,84.03,81.65
80.13,82.91,78.19,79.0
86.25,87.16,87.0,82.7
85.89,80.67,83.85,81.27
85.99,79.16,70.74,87.03
82.33,77.95,82.81,86.13
84.93,85.82,77.88,78.84
87.11,79.39,80.01,83.93
82.17,89.52,79.06,84.63
88.15,78.88,81.62,83.21
80.94,86.8,77.21,82.33
82.9,81.88,76.76,78.76
84.36,82.21,78.5,81.53
85.74,79.67,78.85,82.55
89.83,90.16,83.53,84.3
82.39,80.95,78.88,79.74
78.1,83.85,79.02,81.61
87.0,82.5,84.39,81.96
79.61,86.97,77.13,83.39
88.87,79.0,76.91,81.07
84.38,77.16,87.65,86.79
82.7,89.68,77.73,82.69
86.0,83.62,79.69,80.41
84.14,82.53,76.5,81.47
86.63,88.12,76.64,80.07
82.28,76.43,79.23,83.25
85.84,84.34,78.0,84.54
82.93,84.02,73.27,82.25
77.9,84.94,72.86,87.2
84.78,78.46,81.38,88.76
89.55,82.29,78.1,79.5
78.62,82.23,78.53,83.98
86.68,84.77,76.39,81.13
82.87,90.28,81.14,82.98
81.63,77.05,80.02,83.99
86.48,80.01,85.99,84.28
86.85,82.94,74.63,83.41
83.87,79.39,86.21,83.72
86.97,78.88,85.81,81.96
75.51,89.53,85.32,83.5
83.72,80.66,82.11,85.71
84.74,86.83,86.48,85.18
84.24,79.66,82.06,81.06
79.08,81.21,83.84,82.47
84.97,77.9,85.21,85.47
81.56,82.94,79.82,87.43
80.96,73.91,77.77,79.66
79.69,81.46,84.17,87.34
84.58,76.99,86.17,82.18
84.8,83.45,78.54,83.59
79.13,73.69,82.22,80.25
82.22,86.16,82.72,82.55
87.19,84.1,81.33,83.75
85.37,85.32,84.63,89.26
81.49,79.5,84.92,86.24
83.04,86.2,91.76,85.13
84.83,81.77,85.33,83.72
89.25,82.34,75.76,81.32
83.14,80.1,77.77,81.58
82.39,82.6,75.66,81.79
81.41,84.28,82.0,81.24
82.32,83.04,77.7,86.84
82.32,79.92,78.58,78.48
83.01,81.48,73.16,84.76
84.48,83.92,75.0,81.45
82.22,81.45,87.05,88.26
80.21,81.94,80.91,81.68
86.91,79.5,80.57,83.11
80.42,85.75,82.53,85.39
81.21,75.8,87.21,87.66
80.73,81.43,78.47,81.23
84.47,78.88,84.01,84.15
78.66,83.3,78.34,84.53
86.62,91.55,82.64,82.16
83.43,83.83,88.19,80.0
83.22,81.05,76.51,78.78
81.64,79.66,76.19,79.29
83.73,84.72,75.91,82.54
85.98,83.07,83.59,87.41
82.88,75.74,77.81,83.55
