Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Dunvale,Mapleton
610,1222
1879,576
1021,1346
865,1070
622,698
653,1542
614,1869
771,967
827,1346
754,1568
799,499
1624,1395
912,941
596,1022
714,1232
968,1346
644,1103
761,1297
1128,930
1100,1616
602,1697
1365,1357
1413,1582
1243,721
1108,1269
1055,2015
1008,2259
543,836
711,1611
836,1117
878,1335
634,993
635,597
673,1955
1055,925
714,787
1146,998
1206,1058
1027,1026
1197,1532
1125,1703
902,512
1720,1335
694,1090
709,628
568,555
1413,2194
1824,1270
1278,1132
1125,905
1603,846
915,871
659,1077
1517,929
838,1386
578,884
1088,1390
1405,1539
603,1124
605,612
654,1514
1549,1540
1171,785
725,1401
907,559
654,1466
1015,791
1257,1709
699,984
1209,1144
834,640
1029,972
597,1608
836,651
1042,1281
566,1197
1586,2355
939,675
528,599
1470,1403
1257,748
790,930
1172,1227
1728,873
1469,986
687,598
635,1491
859,853
836,1366
770,1290
853,639
788,799
1205,1679
1189,1377
1419,550
733,1351
1443,848
696,600
916,636
998,1265
719,1705
1011,1826
827,906
1249,821
964,1179
786,1759
1820,754
1739,616
1016,696
807,1120
862,1054
1040,771
681,1064
977,1511
716,489
1236,791
747,1638
818,953
