Business and Finance, Data on the monthly revenue of different companies, USD, skewed
PureSync,SwiftLink,SmartHub,UrbanFlow,EcoCore,SkyBound
141079,46217,75861,174692,37803,52469
72902,25450,110548,128514,51299,134448
108563,73827,36915,99431,76757,40579
35199,97263,108363,50758,138823,33930
59728,59130,73318,168535,59471,116708
49745,81187,62198,133921,61844,107003
60197,62910,105590,47269,62653,83910
46242,93360,104405,53799,49697,95391
53372,77005,115610,76165,32316,103305
42976,39194,121182,68620,68005,111474
51688,42309,174812,128142,72748,43203
179056,107219,113102,51581,67102,45176
39050,27413,37925,64630,52150,139182
32338,203980,67210,58821,43542,38277
73820,41738,43750,97144,46272,44422
118366,128736,70585,113970,114060,129777
32154,70204,81097,60295,53059,42149
64175,35069,92201,77761,41369,75106
74604,31658,55975,60065,110238,122445
78444,56464,62477,48762,137801,99097
102502,139652,59680,60805,111936,51708
30687,104235,79772,80973,90728,127190
43850,103912,47888,35496,43218,143973
47885,30892,98702,40885,57612,121887
45456,119310,67212,82437,60988,47983
66803,70920,56554,50443,66299,83806
23931,97512,37840,73067,118176,95310
94419,57644,72851,51611,106854,29422
49186,61826,62370,46142,72911,118853
20962,51723,45179,95793,50618,122464
69121,36854,78172,77880,145905,29306
43248,49050,78126,146554,122598,144916
30404,38256,127461,60009,33560,92701
71842,68752,86205,52031,54788,158117
23133,28392,71511,76606,78001,35208
39339,35935,27786,31993,62137,121682
68401,54562,96722,48593,100510,46135
64803,33421,135253,78389,58225,162990
28639,71180,154340,92038,34843,74328
93295,65047,76113,63733,63296,71873
64638,37571,48551,85130,52335,116435
39005,30948,58022,147193,113357,59784
73783,79912,78077,31101,126075,42548
30867,39283,45511,64056,90469,96665
68054,67781,77761,20326,47136,34852
52145,96541,178359,48323,137243,121101
61489,56654,84607,117617,117985,63878
79322,31847,36083,63866,54725,95231
35063,42550,54268,66084,107163,142192
37490,64768,49293,23575,121377,48312
49862,60219,41124,93991,41237,124512
38973,63334,51053,69657,120372,123886
97156,53555,36654,140941,74076,120241
99376,72305,92982,93438,90651,48243
36298,82712,62737,58330,85576,189290
68246,107500,116634,87612,82114,39911
82363,41140,66351,24227,61357,95718
111006,180017,125504,80846,83684,79747
41875,44593,64486,98923,86855,71267
57350,74942,42362,46054,198645,69201
125716,98752,105100,319975,82138,70369
50477,41682,51709,24260,89328,110599
58028,37105,165470,35062,93237,135492
29475,31923,120729,40283,113413,97180
59701,129133,99573,34286,44157,88986
40465,119666,115988,218448,82267,101802
40407,39163,124338,124815,80242,35624
56288,73257,79672,29930,57364,34440
27744,52013,39628,81253,91880,69396
25849,110005,41235,54152,35448,75466
69673,54304,48238,92807,101991,161000
38290,62118,57947,125317,61593,64667
97728,26449,46644,19514,39538,105193
68953,42453,83654,59665,143854,42164
71371,40567,68953,90848,69440,58097
47438,57767,140609,63313,55018,39345
43124,69775,33744,135559,264087,40249
27057,68699,165271,90469,103432,110786
90484,44426,125494,65433,46825,45597
37632,21909,120008,69907,34836,89295
23764,31245,136750,106801,51946,96896
78682,147690,98873,88839,113502,66171
70933,54259,58389,38361,65878,57194
37281,48217,80278,21417,89469,64045
28962,102025,36329,87705,72709,62846
45864,101894,66522,30512,154329,90540
45304,80532,30283,26387,50733,58603
71156,29908,60581,91571,71936,128524
47999,61855,159637,165822,45232,37600
24203,47734,109554,44392,58898,79705
72261,38796,42789,26033,52176,84358
65343,154519,38315,49011,49640,81798
86035,92485,67811,101508,65011,124392
70484,97338,41463,114319,221104,79492
25058,30835,28989,48559,102899,104657
59873,98879,52450,86273,37048,83067
99213,34164,191978,40825,152836,43194
102108,46858,265959,153265,68205,123985
29033,67863,82225,43698,108473,55212
53006,70721,38963,89208,115391,93495
76625,80267,40940,82283,65683,53871
60879,28894,52131,34085,52733,76227
42265,27783,84359,35814,59231,98621
75565,79498,170241,165513,29769,84806
55511,30762,63814,61420,122898,80898
32505,103954,43493,80710,77402,48451
109228,69538,47446,51938,43072,93434
57803,30596,37055,135491,100562,42637
48187,41533,27097,81401,64120,69670
56674,24418,47429,63346,100755,73591
24252,74237,83475,97405,113089,106831
103719,26122,95723,37892,39205,122578
97083,55973,33494,156346,90614,43326
35291,37512,50486,55208,66759,49014
70795,62312,85487,66121,43239,120127
45397,99026,126932,59033,108972,56682
72407,37210,55791,22790,78652,157624
71172,69360,72514,116493,57255,50608
34424,75868,93654,93320,102548,46224
24607,29115,77476,46920,159828,80454
