Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Highvale,Yorkton,Ironwood
2797,3784,5653
2600,4410,5090
2419,3585,5146
2273,3974,5071
2216,3826,5514
2305,3717,4810
2356,3859,4441
2572,3738,4456
2527,4277,3799
2277,4100,5270
2101,3984,4493
2625,4213,5474
2904,3261,5835
2963,4299,5147
2575,3714,5542
2743,3486,5461
2482,4384,5525
2258,4026,5166
2786,3621,5177
2643,3405,5048
2935,3991,5203
2342,3991,6126
2589,3980,5485
2338,4131,5121
2711,3618,4662
2371,4314,5427
2190,4235,5399
2686,4007,5860
2786,4186,5006
2114,4065,4387
2681,3954,5033
2439,4190,5534
2889,4086,5397
2355,3906,5231
2551,4162,5019
2752,4382,4235
1966,4160,5849
2589,4214,4069
2639,3857,6204
2680,3767,4197
2000,3566,4518
2225,4352,5584
2682,4289,4000
2349,3982,5286
2527,3728,5377
2453,3835,4889
2344,3803,5187
2516,3596,6166
2207,3447,4978
2167,4154,5376
2625,3548,4701
2858,3632,5539
2126,4172,5054
2025,3502,5694
2877,3799,3568
2168,3700,4427
2940,3774,4847
2840,3912,4771
2458,4152,5205
2777,4065,5903
2563,4133,5272
2925,3710,6117
2887,4395,5570
2558,3913,4757
2666,4125,4904
2180,4102,5760
1871,4074,5324
2757,4324,4154
2302,3545,4937
2886,4252,6254
2449,3602,5887
2902,4169,5469
2944,4341,5927
2620,3702,4824
2802,4262,6202
2587,4318,5824
2789,3734,4982
2757,4151,5004
2662,3866,5683
2813,3649,5163
2169,4367,4322
2767,4055,4211
2710,3792,5729
2704,3770,4918
2979,3819,4716
2234,4036,5206
2306,3968,5464
2540,3882,5903
2648,3813,4731
2717,4201,5503
2507,4196,4499
2533,3744,4456
2775,4065,5269
3113,3635,4527
2739,4016,5086
2820,3535,5944
2805,3858,4659
1981,4351,5167
2277,3543,5708
2952,3974,4613
2711,4237,5623
2353,3970,5168
2700,4121,4873
2408,3830,5199
2385,3890,5646
2568,3816,4357
2040,3761,4853
2538,3843,5346
2642,3829,5177
2160,3562,4671
2144,4225,4770
2625,4372,5024
2735,3951,4438
2417,3974,4024
2807,4208,5709
2528,3906,5713
2052,4108,5941
2236,3860,5890
