Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, t
Showio,Reelix,SceneX
18091,25854,8118
19928,25966,12927
29077,22987,17535
20212,20314,12884
13522,22637,20023
12621,24636,13030
16812,21798,13931
19265,22668,13259
17737,22738,13740
19881,23114,14174
12946,21196,5632
21369,22854,5946
16086,23360,15456
13044,24499,11175
18427,20948,12754
17674,22450,19325
19208,22902,15078
20729,21904,3466
19687,22426,6844
14964,23407,13690
10122,25448,18336
21778,24422,2563
13910,21100,9641
11920,21889,18257
17162,22156,15352
19351,21224,14880
23487,20751,16444
22442,22022,15493
18404,21629,8645
13766,19914,12346
22727,22747,2279
15302,22518,10234
13900,23366,14634
16266,19897,11106
15478,22638,17895
25486,22789,13309
18593,22742,16772
14495,24379,16295
15390,23514,19889
20679,21304,10647
14066,23588,21481
16259,21876,12435
11137,24378,16400
20362,17913,11689
22720,23736,14273
27629,23387,9326
19514,23539,16429
18988,24499,5812
16955,19783,18256
18755,21626,13406
16556,23498,11871
13582,22733,14207
20849,22235,18196
19921,22878,11009
14800,22148,18142
15714,23901,9253
20808,21740,12211
14935,21422,10855
13627,24314,19274
23383,23655,11422
16304,24150,9770
15744,22458,6680
16185,23715,11534
19630,17789,16789
28757,21431,14904
14109,23482,14902
20014,22515,11674
7814,23598,14224
20285,23292,11669
18634,22432,11981
12669,23343,10911
17653,23667,12731
22436,21557,18253
16622,22330,11756
13938,25602,14277
22097,23643,11740
25564,23937,17010
21472,21756,4359
17994,22581,19099
16359,22233,18152
16444,24357,17580
3823,21489,13442
18883,20164,1999
20728,21879,15979
8152,24877,14973
19607,23520,20806
22978,25418,15841
15709,22835,8169
22696,20845,14858
21116,22446,9075
13558,24044,14041
17367,23542,14734
12276,23084,13921
15022,22820,9849
22288,21327,10977
21505,25272,3780
21658,23421,19331
17831,22531,16854
18556,21831,12817
26477,20989,21950
20228,21449,8289
14947,23995,18375
15312,22492,14117
14236,21667,8732
18941,22829,13767
21411,22436,16196
19082,25309,17400
14697,24549,10309
22632,24702,10410
20880,20595,15528
22734,24391,15236
27752,21868,4088
18521,22065,9189
19167,21467,11329
16877,20258,11844
18298,23331,11623
23635,22981,20914
