Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Brookfield,Highvale,Springfield,Westport
540,1513,1772,1504
513,1759,1782,950
944,1774,1783,1375
782,1358,1707,1487
706,1211,1582,1046
593,1425,1186,1447
540,1704,1243,2458
523,2131,830,765
613,1973,1023,1464
518,1632,1476,1448
601,2172,1504,1557
956,1400,1090,1054
568,2020,1031,421
927,1432,1120,799
670,1472,784,1083
635,2274,2013,945
700,1683,889,1502
1185,1292,2044,1844
534,1316,1516,961
555,2501,2463,1373
662,1230,1090,1363
698,1415,2650,1261
539,1131,1571,1608
973,1351,903,1929
550,2064,888,2025
904,1577,1017,791
689,1237,1027,1108
972,1206,908,2612
833,1611,747,1568
579,1321,1373,718
559,1414,1101,1789
848,1077,782,1126
799,1280,795,1221
793,1338,1902,2714
778,1496,1891,1382
911,1240,2603,1034
781,1332,1345,1580
908,1303,1099,854
543,1161,746,1836
848,1630,1842,2164
833,1447,1329,1374
697,1653,1477,1427
642,1752,1997,695
752,1549,771,2232
639,1180,1403,518
809,1358,1699,1175
852,1056,1521,1660
555,1397,2153,984
832,1126,1715,836
572,1396,896,1421
571,1413,1577,1004
587,1128,1405,740
773,1362,879,1513
554,1465,2344,1929
591,1517,1684,1565
825,1593,868,1771
495,1629,883,1895
565,1188,730,720
673,2106,1557,1500
1235,1173,2289,1266
552,1481,864,2172
680,1420,1676,772
912,1403,1091,988
711,1312,982,1672
615,1169,1809,1196
577,1140,1415,1677
530,1180,1553,1566
581,1329,1126,1100
745,1352,1318,469
939,1576,1342,1426
850,1483,1265,1945
788,1318,1152,1837
498,1645,2150,641
559,1422,824,690
650,1223,860,854
669,1420,1983,386
634,1472,1304,1131
658,1178,1575,1211
749,1191,2061,882
602,1299,1388,653
780,1263,815,951
524,1278,1440,2239
610,1386,1062,1124
1198,1189,1790,698
681,1636,1973,1791
754,1267,1267,1847
1101,1586,935,1741
779,1890,692,1082
630,1378,1309,2351
555,1505,1412,1834
1029,1246,1392,671
986,1680,2514,1681
871,1522,1016,2194
754,1435,1205,626
698,1272,2072,1097
543,1337,863,1140
937,1583,753,1575
533,2051,1311,570
807,1549,2239,459
730,2025,1187,2026
550,1291,1066,626
737,1266,1524,1515
580,1543,1325,945
1077,1800,1363,2118
571,1224,1519,587
804,1361,781,1172
1131,1154,1252,2030
706,1250,1167,1347
680,1212,1922,544
655,1583,719,654
594,1291,1536,1594
784,1474,1952,1046
696,1166,1546,527
597,1453,1584,1229
814,1179,1572,935
599,1238,2521,1007
829,1373,2461,689
597,1131,1167,2068
