Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Northgate,Highvale,Fairmont
539,1553,1206
989,1088,1216
859,897,775
944,1053,592
817,1687,1192
631,1137,1027
1539,1144,1056
704,1546,621
886,1550,668
566,1199,140
1242,1116,495
345,1414,552
870,847,810
1111,1399,318
796,832,586
185,1439,1181
811,1302,1157
1202,1534,466
1439,1136,1386
926,1410,1277
490,1055,284
1050,1153,556
1106,1218,1203
1297,1178,613
906,603,588
509,1263,1479
120,973,300
657,1114,1313
874,1228,811
1256,745,801
989,1366,635
700,854,1307
1097,1798,917
828,1559,559
1006,1242,802
1059,1008,881
1175,907,799
1052,862,858
767,1078,1142
916,1080,1085
1052,1084,644
978,735,1042
725,1127,1150
1394,820,708
1277,563,1482
328,1196,676
1511,1242,845
803,1272,274
1285,1530,914
1283,904,1007
1091,926,573
980,733,1238
618,1318,359
560,832,1272
609,1019,1109
1074,1760,942
1346,889,1163
1148,1220,1195
783,889,989
963,882,1239
1585,1078,916
751,749,549
869,1055,939
1340,467,1470
1093,1058,1390
412,1298,1141
833,1193,1305
567,1455,558
1143,1146,556
898,1154,954
549,1122,1290
804,1169,1012
829,1162,1114
778,1281,370
1168,950,1236
1541,1739,776
1404,1085,1389
1169,830,1220
876,1280,1019
1643,1278,1617
1035,539,826
1181,1326,1002
895,1579,1054
992,1340,940
1529,983,620
436,1155,521
513,1168,1070
1072,1217,1231
763,1634,902
966,834,783
1413,1771,648
998,909,525
640,1397,799
1219,901,766
998,1169,1128
457,1040,1016
1337,1099,1283
1009,918,908
1506,642,629
1050,1484,288
1175,840,1345
426,841,206
768,1330,651
769,975,844
985,1316,1196
600,1159,1008
899,1304,1473
796,969,1484
806,1011,1115
770,1276,956
1088,1059,1021
777,1126,702
485,1340,741
864,1123,533
1101,1506,1257
