Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Zephyr,Ironwood,Brookfield,Glenhaven,Fairmont,Pinehaven
800,1002,1683,533,1691,763
823,768,1744,387,2141,1292
729,431,1508,364,1855,1202
550,524,1968,765,1837,555
377,517,1838,550,2287,848
491,1373,1319,518,1608,663
233,943,1715,792,1482,1002
311,1125,2702,482,1246,624
262,879,2024,700,1768,622
343,506,1429,500,2745,904
613,935,1324,565,1880,636
406,756,1143,1313,1898,914
349,845,1139,390,1334,625
549,632,1500,644,1568,988
494,735,1658,1071,2408,873
369,578,2771,458,1092,1040
301,386,1562,597,1094,758
243,1089,2963,869,1361,722
708,1029,1054,789,2126,849
400,915,1696,243,2102,802
536,1369,1615,565,1512,1202
454,276,1271,931,1889,917
461,278,1235,1205,1599,952
511,1144,1513,801,2321,521
428,830,1364,996,1390,555
390,520,1327,249,3036,748
416,671,1070,601,1692,1474
278,588,1069,661,2495,1093
367,931,2505,545,2290,645
544,815,2073,745,2787,1495
294,1718,1664,551,2357,670
210,627,1481,448,2029,810
482,1287,2678,667,2414,1678
235,1363,1261,309,1928,556
318,699,1378,482,2575,521
219,1069,1377,681,1866,802
380,1334,1232,918,2200,801
214,460,1915,399,3207,717
422,603,1308,1424,2678,998
280,833,1348,1037,2006,963
307,897,1362,599,1738,1090
239,555,1705,998,3201,555
392,898,1446,1032,2843,645
338,1076,1110,472,979,1250
462,965,2116,629,2148,743
520,720,1095,1166,3926,878
313,578,1591,1146,1697,1161
334,910,1933,498,2378,852
640,649,1187,285,2904,1455
289,596,1772,764,1006,987
223,861,1870,472,2032,1154
388,650,1468,703,1772,600
255,766,1888,446,2211,1188
860,1358,1184,708,1914,856
277,1003,1393,1115,1232,725
392,756,1247,902,1179,1064
252,538,1302,1143,2148,919
314,410,2153,523,2241,1190
502,555,1039,948,1342,814
345,1066,1148,597,3962,1125
276,320,1359,431,1711,820
392,763,2380,515,1330,897
593,329,1323,691,2607,487
699,284,1406,714,1859,747
271,990,1208,724,2812,794
240,851,1165,776,3816,641
494,602,1212,530,1656,544
587,1184,1810,288,2656,695
358,709,1755,985,1348,656
581,1112,2808,833,1429,766
357,855,2750,890,1809,900
314,427,3053,1017,1535,1089
267,1345,1023,1101,2288,738
465,1487,1397,497,1147,653
268,1018,1776,438,3943,759
588,642,1657,1351,1535,937
474,521,1270,639,1409,1197
424,495,1781,856,2360,605
519,922,1804,355,3022,587
371,889,1362,535,3466,882
423,1070,1633,478,1455,537
842,849,1642,380,1408,1657
360,883,1213,1142,2227,1720
676,1489,1060,677,2718,1224
290,780,1613,347,1564,884
304,774,1779,800,2007,849
427,875,1950,209,3376,1134
264,577,1012,645,3919,538
490,728,1208,825,1570,622
408,636,2348,492,1730,559
392,637,2143,878,1949,681
883,1457,1234,359,2247,906
477,857,1652,264,1058,659
343,1248,1333,743,2240,782
294,593,1922,805,2460,495
282,741,1077,466,3056,726
693,449,1438,233,3210,595
927,679,1039,562,3674,818
511,1751,1313,774,3961,879
248,1142,1570,815,2262,1354
249,1485,1246,493,1150,789
633,851,1780,609,2641,1098
349,1031,1381,1008,1756,669
365,1111,1461,618,2757,974
224,605,2750,614,3611,812
504,764,1943,600,2220,567
405,1727,1065,825,1182,1086
226,732,2094,662,2675,620
498,1145,2214,605,2149,527
238,575,1919,1321,2355,948
347,491,2044,1043,1669,1071
236,997,1321,1400,1867,1052
362,1874,1454,968,1894,893
364,1464,1276,936,3298,567
378,784,2756,532,3660,1049
234,565,1976,684,4050,615
261,851,1550,218,3223,1253
235,1381,1438,953,1203,969
