Business and Finance, Data on the monthly revenue of different companies, USD, skewed
SwiftLink,EcoCore,NovaEdge,PrimeVue
61510,37837,71550,50599
45808,78820,36682,102891
74679,117363,58986,63889
93440,180129,31630,97484
42876,40603,33667,56994
80893,90129,28539,85225
71195,65418,25028,46325
55174,63226,42084,38448
31965,60475,77136,40475
18414,100030,45790,81477
83123,107134,24108,54997
135383,44881,66422,62843
26522,63832,21203,98979
28358,44060,94002,77322
19666,82495,51721,110035
74598,61454,54281,87635
63794,67706,27683,117553
70083,69193,21941,118205
39396,39279,30990,43207
92702,51435,37502,58991
17229,103117,57322,66291
81547,22814,80967,90636
64523,39381,65923,50469
84209,65336,24990,84269
29786,40407,53537,53615
22252,156612,64898,29299
128306,89617,82412,43853
53281,39620,41815,96115
84280,57655,34362,81533
32724,36958,32836,40375
58499,45482,84976,71300
80552,35260,32725,178007
79714,87212,61724,28370
44223,97903,59723,43339
95773,65784,80152,82712
31340,37340,146914,39130
19985,90679,88271,48838
49810,44335,85764,55060
109721,62409,18686,35359
100165,62862,61307,51839
30557,57937,41865,116955
68949,20221,38043,52106
82535,112024,69519,127248
17627,55563,53107,74281
84898,36471,69250,106619
89524,54891,108738,184172
56475,70905,199011,96117
25469,47591,50458,40902
51199,65282,22238,31864
37169,71398,51651,94818
22572,74810,59175,72136
64821,27195,23416,92414
32825,66065,52657,31546
28945,108839,29530,44036
58405,48660,65016,144495
101882,129198,37834,64308
44480,81268,44223,52961
51317,54389,41425,77147
33942,100413,43259,40693
22720,47869,56413,71279
43259,55369,21852,82228
42576,37541,29043,192951
173974,120620,37614,29372
56516,57886,84375,80196
29804,24103,24926,48381
42624,76460,20734,47222
53459,78266,98984,89254
31171,42066,35726,40058
21774,22325,57961,64866
128526,150491,74538,64058
18306,24006,57368,39387
25947,73584,61881,71241
28666,29911,62275,50949
31199,63433,32589,85019
66922,62990,40775,82185
81008,100325,40647,117861
46863,80312,67948,103838
81471,131342,23586,63044
75875,83553,79305,88954
27112,140423,21600,38970
19298,51807,60643,59826
23149,26120,163871,32216
45218,27151,19282,115541
94770,81470,25407,96824
62982,43571,46354,71108
32724,68888,80997,100797
83168,43379,37503,39377
69759,52785,70124,77321
43440,109680,52364,104971
54954,87073,36538,49115
62051,39073,68154,78398
57606,51974,51091,48312
47089,39078,31400,73510
27715,83229,19463,46936
31570,111730,154169,60195
30580,29668,29587,77779
45899,80368,53686,63661
62287,23115,37690,64071
31699,70766,105851,68535
66402,46318,35900,32445
43406,90326,37742,47797
28128,73734,51800,110328
32459,139338,35571,78594
70623,100898,98166,46676
41579,106105,76258,35129
43516,59452,65663,86563
74863,107709,50750,60128
19724,33415,37642,54607
20675,79409,50665,102390
91748,34705,48145,53698
69664,36496,50179,37223
70894,136104,29154,137823
45584,45321,46809,61851
42121,79733,27897,62204
44612,56996,37439,80053
121521,160727,112017,62917
145676,78897,35405,54665
28343,63060,62729,38695
30466,64088,40937,89120
55776,28594,23510,35651
