Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Rosewood,Pinehaven,Glenhaven,Brookfield,Quarryville,Zephyr,Springfield
27027,33508,30608,36779,48302,35786,43523
34030,33504,52021,81500,73501,22732,87174
34686,25338,52488,42045,21471,34143,27650
18598,37487,83715,81471,41837,64827,100189
97984,52944,25981,48171,89217,49300,45365
79622,24083,72751,29638,32568,47776,40433
79387,30379,35320,100807,64128,40445,57668
43227,32204,46116,22112,37635,35136,53307
46546,29593,56223,60095,72717,86001,58246
45689,59319,35680,37743,73219,49607,86071
35444,54575,45955,19637,40442,18085,34813
24368,20452,67858,25534,35624,38150,42441
52773,44288,70853,34147,70399,60583,59709
71439,73439,49126,44650,63398,43333,57427
26518,76260,30351,48150,93424,33560,38385
64808,35956,60647,35000,26236,36422,63958
86371,63098,102844,43711,75226,41726,64789
66241,28263,41781,20373,27268,44310,48257
35213,28323,34346,49257,44718,82287,45519
20968,23369,37774,34383,55461,57516,26931
46364,59386,27667,47732,117604,113744,65759
78719,48644,71158,42925,33343,29709,43479
70532,38787,65909,69257,28344,61638,77148
47922,47488,59208,49214,85795,33156,69238
29773,25901,92016,55578,24673,37703,53999
82648,26369,51606,21619,50449,50560,68680
76497,31931,68461,26611,28939,47035,48794
35034,37893,29015,44820,82965,69122,72038
59717,72273,66091,38887,53936,31208,57575
25962,29644,48736,61893,82104,44734,47260
62483,44299,61286,44898,97968,78360,51263
87122,22184,35342,37415,62637,68341,64034
55557,44718,39838,64445,47829,40802,52485
77831,45250,33971,55938,80789,114925,67416
57682,41756,100505,44583,32652,48094,40174
35891,42559,54977,61202,26904,35606,38037
41460,25195,60014,41658,61540,27275,37164
62448,37509,81412,51895,41251,104373,67428
27096,23418,93075,53880,31974,79798,90911
28714,58462,58118,32138,69874,42899,74064
52274,75913,46613,57161,78515,54914,49458
37484,26740,28863,26977,44723,58062,39972
78604,53868,37618,68456,27726,57659,26901
36838,55954,27153,67964,23870,29573,98692
21404,37700,36356,55867,27704,48870,87112
80421,31877,112517,66584,39887,79670,37692
42515,41516,60178,29021,60245,61671,43664
39661,72169,61170,53073,35327,24330,76324
35287,24727,32607,50073,110441,44964,69058
63212,27259,24789,73045,42043,56699,39435
28111,26452,36521,62472,74285,70908,58283
91649,44559,40884,82890,35723,54818,28017
53038,30538,38283,83225,29205,128263,55062
59397,34578,52109,47504,86883,32250,86345
40524,33256,47587,26771,126018,76059,68936
21999,51465,44960,60710,46112,94995,78440
77328,39783,48775,101117,60656,37250,45452
52359,34117,44855,116669,54932,35868,81418
36470,51914,33129,58111,128330,65330,57191
33406,44247,79355,85862,44109,67224,100235
75167,33614,26380,55331,35790,53005,81896
30372,23668,47985,97525,30531,53194,120000
33350,37397,23028,35752,22926,61154,51003
42225,43317,30384,44882,31781,98544,62237
29853,30218,34561,44595,45226,60245,26428
34703,33614,41101,36556,30229,67379,33948
44799,33175,50166,54611,52379,52876,42104
69734,28715,63443,40872,85124,79937,41328
36349,43723,46407,50976,71817,27101,52957
76366,27090,41844,57281,46648,27029,102174
55162,41939,43023,38186,53613,50037,51414
43104,26274,56895,58414,30694,109326,63826
52799,34408,67742,27672,36621,34813,33557
24784,71652,37064,56819,90037,63623,32757
49083,67478,90775,43334,55216,45195,71630
93084,22378,30540,37269,88876,101959,89955
72876,29532,47372,67099,26254,68058,89250
52741,27855,28940,35491,76763,63926,74363
38405,67424,83621,50945,50935,68776,57983
41879,48350,48614,57859,59044,58380,71371
25498,53823,44421,55025,56189,48094,123926
28143,55628,36206,39188,60484,97973,84623
51632,34595,43992,27222,20886,51837,94358
70178,40785,26595,27159,24778,95596,85342
60399,26132,23792,61895,29485,61470,66573
53509,66543,64757,35305,27814,24681,55720
48607,41734,34073,31382,63659,75326,34102
27485,47093,29307,35635,76918,74737,101405
28335,68075,53717,29520,21175,39275,63672
84469,32297,126188,58712,43493,57157,78234
58621,24917,69104,25672,23195,62121,73343
60467,28736,46256,22977,32811,35890,75169
36371,44585,48622,20154,34025,30836,73362
37161,38207,32818,87324,64460,31584,57607
38305,79171,75776,39396,63319,72799,72171
58377,79521,54524,93004,40959,55617,63215
46006,28424,31401,54364,58221,33105,79719
66382,38599,80895,74695,28773,75360,32364
78533,28303,48430,56657,58088,72431,80326
56015,44922,37593,37137,31878,46543,106650
53223,35427,82525,54514,43191,70454,73396
82894,51202,57043,37434,30312,29408,48501
33389,58663,52063,38986,101980,35996,46650
49374,31677,52285,30992,32461,89740,95529
64966,27095,51272,38349,95867,53411,74694
20932,42177,51627,48673,102943,70661,55253
21013,80763,37075,24051,38972,87182,68998
68948,61639,29138,20531,41399,62636,37029
30447,35822,58073,76092,59953,36279,68408
72747,47768,32820,48572,35404,27247,56002
46206,48332,31784,31997,30707,57642,36315
43096,30885,57204,27223,59070,24793,31689
35015,43395,87521,35453,106683,75117,52756
45597,30812,37748,51387,32804,28056,69436
31646,50713,42868,33722,43054,36008,60876
97791,45105,27918,73759,59313,57602,82841
35553,52402,43444,47438,36276,76071,46530
92493,40360,34265,45998,38233,69608,38912
