Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
Castio,Vizzle,Videx,Vido,PixelX
4634,11374,27435,16403,9040
9057,21687,19715,15873,6175
12303,24070,19649,16465,10578
7372,13282,25309,15550,3734
5678,16200,20021,16199,15661
8737,20755,19994,15993,8355
8212,15662,21584,16185,5481
7791,19096,22176,16902,4545
6759,22912,19347,16416,4797
6383,14093,24557,16497,17652
6120,14578,21018,15034,9365
7441,17313,23206,15937,10927
11733,10361,22911,17761,9067
10673,21914,20867,16172,7237
4314,14400,20298,15670,8265
13696,12247,20029,15340,6286
8545,17895,21821,15895,5054
6276,22880,21115,17222,9807
14198,11241,21109,15723,3999
23465,17634,21425,16598,5556
14991,10506,26187,15768,6111
21571,20411,25272,16415,14281
10669,13208,27145,17379,5618
9721,18262,21829,15753,4986
9195,17258,35339,17377,6310
7048,14805,24366,14908,5054
7515,15567,22630,15782,6456
5975,22295,25165,16267,6991
8791,10190,20380,15053,4840
14366,14018,31250,16187,8864
14741,13925,20027,17041,7761
11383,15435,20302,17094,3995
8247,17081,24865,16842,7182
8634,20667,27328,15975,4186
9608,23801,22963,16019,5027
10910,9992,20760,17689,6390
9669,17707,21904,14885,8688
8691,12239,22931,16970,7298
22930,27245,22644,15056,7026
6704,18419,22822,16337,7701
4754,15068,31179,17751,5296
12744,20451,22762,17252,5241
10242,12995,19064,16989,3504
12413,18173,24406,15909,3652
7902,15791,28667,15105,6229
4231,17693,21221,14931,4826
11218,20037,34514,15337,8303
4656,15239,20280,16847,3521
5702,19093,25847,16853,4372
18210,25882,20335,15721,7717
6127,12318,26790,17362,6172
13930,10613,21345,15799,5072
8260,10094,22138,16992,8409
9780,26896,25252,15307,5192
7299,19799,21068,16340,8136
4979,14419,19673,15484,6771
4533,23951,24578,17209,8176
13473,15528,27768,15039,11851
7485,19372,23928,15027,8491
6025,31801,20203,15238,7395
4629,17511,21637,14828,10626
8383,10382,20892,14939,6276
20991,12335,22999,14954,10562
3623,14167,19868,18230,10187
4527,28002,20010,17510,9361
8702,11942,19755,18203,6523
12249,16656,22001,16066,4344
11027,16302,22481,15569,4425
8220,11982,22597,15485,11392
5835,10763,20348,15055,4376
12036,10207,19716,15845,4986
8272,11287,19706,15678,6335
4052,22918,30978,15783,5620
7304,12984,21634,15272,9034
8262,15782,24192,17032,4740
10873,14134,24774,16522,8838
7042,11071,23970,16229,8063
12808,11624,19428,15548,11244
6431,18083,20854,15140,8907
6590,14275,22964,15285,4072
4275,16288,20555,15134,7964
5601,15501,19834,14863,5556
16113,31675,20613,17627,10258
8167,21245,20527,15475,7374
3124,17161,22628,16671,3514
6758,13088,25616,17033,10227
9845,16068,22011,15515,14737
19887,20919,24587,15025,4996
4950,22672,20650,16668,5334
19318,13731,21340,14851,6650
5278,14950,25286,16037,8263
6831,14859,24741,14974,9565
8914,13786,25013,16299,7116
17300,19848,20558,15967,4906
9332,19864,28117,16931,17591
10900,12932,21287,16287,14660
4929,18193,19313,15662,7839
14831,16403,24048,14771,13830
12862,20665,22349,16796,5395
7775,16632,23876,15266,7768
15697,22101,21157,16802,10744
14541,21421,21861,15265,4227
9345,11424,23608,16526,5053
6891,15588,25867,16373,9992
16796,13229,19864,16748,6790
11206,11634,20728,15618,6613
9069,8431,23644,15841,3904
8172,18103,24584,16761,15775
8734,21092,30957,17241,5780
8158,17902,19952,16092,8789
4413,24131,20986,15963,4117
10149,8612,23565,16917,16441
5786,15487,20257,16053,6492
3686,10802,21170,16507,15891
15838,23122,22072,16940,9017
25948,14805,21902,15013,5674
15198,11038,22016,15016,7841
5944,14623,20257,15264,8370
