Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, normal
Glimpr,Watchit
19822,17761
13393,20730
18062,16741
26012,13817
20842,22600
27177,10205
19222,19154
23222,18530
26708,18249
21686,14804
22009,19337
21204,9899
23212,9996
18936,17667
30233,20081
24043,21634
25255,15235
24305,18855
14096,6962
19313,18354
18684,14389
20914,12212
25812,22437
21745,12623
18416,11760
17234,17900
17945,22256
16123,21184
17743,23412
13550,13017
21626,15921
30859,17810
12028,16059
14309,16308
18102,14871
20754,21341
25636,13508
24633,18240
17837,17312
25334,22958
26465,18507
24184,20226
24662,17424
27139,17385
22160,22139
21002,19384
21108,24234
22180,21363
20780,22445
18266,19048
26479,15618
21460,26187
21693,14979
22992,19269
25524,15539
15111,21517
20585,17810
19483,23538
29110,18269
16083,24684
17566,15857
13268,12803
19136,19786
28952,23048
23796,20940
22021,23423
25391,17841
19859,16171
22380,16393
17273,22126
25082,12040
19017,16686
21477,21946
21887,18080
21485,18746
24571,15227
24772,9613
24671,16467
14436,22844
19985,23473
23386,11866
20599,17833
21906,9675
21283,16553
16870,13092
13811,19792
22066,16968
12121,16028
20456,24804
19673,19939
25371,13450
17379,15949
14750,23876
22832,16416
24439,21069
14870,18232
25864,14428
23597,17303
25438,19498
19921,14245
17130,19551
14203,23415
22270,22270
23324,14447
18499,13018
15970,16664
24422,13921
27822,22316
24501,17010
30429,11253
24826,17243
25188,21927
14000,16753
24450,21040
18943,17920
25119,18222
28987,14892
8328,16861
