Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Dunvale,Fairmont,Elmhurst,Ashford,Brookfield,Creston,Oakridge
45381,29778,59871,44895,59403,66856,46916
41620,43907,41057,35256,53626,46999,36524
48668,47361,49013,55195,43922,59696,44259
37678,44240,47056,57819,58950,40789,45960
40822,50734,31558,57603,57987,59067,58818
45570,59303,34504,59755,59438,42380,53765
58519,41854,46645,47492,44297,34291,53445
40060,52781,53626,59761,47105,57043,43366
55314,72388,42123,54634,67870,62136,40950
55630,50715,33622,56623,41575,38268,28898
50038,85908,41347,50345,49261,56674,52413
50856,65972,37294,56138,57923,62526,45787
46474,44224,40864,42498,54543,58820,38908
47683,45570,44337,58622,45496,49871,35869
47971,51697,49159,47358,51826,60420,48029
44512,45657,52629,43981,55305,59017,46279
70026,53793,45158,53243,40935,55938,54300
62263,65318,42804,63748,45026,44682,41581
43532,62015,36675,60331,42909,51729,48549
49398,25905,41706,44650,44195,67293,44561
45225,48701,46107,63535,51145,48213,36180
54111,33626,54799,55210,57318,40273,48087
51427,33379,33870,47245,39530,54867,49438
47537,37405,38974,51948,51706,62345,51153
49666,57855,54978,48933,53964,39601,44354
42566,81400,39608,64864,19294,59501,51318
54731,40453,49425,49369,50477,60237,53499
57381,41355,41206,58503,45962,53986,49200
65126,81101,43383,58553,52400,49190,42307
46276,62901,49731,43346,55244,38529,53645
56861,45443,45285,66686,65324,50628,39656
24952,43526,41689,60385,56563,49035,55517
47328,46318,28220,55361,37410,51061,37417
46230,36742,45512,54128,32658,46323,12647
48022,45390,53655,62948,53651,68438,46489
49690,69671,53434,52520,64280,65834,51320
40287,43744,42442,53245,50742,52335,42726
53975,46696,23446,59329,49765,58983,43960
44352,50296,36194,62385,51222,45903,53244
45326,55029,44723,63178,25518,52713,43934
46389,59589,55569,44975,50578,47944,40702
42407,46565,48778,72514,40744,63313,50740
55266,51606,52448,52347,66082,45775,45080
45649,54521,53329,49321,51048,59896,52541
55229,41193,46976,57504,38465,60921,47396
48708,48841,46931,61419,57745,51720,37861
51334,50944,59876,50881,54182,60189,64954
55913,62104,47436,34306,47838,52638,46226
52393,32961,43585,57168,53568,34893,37398
64526,40864,27375,53949,46777,52750,39804
58192,43555,47491,52353,54721,54387,41808
51843,55361,43007,55561,48601,50985,48624
42577,57626,43773,54597,38263,51637,48671
47627,45347,63938,54405,35531,55280,52955
42920,56104,38955,57779,51540,48077,44417
40417,51703,58038,52784,44446,61570,37114
65241,46555,51664,42702,51807,41279,44118
50627,43855,41417,41514,57839,46491,39714
57313,47228,65449,47817,47044,51101,35117
52642,59060,46107,52796,49634,43290,45823
48915,54889,46130,58265,39246,60237,49452
50804,34320,44348,49275,46185,58208,38769
50657,45276,43818,31943,46602,56669,51920
47843,41945,25674,62369,52316,64402,38249
48234,39336,39869,40117,40847,57376,47905
55410,44016,47733,49017,38028,58941,41745
39387,47285,46923,52828,63034,52529,15783
62683,59588,43134,49035,51776,47143,53300
51948,47778,38134,65340,47963,57775,49318
37431,45179,42193,67175,55402,56053,48557
38298,58335,42468,56685,29231,49794,43831
48672,43347,44894,45291,55126,57882,57921
49488,58108,51969,51132,47068,49811,34337
58018,50589,48194,54011,49642,46712,31644
37699,49467,44693,60409,37005,67116,55997
25517,32771,51687,50188,45636,48165,44451
46708,42309,45073,54428,46068,49678,47492
53336,36541,49530,49650,67080,53400,57084
43005,43609,47904,49647,46329,55165,51811
45316,53976,32227,41747,40708,54475,39281
71327,27475,39005,67312,46027,49977,44137
50599,53797,47818,59798,67699,57412,42320
59477,33901,48202,61218,47365,66533,48845
50184,40309,40149,53288,60264,47217,45015
49235,39844,41035,60887,53142,71989,49198
51878,39321,44297,42965,50872,68614,45944
36023,55499,38268,43399,35165,51602,59633
51858,58655,51821,58653,56899,45297,39513
43472,37979,52492,55779,51366,62701,49411
50637,52087,22904,39901,46364,53385,20829
46996,42057,51581,32929,59320,57166,48576
47556,2905,45276,49863,60436,49290,50499
46396,41234,40170,60486,61745,48137,45200
45140,45687,43972,54421,47009,51726,41651
63991,47360,51167,49566,56081,52330,46814
50498,49786,48944,55388,59598,63513,45528
59225,42074,48491,57728,40942,53789,35537
40073,49060,47557,53903,53310,47667,53339
58357,42839,36039,67479,58420,54948,47263
55111,48553,38990,53316,49785,46552,60135
44963,44600,38374,54087,46164,48597,48032
42514,27679,39434,55238,49411,52819,50458
47838,45470,38772,58772,46541,47885,58010
44623,32487,43954,45083,68629,64030,42366
48714,57306,44273,46489,51036,35264,62095
43303,84147,42530,66963,46882,47234,50780
54604,44325,50497,14474,50270,55553,50748
55572,36874,52435,56526,60346,52746,58999
48541,40802,51640,49837,45028,47236,43040
53986,54629,67399,62291,34077,51081,44262
60425,47433,32477,56172,57534,63310,52279
49227,51651,36137,45077,62110,37544,59824
45268,47323,37097,57485,45725,58931,45105
47282,53258,41390,45040,56639,59072,43182
35487,45926,45718,50946,50395,51822,43409
50867,49441,54105,57435,50094,42841,45257
47711,73282,58053,57741,46280,54443,54571
54484,38009,46602,37555,48475,35189,51446
58134,31097,50398,50520,57018,63342,43493
44125,46638,44280,60097,57007,52406,40883
