Science and Engineering, Research and Development Investment by Country, million USD, t
Fairmont,Elmhurst,Ashford,Brookfield
500,712,375,432
667,628,541,470
45,813,671,515
505,736,537,491
526,699,479,591
364,753,409,648
180,1152,657,528
529,323,486,581
343,709,172,560
563,546,531,491
317,683,517,496
511,598,604,553
532,441,463,697
581,638,307,281
297,485,101,615
595,615,378,363
426,516,450,490
573,628,384,471
698,815,395,407
481,503,460,804
597,782,426,536
559,402,290,502
620,638,169,373
681,468,495,548
785,295,412,495
588,545,492,499
502,842,278,356
567,609,403,453
601,715,237,438
539,685,573,557
917,604,594,394
513,767,512,638
625,572,473,579
588,580,716,770
452,813,481,558
439,702,513,544
668,614,857,649
468,593,387,466
581,675,651,388
674,510,419,563
677,626,414,465
627,430,549,526
428,784,269,393
515,733,430,583
485,729,478,552
552,596,616,869
539,713,505,563
454,576,443,494
604,556,576,670
269,519,404,873
452,513,484,484
430,866,172,694
681,615,516,523
558,666,515,763
624,577,576,399
740,657,404,572
294,503,447,458
628,526,531,583
605,694,485,411
388,614,527,787
554,648,595,531
440,435,356,706
476,501,594,269
527,587,393,494
493,621,510,750
726,743,406,424
466,493,653,583
480,587,495,676
742,434,779,554
523,644,378,328
345,657,426,502
472,831,461,580
372,657,338,811
447,564,441,423
572,613,642,430
676,484,259,456
630,607,434,543
624,582,423,474
394,291,507,407
548,758,411,636
613,488,344,665
575,459,331,381
568,342,577,301
575,585,493,738
783,885,411,581
513,633,355,616
640,790,328,590
452,716,694,606
896,477,521,530
928,440,533,502
516,660,503,462
690,569,410,486
622,635,341,537
501,539,154,487
266,422,510,474
447,470,359,557
424,921,556,629
365,619,540,795
603,649,539,501
458,600,618,237
596,805,322,474
579,814,381,642
381,594,473,676
400,564,454,642
664,572,794,738
563,620,477,586
416,509,728,543
577,627,232,449
492,693,480,430
498,545,496,487
617,565,399,493
600,390,641,306
621,350,504,339
645,469,545,593
464,601,518,556
716,643,303,402
