Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, t
Mexican Restaurants,Coffee Shops,Fast Food Chains,Vegetarian Restaurants,Sushi Restaurants,Casual Dining
520,363,504,569,629,423
414,572,362,442,690,425
276,437,555,920,562,449
532,456,642,759,579,624
553,410,628,482,493,282
540,603,585,728,724,509
501,381,620,492,646,355
402,410,342,528,632,483
528,522,687,632,549,482
439,325,812,463,737,420
478,431,519,532,672,513
636,429,703,455,490,678
343,533,540,502,627,365
450,514,562,290,653,340
483,670,670,659,527,452
578,693,527,462,514,753
581,342,444,643,556,505
554,606,557,647,575,366
578,578,295,688,734,418
488,441,633,707,666,473
425,557,599,653,584,493
356,379,732,373,613,428
678,388,479,657,593,480
301,511,809,412,608,149
389,551,649,472,632,688
623,492,378,487,649,453
537,429,408,534,553,428
455,443,446,504,608,569
727,611,464,469,588,608
481,269,721,444,597,263
382,404,535,533,809,540
559,549,628,506,705,381
309,435,659,505,560,483
140,370,697,621,558,403
264,525,905,447,731,382
645,649,896,539,487,538
593,433,338,504,468,356
270,424,390,561,690,602
349,591,497,403,715,602
403,422,570,609,526,304
409,330,521,510,759,517
606,428,503,672,721,300
510,447,460,665,807,468
639,567,393,748,324,582
545,565,727,487,556,545
375,321,670,642,427,489
325,449,718,512,524,327
476,579,573,791,675,637
464,658,532,645,761,473
497,430,565,354,589,419
302,557,62,633,524,510
374,360,631,558,481,537
526,630,675,546,667,502
414,524,550,505,616,512
562,645,481,361,607,330
423,529,215,513,702,226
500,634,510,581,720,529
597,359,367,608,587,411
545,597,414,622,564,276
450,248,429,454,770,324
524,440,573,624,527,259
370,434,741,287,633,380
621,427,552,587,584,428
78,496,638,532,475,458
647,451,722,397,636,623
565,368,605,616,690,400
577,235,616,580,722,337
291,263,466,514,674,725
610,433,614,675,815,352
429,468,553,442,639,456
587,402,668,517,624,533
270,439,517,731,690,498
568,405,494,618,716,547
377,426,357,771,752,470
324,546,714,668,475,385
504,426,580,575,531,702
498,237,499,689,519,361
393,349,462,549,685,375
742,433,377,528,718,445
648,195,390,450,494,433
465,303,693,651,643,558
449,584,393,557,587,428
433,304,370,324,744,526
366,432,101,711,660,368
396,434,546,433,581,340
535,574,561,530,716,503
413,456,430,797,594,533
458,318,358,767,503,507
451,308,623,591,701,478
433,447,548,669,595,584
454,423,575,497,550,641
530,442,197,558,529,396
364,236,444,464,749,427
480,450,392,753,714,438
589,593,555,502,584,561
424,379,953,435,633,638
397,329,498,565,569,366
402,441,763,621,475,697
458,380,685,394,526,480
463,584,547,610,653,448
512,541,368,483,762,465
427,341,409,577,569,536
482,524,668,474,679,510
380,592,421,687,593,506
555,584,683,810,509,284
116,531,293,643,370,536
659,416,249,638,704,743
523,403,360,507,485,387
400,464,733,672,423,386
423,508,575,539,574,528
443,663,627,763,676,525
480,476,916,629,634,398
316,443,686,590,733,574
739,630,631,698,594,621
660,471,763,590,658,617
169,270,681,483,676,754
413,519,612,493,741,475
