Education and Academics, Data on employment rates in different schools, %, normal
Hillcrest High,Glenhaven Academy,Riverdale High,Brookfield Academy,Silverton High,Maplewood School,Springfield School
79.01,84.09,86.67,93.64,74.94,80.31,80.47
86.98,87.72,79.65,90.76,88.66,86.14,75.07
82.13,89.49,78.86,82.02,82.91,81.23,83.43
84.11,84.57,79.92,84.21,88.82,90.19,77.06
96.81,82.63,80.73,84.01,80.98,82.84,76.65
75.32,87.36,88.14,86.47,82.04,89.58,77.93
90.08,85.6,86.27,91.06,91.32,88.07,82.45
84.62,86.67,79.17,83.63,85.94,80.74,77.73
80.25,91.27,79.97,91.05,87.68,83.9,74.46
82.12,87.23,81.98,82.65,79.38,84.35,84.02
82.18,82.66,76.04,83.88,90.25,88.93,79.65
87.46,92.84,80.17,77.76,80.92,80.86,89.34
78.85,87.92,87.98,71.49,85.59,80.05,87.37
81.55,89.41,85.26,90.23,89.0,89.77,88.41
77.68,89.11,77.98,76.15,83.94,79.61,83.75
79.98,83.93,82.27,74.3,83.64,78.99,83.94
90.19,84.36,87.56,75.54,87.94,89.87,91.06
73.71,82.27,83.24,87.39,85.16,85.88,88.45
73.48,84.09,81.15,83.38,84.66,88.16,88.91
79.4,90.77,79.62,86.94,85.41,87.41,88.14
86.82,79.78,81.44,67.53,81.7,79.09,83.33
79.35,91.27,78.82,94.98,81.78,88.69,82.75
86.42,82.27,79.63,82.97,85.93,85.37,84.77
76.1,86.0,93.99,84.72,86.16,81.23,78.43
80.41,88.71,87.88,71.89,89.38,90.61,83.05
83.85,86.54,87.25,73.07,83.65,87.38,87.01
83.99,87.18,73.87,84.87,88.06,83.7,85.33
85.03,83.21,83.02,91.37,81.21,81.71,85.82
92.31,81.63,81.72,75.12,82.56,86.11,71.43
80.41,84.2,96.0,88.73,84.09,89.38,86.21
78.39,80.45,77.77,83.33,81.17,84.26,85.67
80.04,84.45,88.18,86.3,80.15,91.55,84.04
85.27,82.85,90.05,86.29,86.86,85.28,84.12
85.67,86.14,83.35,76.39,83.32,81.13,80.71
75.49,85.2,84.59,72.35,84.47,94.55,86.7
81.12,83.8,74.13,88.02,84.46,86.78,85.39
76.51,72.96,74.62,86.77,86.12,84.59,77.71
80.78,83.58,77.82,87.44,83.49,83.4,80.43
95.1,85.05,79.25,87.72,86.53,86.88,85.62
80.66,89.33,80.43,83.48,79.53,80.46,79.4
80.13,85.04,84.9,80.61,85.53,87.05,81.49
84.88,86.55,82.2,83.51,85.25,84.88,87.28
85.26,88.21,83.49,85.14,83.47,76.25,83.98
81.57,85.35,87.19,76.29,82.48,81.17,86.12
73.61,86.9,76.62,83.52,82.5,80.51,74.47
77.41,83.07,83.93,88.24,81.07,80.48,82.05
84.04,83.25,88.49,82.12,83.82,81.79,88.11
80.44,88.24,77.42,85.47,88.19,87.73,84.95
81.01,84.02,84.76,76.85,86.94,82.35,93.86
87.42,80.3,84.62,70.05,81.57,85.82,87.87
85.48,87.48,78.72,86.94,85.87,88.24,81.54
75.75,78.6,84.48,67.63,81.79,81.72,86.22
86.81,84.25,84.12,89.52,91.06,82.39,84.41
80.8,79.77,92.0,75.27,84.86,87.02,80.86
86.39,85.26,80.53,83.79,84.85,86.94,82.56
78.15,81.64,83.47,77.62,85.06,85.23,86.59
83.64,81.19,79.63,85.68,81.47,85.07,82.91
86.3,86.25,80.4,77.49,82.72,79.55,85.53
80.99,89.1,89.9,82.31,79.61,83.07,89.76
79.24,85.04,93.1,76.57,84.43,93.13,87.59
84.17,92.29,82.56,78.54,81.65,86.51,83.15
84.44,81.45,83.67,95.42,87.46,83.23,88.56
76.0,87.44,79.07,79.13,88.23,90.89,79.93
83.11,92.04,76.06,87.32,83.4,86.9,79.1
84.62,87.7,89.72,73.74,86.57,92.24,85.27
92.17,89.96,87.92,73.58,83.09,79.69,81.05
83.98,82.82,84.34,85.96,83.28,75.75,81.21
80.25,83.57,86.2,77.01,92.08,83.78,86.52
86.64,83.61,84.05,95.99,88.96,83.99,89.52
88.86,87.36,76.62,82.41,81.1,82.11,85.35
86.64,86.59,83.07,62.99,89.06,81.7,82.6
90.58,90.91,81.44,91.14,87.96,92.23,77.89
76.04,91.45,76.9,82.29,82.33,86.31,78.3
83.85,84.72,89.16,82.6,86.65,81.06,86.96
78.9,82.09,81.09,77.91,81.59,89.96,77.75
83.79,83.63,73.45,84.86,80.97,79.64,84.98
85.5,88.99,80.68,77.48,82.59,79.86,82.25
85.35,91.37,88.2,91.67,80.9,80.94,75.97
82.08,92.62,87.37,78.1,89.36,83.69,81.79
81.6,94.5,80.98,86.17,87.67,82.62,78.66
83.75,84.53,83.02,82.48,88.4,83.07,81.2
79.65,85.15,74.96,97.99,80.95,79.39,78.86
86.34,82.84,84.63,85.42,89.07,85.2,83.71
80.49,83.05,80.14,82.65,78.12,84.42,79.39
75.68,85.46,75.11,93.44,84.43,87.98,83.58
75.71,89.78,79.37,79.7,86.14,88.61,85.52
77.44,87.17,91.89,76.88,75.85,82.98,78.8
76.4,80.26,77.69,84.3,84.77,83.33,86.11
77.38,84.97,82.89,79.42,79.41,81.32,87.11
84.54,82.54,88.21,81.02,85.44,83.44,87.73
77.88,87.51,78.71,76.38,87.22,81.76,83.13
84.56,81.92,74.6,79.15,89.33,86.49,83.23
81.61,83.79,81.3,90.52,86.81,82.97,80.87
83.55,85.33,84.78,85.61,83.35,88.53,84.09
75.07,87.39,87.35,76.59,80.95,89.29,83.93
84.73,85.67,75.45,79.69,80.06,84.9,88.7
81.72,89.27,77.78,78.24,84.88,88.56,83.48
84.29,84.58,78.44,94.87,86.76,87.95,87.41
82.46,85.84,83.65,91.84,93.96,85.38,81.17
83.55,85.56,86.52,87.86,84.99,87.82,86.59
88.93,86.92,80.47,77.98,81.84,87.06,85.38
83.01,93.41,77.46,80.95,80.89,80.72,85.26
86.16,82.09,81.47,91.57,84.74,84.97,86.21
85.62,85.69,85.35,87.69,87.87,91.48,81.79
84.03,86.36,86.76,79.29,76.84,91.06,85.01
88.63,89.66,93.87,75.75,84.61,79.39,76.98
83.31,87.39,83.55,84.74,82.6,85.43,82.14
79.88,88.61,81.45,95.64,80.98,82.97,83.02
88.71,84.52,88.65,82.99,82.27,82.49,80.61
84.59,80.72,74.01,83.32,88.21,88.91,81.36
87.66,86.53,78.14,85.31,84.61,89.27,83.79
87.15,87.96,86.87,72.57,89.77,87.94,80.09
87.45,86.07,75.99,82.28,78.97,79.7,86.01
91.87,77.94,83.34,81.9,92.22,89.85,82.14
90.48,82.24,80.78,86.3,90.15,85.59,85.17
77.86,90.53,86.89,73.83,84.02,87.8,85.74
84.35,88.84,81.67,83.86,91.67,85.28,91.04
81.28,87.76,77.72,89.56,79.75,81.3,82.12
79.85,86.99,80.74,89.55,89.82,74.74,87.28
83.45,88.69,90.54,79.54,87.05,81.4,90.36
