Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, normal
Urban Loft,Beach House,Duplex,Tiny House,Loft
776,739,443,609,575
309,678,620,567,469
787,784,607,637,722
310,380,601,692,290
507,429,670,739,498
515,766,371,562,644
471,636,480,559,605
631,739,480,449,329
399,452,462,643,163
446,609,541,622,666
276,422,423,372,544
585,564,349,635,361
582,625,637,623,367
497,666,358,677,816
693,352,392,397,589
781,371,733,476,290
442,440,713,593,752
551,629,424,451,617
625,575,594,699,357
457,787,838,708,373
377,543,777,673,337
532,412,520,512,503
689,579,254,683,464
461,461,703,682,737
784,707,430,511,366
497,570,432,698,450
573,369,804,480,410
583,634,596,611,675
635,504,471,478,497
716,613,442,694,520
374,419,425,570,403
415,457,439,387,650
522,743,359,387,621
420,570,553,288,560
267,627,769,426,264
682,566,281,614,572
625,498,726,422,588
307,525,444,684,314
357,822,409,487,580
460,380,619,731,366
459,519,557,607,480
717,776,616,655,700
604,547,543,309,575
508,283,336,677,746
161,327,617,474,762
564,458,328,537,432
464,611,626,369,398
816,661,715,451,813
376,452,489,341,620
769,661,439,756,399
480,534,552,422,460
699,614,531,602,170
344,505,445,588,493
451,499,445,605,634
565,417,380,806,697
309,419,371,321,628
222,607,497,844,457
762,316,455,521,790
535,518,416,522,733
653,436,319,440,645
312,573,446,659,659
380,460,580,769,273
488,398,708,459,813
684,496,365,739,154
497,583,616,519,487
791,446,377,262,552
708,729,448,466,554
454,682,803,599,788
491,776,528,474,179
449,731,647,288,691
464,680,589,448,290
469,669,455,420,548
283,563,638,592,651
762,475,540,475,414
491,756,308,433,668
595,427,583,383,794
364,444,480,325,502
652,485,750,245,820
658,463,523,822,484
517,409,642,341,310
604,715,508,599,586
564,353,622,501,626
404,598,677,539,502
623,537,92,417,460
824,376,364,460,650
413,651,441,415,520
466,759,606,256,414
589,625,586,373,383
297,366,680,486,132
487,601,439,426,655
611,565,638,613,592
520,578,668,227,536
704,646,591,620,401
555,719,633,464,375
408,542,700,718,642
347,280,651,571,768
399,336,378,453,581
708,856,470,519,559
709,678,610,442,573
612,374,803,482,658
177,528,647,518,275
591,752,589,103,494
130,649,607,392,706
472,336,257,627,727
520,422,442,503,510
593,606,652,636,616
704,494,414,549,598
712,400,355,589,804
534,468,382,413,381
359,371,775,438,580
378,151,424,523,303
473,592,777,418,599
496,501,415,743,780
573,459,685,448,501
510,579,810,755,252
407,605,638,610,400
712,601,494,479,426
540,370,573,340,350
