Energy and Utilities, Data on daily energy consumption accross cities, MWh, skewed
Brookfield,Mapleton,Ironwood,Zephyr,Oakridge,Creston,Highvale
2963,2082,2626,1159,2921,1125,2157
2743,4123,2416,2440,2465,4317,2415
1412,2613,1631,906,2537,2119,1653
2303,2695,2936,2531,2248,1865,3960
3469,3020,1894,1795,2927,1478,1921
3645,1820,2135,1207,2675,1011,2620
1660,2164,2026,1217,2385,1737,2900
1175,2193,3695,2075,2653,3218,2194
1856,2219,1754,1931,2554,1189,3027
3097,3299,1944,1750,2599,1404,1998
1206,2393,2759,1827,2685,3432,2632
2168,1828,3526,1421,2949,1392,2549
1417,3140,1618,1444,1881,2314,3603
1864,2063,2564,1533,2312,1487,3338
2274,2408,2059,1131,2751,1391,3479
1350,2291,2594,1965,2392,1515,1782
1297,2947,3430,1371,2310,1581,2104
1568,2567,2193,1903,2584,2246,4070
1444,2308,2323,1726,3275,2229,3318
1181,2089,2023,2279,2855,1545,3512
4238,2144,2375,1020,2361,2061,2180
1577,2393,1707,981,2060,1919,3611
2318,2528,1642,1514,1983,1967,2844
3580,1968,2028,763,1885,2507,2447
2634,1971,3121,1451,2698,2482,1590
2552,1969,2787,1672,2872,1581,2218
1435,2464,1810,1143,2507,2093,2696
1867,2524,2894,2144,1929,1252,3321
2143,2463,2356,1163,1972,1990,2965
1228,2335,3321,1064,3244,2243,2501
2305,2927,2594,1998,2195,2302,2124
2515,2282,1747,1066,2731,1474,3159
2954,2040,2680,1473,2311,2692,2281
1077,2234,2316,2508,3341,3482,2502
1707,2582,2513,1756,3147,1303,2449
1298,2401,1811,2676,2584,3442,2002
1488,2175,1674,1458,3042,2439,1989
1421,2226,1858,1573,2338,1481,2980
1510,2054,2066,2156,2078,2909,2156
1605,2627,2466,1188,2604,1363,1883
1438,3230,1879,1020,2388,3368,1867
4669,2106,1879,884,1957,2160,2296
1568,2560,2744,849,2492,2160,3267
3904,2097,3059,1604,1878,1370,2322
1707,2157,3982,732,2309,2742,2560
2193,2239,2312,1258,2485,1763,3131
1311,2868,4274,2214,4208,1402,1976
3706,2959,2327,848,2006,1381,3327
1009,1797,2849,900,2949,3619,2484
1964,2904,1611,1756,2789,3564,2976
983,2141,2325,2716,2574,2034,3297
1389,2131,3292,2213,2303,4357,2103
2677,1978,1779,1393,2622,2267,2618
1219,4037,2375,1473,2315,3351,2187
1353,2122,1757,1497,2204,1297,3752
1474,2028,2310,1560,3276,2278,3817
2742,3700,2432,1415,3345,3562,2492
1108,2005,2167,1370,2901,2165,2660
1320,3285,2288,1433,2836,3701,2005
1154,2657,1957,1020,3331,903,2461
3499,1950,1989,1685,2282,1615,2259
2085,3403,3234,1507,2161,1570,1641
2218,2367,2755,1042,2609,2460,2336
3108,3138,2027,1330,2580,1917,2000
2620,1887,2153,855,2375,1218,2264
2585,2474,3036,1044,3329,1286,1982
1416,2814,2335,1744,2668,3810,2720
1724,2826,1777,1274,2140,2461,2288
1322,2352,1783,1113,2521,1396,1787
1586,1972,1943,1519,2176,2836,1729
4292,2485,1744,1727,1901,1077,1938
1659,2323,1811,806,1961,2766,3771
3512,2622,1750,935,3086,2069,2207
1065,2569,3383,2207,2970,1885,1636
1759,1950,1713,1889,2922,936,1603
1434,2736,2118,1514,1927,2164,3156
2707,2668,2049,908,1979,1819,1874
3127,2556,1709,1463,2785,1655,3312
2829,3077,2199,1814,2584,1328,2890
933,2312,1791,1242,2124,3066,4186
2072,2909,2389,1233,3532,1890,1767
2786,2213,3242,2348,1990,3160,2620
2404,2249,2904,818,2113,3683,3094
1450,3019,1695,1193,3125,1800,1953
1171,2545,2015,1100,2396,2052,3997
1696,2353,1857,1096,2063,2424,2216
1342,2423,2014,1130,3107,2606,2144
2662,2122,1814,1299,2189,1343,3539
1029,2871,2459,1949,3961,1677,2034
4523,2259,2054,997,2480,2423,2527
1039,2620,2318,1396,2671,1938,2755
2805,2741,1642,1369,2801,1418,2482
1755,3277,1555,1549,2529,1775,3458
1795,2347,1767,1939,2086,2292,3988
1637,2618,2133,2528,2829,1046,3863
1946,2312,2736,2330,2611,1500,1717
1564,2690,2750,1132,3163,1414,2307
2000,2209,2833,1565,3985,1101,2971
3157,2770,2582,959,2258,929,1760
1915,2032,3414,1254,2405,1420,3002
1379,2180,3523,1465,3017,1737,1682
3519,2876,2217,2711,2218,1288,3287
2325,2875,2607,1405,2404,3087,3929
4179,2772,2063,1227,2471,936,2347
1796,2023,2577,1138,2120,1429,3335
1660,2660,1738,1580,2480,2072,3631
2580,2995,2276,1448,2235,1940,2658
1378,2502,2063,1784,3762,1711,2885
2882,2333,2006,1569,2758,3005,3195
1381,2165,2364,893,3781,2292,2591
1234,3066,3568,929,2764,3038,2153
1987,3223,2224,1608,2402,1976,1927
1612,2336,2362,2482,1939,1351,3241
3554,2422,2103,1103,1864,2265,2447
1447,2088,2479,952,2086,1174,2990
1966,2345,2355,2118,2466,1224,3317
1186,2093,2736,1745,2626,2189,2953
1837,2896,2709,1255,2165,4282,2465
