Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, skewed
Ashford,Northgate,Highvale,Lakeview
1039,1252,1221,1444
1514,866,1071,987
1453,1324,1384,874
829,999,1225,950
924,1094,1426,1034
1080,1359,1115,1243
1042,1080,1405,1288
1221,1073,1274,1164
958,1228,1263,926
837,1506,918,1600
1241,1279,1083,1063
885,1074,952,1049
1135,1116,1341,1433
1529,1584,995,1761
2012,902,917,1405
1018,1083,1130,1185
1045,1353,1427,1059
1795,1563,1581,1442
786,1335,1327,980
1074,1316,1276,1335
1306,1216,925,1160
1548,1239,991,1415
1350,1042,1083,1261
1204,1578,1038,1669
1371,1011,921,1265
1352,1265,935,994
840,1244,876,1064
934,1067,1072,1685
1225,1203,890,1326
1140,1245,1116,865
1229,1041,1241,1189
1784,1052,1011,1280
1079,1542,1015,1106
1466,1112,1228,980
1840,982,1224,1330
1060,1346,876,1272
916,1600,1120,1769
900,1139,1730,1156
1366,1011,993,991
1032,1588,1074,1488
874,982,1056,1021
854,1004,1403,1042
1048,1211,913,1177
1806,1381,923,1471
1016,1603,1171,1323
1439,1175,1080,1701
1438,1425,1299,1299
1330,1363,913,1021
1059,1490,1019,938
1468,1531,1049,1232
1374,1303,961,1099
1407,1247,1195,1333
867,1167,1290,1129
1670,1397,1720,957
1523,1342,1253,1050
1618,1138,926,997
1638,1098,997,1144
971,1315,1042,1076
1034,1536,1643,1267
1091,1556,1296,1164
981,1320,936,1124
955,1215,1827,1061
1034,1267,957,977
1421,1442,1203,1247
1111,1260,1395,923
1413,1303,1089,1217
1024,1038,894,1533
870,838,1210,1169
845,1377,1235,1561
890,1200,1182,1909
1673,1422,1336,921
1169,1068,1261,1329
1271,1306,1021,1167
1875,1088,1583,1192
1361,1088,882,1082
1102,1067,943,1454
1751,1019,885,1220
1092,1308,967,909
1103,1888,1486,1303
1546,1165,1506,1202
934,1397,964,1283
1471,944,991,915
1001,1412,1354,1064
1086,1203,1050,1235
1254,1196,2012,1699
1214,1237,877,1208
1353,1370,1513,1112
869,1307,980,1164
822,1196,946,1174
839,1023,1239,980
826,1331,1327,1243
1119,1091,1041,1597
843,1142,1219,1197
1371,1336,1193,1270
1863,846,1160,1725
1199,1553,1003,1206
1190,1022,871,981
1622,1140,983,1510
903,1706,1253,1118
876,1103,1318,1131
876,1142,947,1480
1177,1165,854,1405
1370,1538,1139,1681
1239,1296,1595,1044
1284,1590,1478,1797
982,1373,1084,875
848,1193,1275,1139
1486,1425,1480,919
1084,1459,1146,1240
962,1481,1161,984
970,1253,1022,1073
1826,1356,1000,1475
1943,1588,1098,1060
1368,1012,1464,1611
1303,1065,1151,1781
1804,1118,1279,1444
1142,1317,1368,1081
1271,1094,1600,1136
