Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, skewed
Broken Mirror,Deep Waters,Twin Souls,Final Reckoning,Silent Echo,Dark Horizon
418,494,319,275,1048,512
465,362,450,374,1168,295
363,333,494,889,755,403
202,454,429,572,411,171
347,1196,889,231,728,626
666,385,378,225,977,268
709,352,917,321,400,424
256,275,409,560,421,563
238,437,584,603,171,132
219,496,1067,373,98,388
259,248,729,665,741,160
466,320,1868,703,884,380
567,270,820,185,353,359
1169,589,495,844,466,358
634,119,916,156,494,260
365,1205,1009,527,443,396
352,297,473,509,365,372
271,259,1406,1211,841,556
281,1240,1168,877,1141,299
598,740,1935,201,354,453
171,1169,661,366,360,183
732,276,889,335,491,514
992,230,374,238,563,295
509,479,964,369,479,296
255,301,1049,1348,151,431
227,831,992,1609,1145,369
333,659,675,445,271,1051
361,444,426,1007,344,337
1037,611,824,322,341,280
258,256,857,779,477,285
344,369,765,657,416,321
1234,462,1437,560,300,184
339,843,225,562,460,514
247,494,1310,327,408,553
1021,335,333,332,332,808
318,1318,1165,314,1265,337
565,128,681,374,207,530
333,201,828,445,340,503
1075,249,605,173,790,724
1071,850,728,158,510,459
545,620,1206,585,755,481
446,1054,189,322,370,207
201,374,1305,467,1265,687
454,675,436,225,377,220
472,283,417,234,940,311
215,352,1327,539,505,370
440,552,1206,577,847,381
621,804,1015,154,281,311
295,1264,509,602,669,209
1126,472,816,395,276,564
513,376,1272,415,595,216
504,716,539,516,245,454
512,623,560,277,454,162
1180,198,425,1125,398,590
280,231,864,1528,364,1021
786,1268,393,283,385,290
320,148,808,227,186,459
267,436,674,1100,216,581
494,326,410,721,686,186
446,380,1493,1046,842,422
1162,1101,789,572,702,357
305,636,460,362,778,382
293,690,488,605,610,447
451,547,783,1368,194,209
898,410,559,811,670,123
880,490,498,493,509,334
311,1050,789,262,753,378
198,220,926,580,607,836
262,1410,599,989,549,437
360,166,417,293,594,538
295,775,676,348,687,287
767,222,483,517,124,206
301,632,523,359,512,309
425,334,828,320,402,164
969,654,334,1158,463,215
668,508,555,1117,473,396
786,260,1154,265,452,140
561,544,834,210,681,469
638,908,874,735,368,611
275,556,331,1304,436,634
885,207,765,739,364,364
507,271,696,432,985,449
489,705,790,735,917,288
387,102,444,139,266,242
540,208,426,372,854,370
239,504,361,611,836,752
703,534,297,488,254,592
613,1196,285,812,835,724
306,449,623,173,512,429
273,764,1486,764,940,653
440,779,626,710,772,350
187,165,662,460,1206,569
624,363,731,397,561,424
669,851,889,794,438,190
184,299,878,308,660,146
444,228,655,275,806,423
478,851,731,588,937,275
164,217,421,366,537,303
278,351,641,364,352,902
337,250,1081,433,703,588
182,372,179,198,336,427
444,304,1098,957,217,437
802,689,842,884,368,219
453,203,909,581,362,774
519,455,898,1158,398,315
593,427,254,717,801,296
316,695,995,424,544,335
371,516,631,409,836,835
832,316,1605,418,326,847
412,174,536,194,555,648
501,400,1693,963,327,270
671,348,967,441,356,699
1003,597,1348,164,374,751
268,931,637,885,413,792
409,367,523,896,737,364
553,235,560,345,371,391
674,663,268,1091,357,1198
797,814,537,607,494,224
