Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
Showio,Castio,Tubeo,Vizzle,PixelX
8477,11883,20719,8805,13907
8666,20263,18216,13101,17221
9738,11534,15331,8939,27683
9587,16653,23140,10542,14597
7564,19123,14462,8649,17467
7449,14674,17815,8272,10311
7916,16639,18466,8981,26641
11986,10803,15209,6244,8142
9348,17349,13568,12999,11800
11435,12813,16461,14610,20867
10136,19326,19428,8681,10390
8542,22801,17192,19611,14073
10009,8700,16416,10949,16260
7093,9411,20550,6766,9509
7174,17838,14842,7431,25940
7900,13065,18843,10279,8445
7589,9250,20462,8412,14050
7598,21124,19425,5749,12898
8769,10016,20119,12546,14647
9012,9132,20998,13422,12321
8845,11121,13934,17027,21017
9505,11526,15375,8396,11598
8481,16059,21664,10337,21347
7614,11346,14039,7642,14553
7456,13951,22060,6670,13370
7346,9966,17766,14993,12205
12241,13347,19832,9484,15468
8128,16607,17371,8813,16197
9174,13503,15291,9078,16088
7588,15854,14175,14027,8135
7231,14198,17436,9247,8447
7088,14819,13743,12714,10328
11341,15137,15564,15257,16800
7956,10036,15170,8950,9204
8321,15648,16608,9587,15232
8444,9742,14317,12688,10023
7491,16073,15343,8045,16451
7116,19343,13965,7714,22938
11046,11629,13582,9656,19274
9319,11134,14285,7390,15410
9609,13448,20005,12773,16225
8494,10936,13560,6443,8869
7155,16463,15611,6910,21767
9469,9754,18108,8258,17784
7821,14010,15206,11695,18257
10857,20544,22098,7012,14239
8851,20426,18550,9436,11904
7885,15258,16594,11211,12915
11551,16045,16542,17983,18961
7148,12063,12694,18808,10786
8008,11094,22441,6513,14416
7311,26064,20175,11938,13002
9444,14660,16290,6621,14086
7864,8971,16567,7230,10369
8238,10780,20327,8052,10372
8210,10640,21669,15965,19875
10476,13118,18282,9116,12905
9302,18967,14203,10593,20587
9326,16328,17545,7743,13186
8297,10564,17611,11983,22090
7863,13271,13026,7162,11645
7750,9373,13793,8423,22864
7506,10725,14716,13923,9691
8304,25306,14306,5909,9325
7420,16664,16868,11432,11157
7994,16806,16488,9400,22000
7869,12653,17111,9591,24904
7977,11146,19557,15838,16617
11628,12916,14183,10605,16546
7171,14775,20189,16234,7476
7393,16554,15953,9718,22538
7265,11841,17112,12643,10998
10165,13675,13637,18619,10768
8910,10908,14632,8096,17421
6932,13666,17493,6397,12073
8817,10352,17372,10473,7567
7838,14328,14691,7573,11874
8725,13341,13548,7299,18538
8476,14022,16316,10160,17447
8187,9790,12733,8047,12751
9068,9139,17810,9911,8429
8884,18777,15064,8669,9516
6690,10284,14953,5816,17767
8392,13042,17736,10035,13956
9563,14799,14476,8840,16574
8273,11169,14260,10328,13721
10144,14310,15289,10310,11883
7974,20978,15885,6429,15346
11315,14598,15899,19716,11377
9210,11301,16754,11512,8838
7153,14860,17788,8678,17429
8957,15089,14717,11353,20525
7039,12741,16437,11812,14263
9637,18310,22312,19246,13226
8756,20140,16685,9205,9245
7456,17189,16314,21486,24890
8250,13346,14510,9155,10953
6725,13734,22314,10205,13455
8523,14127,13437,16187,11984
9239,9820,17162,12254,9755
7178,10707,15375,7876,9631
7796,9109,16593,7626,15780
8665,14864,16733,15865,22632
10190,17777,17217,9262,9344
8929,10152,13814,8650,12346
8435,12866,15424,13765,12140
11031,10857,21224,13240,23694
9333,11133,16124,13379,23722
9649,11440,17035,12130,13248
7686,9817,16742,8149,10294
8124,9008,15995,17792,15476
9334,9400,16506,13587,17401
8310,10868,13631,7697,11743
7167,14105,14588,11224,9922
8172,12712,20556,15697,25291
7875,8636,15561,9217,10398
8851,12909,19442,12946,11758
7252,13150,14778,6595,17966
