Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, skewed
Farmhouse,Luxury Villa,Townhouse,Cottage,Mansion
1135,545,447,721,453
434,696,921,502,612
525,776,797,949,582
444,638,664,364,411
880,505,516,363,823
608,616,493,711,1046
319,688,940,454,655
587,878,973,545,673
622,849,635,437,1084
861,903,358,465,1436
628,499,1100,675,531
363,1016,918,528,475
1460,833,1107,527,334
885,386,416,688,426
416,471,370,532,1120
516,896,867,1133,354
629,462,543,454,744
620,497,842,320,420
396,503,320,429,367
820,1026,532,332,519
860,1235,1013,292,335
956,614,678,390,481
365,543,676,1061,850
909,518,576,548,510
507,1068,357,474,441
479,1316,728,582,587
439,406,372,379,656
1415,597,401,452,412
776,579,593,604,641
536,569,737,812,822
489,520,497,776,903
468,330,570,941,925
671,648,499,954,808
980,528,899,522,398
448,1180,1258,692,621
453,517,1048,603,541
382,662,607,971,947
382,893,886,893,611
1101,652,821,370,675
648,728,371,403,709
458,559,731,1109,401
544,879,973,760,410
1517,822,597,1071,621
717,765,351,489,765
670,681,931,628,1021
806,722,497,1071,641
403,1318,579,388,781
837,1011,845,993,1339
485,1056,496,486,435
842,452,393,425,786
497,1072,986,304,738
691,638,528,553,634
434,727,612,550,555
488,687,676,450,576
974,819,565,671,665
311,1178,557,591,679
483,465,1063,873,441
375,1002,540,724,760
454,656,1089,681,505
461,770,362,509,1317
778,379,1147,656,377
450,559,845,636,539
352,636,542,587,732
850,471,1055,730,630
1212,677,637,480,465
415,920,546,555,604
430,669,507,931,1000
826,706,726,839,547
1307,547,410,829,699
538,717,392,618,1447
955,357,425,816,450
810,381,783,599,413
549,333,915,612,643
394,708,1087,614,642
1109,567,504,725,636
876,493,613,407,1538
699,412,514,377,347
979,547,367,832,883
923,867,326,365,335
342,601,737,858,420
953,457,467,677,479
627,686,871,662,521
559,711,484,1026,502
428,640,528,650,306
715,357,417,421,317
405,442,705,461,1093
741,507,812,614,621
768,503,663,585,473
484,362,498,438,1148
464,356,873,763,392
438,590,437,458,809
496,791,876,798,1172
353,372,930,586,398
654,542,627,515,844
544,611,445,951,435
604,800,459,711,507
832,330,1345,647,816
863,554,790,735,857
517,542,477,663,1069
528,416,593,946,661
321,855,549,686,654
517,456,553,445,366
677,324,339,695,674
724,744,652,481,336
414,526,369,330,478
745,979,429,534,475
467,361,1392,464,453
773,1118,504,460,1199
732,456,316,663,533
1110,292,488,465,768
417,351,912,1210,480
693,548,515,1161,742
1126,519,595,711,387
949,365,1203,471,370
506,1188,818,591,561
644,988,549,803,477
689,495,646,376,1005
462,493,366,351,692
