Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, t
Mobile Home,Triplex,Luxury Villa,Duplex,Loft,Bungalow
459,624,114,360,660,538
339,301,416,221,699,581
639,442,603,765,639,542
795,631,428,440,682,300
390,432,583,692,526,472
426,287,761,440,762,349
165,346,487,470,599,407
251,370,801,443,662,589
457,539,551,569,655,746
435,552,556,623,330,647
409,770,536,375,696,591
386,396,358,491,576,616
350,351,744,448,679,580
606,497,483,645,743,905
518,517,907,601,1028,521
599,264,335,662,483,674
309,240,768,380,659,200
716,554,377,303,720,778
732,479,599,447,578,581
764,686,752,569,811,644
404,590,407,505,417,515
396,445,538,581,590,530
662,488,740,457,658,699
618,479,669,743,235,502
444,399,506,920,487,676
460,268,533,575,719,530
170,772,537,669,621,856
399,470,528,562,643,724
431,586,647,306,598,690
490,683,846,468,516,462
757,782,811,529,553,683
430,643,649,647,419,576
488,545,236,487,760,502
608,444,669,793,597,572
3,375,688,581,858,481
654,490,567,628,692,657
410,554,772,468,746,502
39,560,449,249,773,488
548,374,627,532,591,589
438,476,613,601,515,648
898,776,664,602,674,439
567,642,597,558,502,710
953,466,677,165,501,419
907,476,683,428,229,402
501,330,579,626,217,582
633,566,532,753,609,760
674,370,571,421,713,689
606,663,605,362,557,542
510,451,833,542,834,636
307,801,586,595,742,643
502,682,665,591,840,411
804,658,276,485,615,317
409,561,647,855,744,12
734,943,695,866,531,477
561,548,646,366,577,651
504,81,456,635,215,531
522,493,184,631,1074,541
796,388,634,784,493,328
541,536,230,473,779,703
563,889,580,637,361,588
755,708,659,467,951,543
409,506,551,391,506,677
484,419,646,484,419,599
625,564,258,274,870,517
625,739,445,897,663,632
400,147,543,758,701,772
333,583,501,509,591,680
569,564,739,228,738,489
551,730,311,227,575,465
337,296,612,560,889,634
529,420,649,319,353,153
547,669,659,609,1017,583
688,484,566,516,576,754
630,752,682,596,473,561
432,577,449,297,807,372
611,708,444,813,779,553
567,888,538,231,375,609
565,454,683,665,515,643
596,283,576,830,484,400
800,365,572,548,394,469
407,280,276,546,945,351
628,669,683,601,536,428
611,449,597,423,639,487
403,338,762,681,770,528
553,466,472,452,418,564
399,557,646,463,380,764
113,447,721,570,545,449
494,711,471,619,1192,718
374,535,445,237,466,437
480,294,699,749,514,365
735,492,600,789,733,926
336,635,541,310,535,649
566,439,534,616,866,606
253,946,345,602,610,558
550,371,557,661,556,643
584,744,598,420,660,464
464,477,662,548,659,732
572,583,662,364,60,551
787,552,650,626,625,602
606,765,501,475,592,615
521,649,804,697,953,475
270,558,47,555,881,565
613,577,297,553,391,564
412,556,496,563,477,726
626,556,238,502,615,536
638,510,484,278,919,613
608,336,715,524,486,291
549,561,873,158,470,776
501,458,807,530,515,524
700,914,879,571,616,694
511,815,656,397,824,831
593,535,481,345,556,626
