Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, skewed
Ironwood,Glenhaven,Elmhurst,Zephyr,Ashford,Highvale,Oakridge
1150,1375,781,992,1089,1006,1028
1076,1029,1045,1553,991,1552,1254
1567,1449,877,817,1617,1260,1291
1222,1414,788,1167,1193,1371,1544
1041,1017,965,1566,1640,1289,1620
1047,1203,1016,797,1206,1551,1158
1131,1008,1227,1102,1322,1507,1239
1395,1126,1466,1223,1092,1287,1238
847,1473,1071,1346,1189,2120,1621
1244,1101,949,876,1441,1355,1320
832,1747,1058,939,1057,1272,1117
1085,1281,985,776,1269,1601,925
973,2040,932,1273,1254,999,879
1488,1729,970,1332,1542,1291,1136
1005,1669,991,854,946,1015,1077
936,973,1620,1029,1406,1730,851
1229,982,1119,1243,1078,1506,1340
876,1662,1532,1374,1053,1894,988
1193,1133,1111,1042,1213,1642,1848
1015,1000,1190,1091,1139,1145,1955
1252,997,1475,853,1105,1592,1470
911,1055,1687,1288,1893,1533,991
1301,930,942,1221,1060,1370,1078
1029,967,895,1487,1176,1234,1202
914,1067,1326,930,1357,1296,1784
981,1180,1476,1047,1436,1280,1475
1385,1002,1203,782,1396,1177,1182
1338,1140,1226,766,1038,1464,1779
1447,1778,918,846,985,1312,1194
1130,1046,1139,832,1310,1199,1447
1180,1048,768,1011,1041,1240,1823
1002,1397,820,1501,1018,1223,1610
1029,1419,1379,858,1077,1416,957
1103,2017,1160,754,1179,1583,984
1216,1129,1781,899,1528,1228,1019
900,985,861,1045,1318,2032,907
993,1323,846,1118,1150,1417,1189
881,1275,1235,1013,1099,946,1063
928,1059,1233,990,1438,1528,1347
914,1028,1035,886,1815,1391,1264
982,1027,1422,1446,1320,1946,1099
923,947,1079,962,1112,1044,985
1386,1190,1187,1082,2005,1418,1326
883,1006,1083,1007,1266,1188,872
1199,2291,1436,1002,1091,1099,989
1325,1288,989,1374,1149,947,1364
905,1612,1749,853,989,1127,1503
876,989,1399,1278,994,1175,1241
1219,1592,1496,791,1228,1128,1913
1058,1754,1157,1285,1034,1155,1226
1269,1285,930,1288,1392,1512,975
982,900,1033,1542,1159,1351,1360
1031,1418,1301,851,1215,1011,1233
928,1513,749,778,1051,1137,1173
1432,1278,1485,947,1250,971,1799
1236,1175,1038,1301,1140,1804,1557
873,1416,911,1710,958,1005,1280
1241,1999,1210,913,989,1637,882
976,984,1042,1383,1274,1077,1170
1433,954,812,1782,1095,1316,1182
995,1363,1136,1082,1124,1440,1203
1219,1067,1036,1186,1127,1259,969
1001,1217,975,1122,1586,1972,1517
1519,971,1290,879,1151,996,1033
1051,1097,848,820,1208,1378,1818
1256,1602,871,965,1132,1700,1302
1202,1791,1269,1640,1176,1523,1341
1236,1091,1723,823,1449,1309,1063
1215,997,1112,1281,1163,1217,1673
761,1554,1287,923,1594,1283,1236
1262,1621,1190,916,1555,1097,1461
841,1129,1763,1262,1176,1118,1231
1307,1471,1200,1280,1128,1276,1491
976,986,1593,798,1503,1350,1350
867,1210,1209,975,1060,1787,1493
1134,1058,838,1106,1761,1528,1136
1131,1035,841,809,1594,1029,871
1421,1323,1428,886,1540,1352,1128
1363,1030,911,902,1157,1302,1381
1175,1597,933,796,1288,1034,1413
1082,998,1204,1386,1705,1400,1636
929,1279,1142,1439,1399,1416,1004
905,1065,974,1928,1748,1506,1098
1145,1107,1059,753,1419,1131,1782
1595,1200,982,1052,1194,1637,949
962,1165,1381,1174,979,1292,1336
1434,1398,1718,967,1516,1036,1399
763,976,751,1400,1491,1409,974
1096,1168,908,1050,1625,1869,1251
866,1112,1120,1546,1302,1204,1333
882,1897,969,799,2161,1801,1770
1147,1087,959,1602,980,1700,1386
1071,1251,1428,746,1114,1421,1194
811,1102,1260,1830,1610,1371,1415
1302,1311,1022,1169,1916,1182,1247
1131,1826,1128,848,1395,1094,999
1139,964,1332,950,997,1304,997
1565,967,1375,875,1164,1527,1017
1025,1958,876,949,1970,1674,1311
896,1728,926,1044,1205,1101,1175
959,1276,1205,1132,929,1151,1011
1051,1394,935,954,1408,1109,1626
1157,1979,1703,906,1100,1944,920
1591,1257,1393,1151,1225,1673,988
857,1015,835,886,1353,1397,1238
1223,1208,809,983,1576,1781,1290
914,1334,1278,954,1449,1123,1602
1063,1240,963,1236,1435,1382,1465
1096,1337,1047,974,1209,1419,2058
948,1498,1051,1044,1755,981,1594
1227,900,1081,1328,1328,1342,1397
988,1070,815,797,1673,1610,1275
1013,1193,829,1046,1251,1836,920
1144,933,849,1301,921,1377,1124
909,2293,1311,1305,1413,1180,1231
904,1199,786,1136,1240,1382,1282
1081,1266,997,925,1375,2089,1256
1367,1736,963,797,1423,1612,1017
