Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, normal
Silver Grove,Lotus Temple,Hidden Valley
6835,12132,5434
8492,11287,10346
6411,5734,14844
6557,13916,10528
7440,11359,6385
6536,7179,14136
5951,7526,4994
4635,11118,6708
7252,7906,10992
13401,10801,10629
8583,12198,8016
8099,11298,6242
10122,6730,9366
6896,7738,7894
8528,6213,4289
9528,13148,10158
6135,5710,9709
7329,9310,9484
9336,7932,8015
6423,11517,9891
10368,4251,7388
4873,7630,7908
5558,11297,7029
6630,5917,7327
6558,8760,4756
2488,9855,11463
7732,5982,5238
9803,7167,10537
8207,8287,3371
9181,6396,6245
9053,4022,8951
3627,7475,9285
7985,13995,5166
6893,10047,6376
11152,9239,6619
6699,5930,5592
8942,11525,9243
8013,7501,5356
4590,8190,11785
6609,8505,4271
9008,7508,12662
8187,9362,11882
10502,4520,9292
8895,11083,5222
8417,8935,14969
9007,10051,6780
5351,2950,3073
6149,10741,3248
5294,8948,11178
8088,8454,9819
5740,4562,5662
7005,8953,9056
10142,8585,2974
11355,5344,5564
6242,10397,5174
8249,7743,10006
8113,7720,17114
2598,5010,7892
6772,6518,14529
5945,14164,8453
10253,3980,8753
5720,8597,9179
8770,2006,14130
7603,6485,5956
8846,13802,5657
5862,3311,6987
9907,10410,2595
9261,3664,5458
5700,5082,7333
9802,11199,13298
4385,10972,11143
7173,11552,4092
5934,8451,3879
6704,6668,12152
5025,6671,9206
6393,10597,2714
5008,10276,10454
5353,11996,6887
11192,3055,9318
7711,12791,5360
7734,162,13042
9764,8978,13136
6517,3510,9379
9212,10083,10207
7327,11739,6419
10121,7698,8347
9170,12294,9888
9171,11262,7758
7691,15333,11256
2789,12331,13630
8788,10143,5684
7376,7848,8613
5886,7103,9920
11122,10441,8988
5860,8444,9370
8632,12209,7078
8620,7844,11211
12433,11221,8570
7530,9954,1330
8134,10201,8223
9874,11837,9675
9063,8643,8133
7689,4540,6852
3951,9143,12317
7861,3542,8672
9635,9952,4114
6239,10657,4624
7163,6286,12149
9966,4899,13415
10790,5996,3282
12564,13729,5714
5225,8899,9874
8188,10497,4563
8392,12192,6458
10551,11406,3776
9904,11092,5569
10231,10196,6525
8195,8790,14177
5571,4094,2824
