Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Oakridge,Brookfield,Fairmont,Northgate,Zephyr,Springfield,Highvale
3217,4040,4486,2948,5126,4499,4786
3513,4532,4537,2860,5069,4179,5107
3522,4997,4577,2898,4965,4592,4879
3823,5185,4353,2784,4981,4700,5038
3402,5490,4735,2629,5046,4541,5015
3347,5340,4345,2748,5075,4540,4873
3500,5185,4546,2999,4864,4412,4540
2239,4863,4551,2964,5026,4827,4662
3252,4966,3795,2784,4762,4179,4638
3315,4649,4659,2696,4884,4482,4666
3401,4077,4702,2824,5028,4824,4892
4122,5919,4375,2868,4969,4390,5086
3252,5388,4709,2651,4939,4790,4946
3143,5070,4584,2804,5078,4429,4607
3221,5314,4345,2965,5143,4744,4943
3296,5100,4611,2731,4937,4592,4887
3428,5239,4560,2851,5090,4480,4896
3362,4755,4662,2764,5068,4598,5238
3209,5200,4482,2744,4980,4746,4763
3787,5188,4362,2991,5202,4751,4702
3144,5802,4425,2782,5162,4237,4599
3310,5795,4556,3031,5133,4260,5334
3476,5457,4486,2567,4946,4564,4920
3192,4824,4637,2877,5245,4606,4820
3941,5012,4555,2826,5003,4555,4934
3450,5997,4865,2860,5170,4746,4861
3304,5460,4497,2778,4852,4600,4848
3518,5248,4702,2736,5255,4868,4579
3041,5650,4681,3019,5137,4850,5028
3684,5578,4669,2607,5122,4519,5025
3668,5179,4711,2828,5078,4346,4545
3539,5589,4522,2594,5083,4319,4484
3161,5099,4836,2949,5125,4070,5044
3754,5012,4579,2942,4994,4747,4868
3503,4764,4695,3095,4981,4715,4894
3363,4316,4538,2887,4932,4542,4873
3146,5484,4704,2644,5290,4357,4895
3701,5038,4353,2891,4770,4457,4728
3126,5430,4647,2954,4786,4902,4875
3304,5422,4523,2598,4918,4394,5163
3377,5458,4584,2974,5223,4440,4840
3511,5179,4504,2502,4836,4589,4703
1227,5017,4513,2954,5085,4708,5004
3136,5304,4563,2748,5124,4677,4537
3705,4965,4512,2999,4995,4715,4858
3500,5185,4749,2704,5071,4485,4679
3344,4525,4394,2574,4842,4598,4794
3487,5793,4881,2906,5008,4317,4796
3390,4778,4654,2687,4784,4776,5252
4296,5514,4632,2804,4883,4753,4934
2711,5122,4532,2509,4955,4568,4735
3432,5017,4566,2905,4943,3903,4838
3578,4957,4442,2784,5250,4594,4731
3455,5076,4474,2761,4944,4542,4888
3380,5208,4543,2700,4991,4579,4564
3471,5499,4346,2959,4689,4291,4648
3263,5337,4789,2691,4977,4047,4808
2756,5271,4619,2855,5052,4533,4672
3565,5240,4686,2999,5252,4298,4967
3302,4456,4265,2881,5061,4863,4764
3558,4877,4541,3014,4992,4753,4896
3696,5451,4496,2778,5126,4068,4639
3660,5035,4466,2768,5155,4213,4887
3664,5214,4574,1800,5256,4890,4796
3216,5349,4391,2562,4975,4741,4753
3331,5383,4731,2810,4880,4497,4918
3026,5643,4321,2923,5041,4723,4672
3421,5047,4833,2803,5100,4658,4902
2959,4952,4616,2944,4976,4505,4929
3420,5126,4579,2817,5051,4534,4858
3459,4728,4602,2769,5005,4701,4670
3183,5422,4573,2869,5003,4564,4886
3195,5177,4675,2472,4898,4599,4737
3783,4546,4299,2695,5119,4649,4728
2824,4772,4651,2616,5078,4809,4761
3356,5864,4728,3004,5023,4548,4641
3615,5126,4457,2753,5232,4343,4675
3245,5263,4606,2824,5127,4401,4521
3586,4949,4757,2957,5100,4612,4706
3527,5414,4728,2715,4837,4743,4762
3312,4647,4285,2608,5183,4971,4826
2872,5189,4729,2620,5184,4656,4598
3266,5242,4272,2826,5287,4745,4935
3063,5217,4574,2952,5215,4564,4528
3501,4838,4701,2687,5029,4767,4909
3382,5420,4643,2528,5020,4438,4680
3629,5400,4393,2994,5284,4961,4799
3461,4863,4661,2943,5184,4731,4759
3418,5601,4418,2837,5059,4527,4774
3645,4679,4841,3121,4953,4540,4827
3864,4598,4628,2995,4778,4397,4834
3485,5047,4663,2815,4981,4869,4719
3219,5234,4578,2471,5167,4439,5072
3526,4904,4670,2772,4855,4576,4413
3956,4825,4731,2676,5019,4578,4865
3440,5022,4522,2574,5052,4528,4516
3542,5341,4634,2528,4969,4626,4876
3567,5188,4663,2841,5108,4749,4727
3194,5134,4482,1186,5091,4235,5037
3468,5075,4751,2719,4817,4357,4759
3065,5200,4694,2748,5027,4585,4887
3287,5092,4517,2850,5032,4457,4970
3433,5274,4717,2836,4957,4580,4902
3709,5269,4642,2748,4953,4700,4728
3524,4805,4465,2599,5084,4803,4620
3271,5202,4761,2661,5048,4483,4899
3679,4398,4850,2295,5066,4719,4869
3415,5393,4612,2796,5202,4617,4686
3665,5452,4274,2850,4738,4746,5010
4229,5023,4603,2613,5064,4339,4794
3067,4837,4782,2609,5125,4436,4795
3217,5597,4608,2870,5262,4227,4754
3066,5215,4790,2712,5167,4588,4857
3354,4889,4569,2773,5176,4127,5093
3377,5335,4495,3042,4911,4167,4781
3987,4874,4644,2689,4861,4420,4843
3229,5084,4427,2690,4784,4710,4833
3287,5249,4697,2244,4989,4322,5073
