Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, skewed
Vegetarian Restaurants,Dessert Cafes,Bakeries,Seafood Restaurants,Ice Cream Parlors
891,1006,372,529,219
548,609,399,1607,318
301,674,769,663,285
493,196,564,1280,437
167,1235,1003,605,321
607,604,175,1394,322
540,839,186,687,366
560,166,203,1007,399
680,717,175,599,565
371,680,490,158,671
1005,524,330,295,203
613,346,697,862,556
709,476,268,782,318
661,428,308,423,297
443,246,305,984,1081
559,568,710,591,641
515,420,820,356,588
709,602,618,648,261
689,253,359,528,339
645,525,377,1439,123
270,726,232,694,160
444,661,577,444,602
831,891,308,514,464
344,588,735,216,249
281,703,501,929,675
494,705,282,292,1089
476,534,308,755,232
584,706,170,355,563
895,455,233,540,559
1536,437,247,928,265
730,449,292,1103,281
1154,1250,647,842,306
588,774,597,227,933
189,1403,296,322,365
335,450,265,326,745
987,316,586,1250,276
271,898,698,1065,749
268,283,485,1329,338
1334,380,268,155,411
426,235,178,250,305
569,245,386,233,698
224,605,214,349,446
513,931,278,469,286
466,548,273,254,552
311,647,262,403,738
342,302,254,864,174
457,283,276,728,699
702,336,375,532,388
259,590,489,672,616
429,309,542,319,547
235,180,594,1585,350
419,553,196,912,1099
384,370,488,616,547
697,422,473,694,313
494,334,302,591,267
578,597,276,941,425
217,602,739,382,625
712,242,266,683,400
670,869,1008,220,560
701,775,204,821,667
357,498,591,1008,479
527,795,299,1154,612
998,399,278,1132,681
519,261,592,491,424
611,831,203,818,280
832,1219,421,902,402
550,336,408,738,635
997,805,455,1390,753
460,1110,510,510,892
607,307,317,797,630
998,720,1035,380,459
469,349,662,689,702
345,410,591,182,746
1101,234,225,1057,424
700,614,303,703,283
384,825,184,368,411
432,522,309,1333,260
664,634,619,517,503
988,447,325,585,135
435,670,1119,328,319
268,259,736,1032,636
714,297,493,1383,410
609,699,437,806,346
416,1009,683,409,351
685,932,299,609,492
311,486,280,1467,240
608,265,207,1043,575
546,761,304,772,390
839,1101,943,668,179
339,806,420,770,372
781,377,258,536,804
845,218,218,1278,526
279,371,820,153,917
556,395,337,377,296
545,485,778,643,273
1509,553,313,783,339
704,269,483,620,197
486,881,311,975,425
458,841,271,650,716
731,854,551,547,619
443,582,228,1329,349
669,547,269,385,695
561,1234,338,164,270
459,808,440,865,529
1054,658,274,580,418
803,469,302,520,678
579,244,227,570,912
1384,466,266,400,625
731,450,324,869,276
295,417,895,1101,626
695,850,620,355,857
783,298,728,746,334
372,254,470,1459,609
422,846,353,404,591
643,1248,587,477,488
378,220,341,279,867
632,402,641,251,580
382,685,727,595,435
