Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, normal
Hemp,Tobacco,Sorghum,Oats
7847,5208,3852,5040
10117,3257,4193,8089
10700,3657,4750,8725
8739,4275,5452,6931
7335,2860,5459,8081
9939,7162,1508,7310
6210,2950,4682,6731
6624,1266,5273,6109
8276,4299,5672,6951
10055,5297,5432,8446
8608,3649,5251,7001
8114,2730,5747,6739
8971,4440,4553,6680
5934,5874,5157,6396
9130,5200,6962,7150
9031,4410,5915,7604
10167,4584,3283,7618
9483,5394,6197,6534
9204,5516,2929,7237
5486,4016,6154,8446
6435,2894,6211,8786
7689,5171,3920,8869
8823,5128,3625,7388
8048,3961,5363,8154
9949,2691,5004,8035
8557,2121,4498,7267
8072,4237,4884,6838
7880,4155,5070,7744
10010,3695,4268,7847
8641,4594,4839,6473
6951,3779,6938,6006
8405,2648,3519,6725
7558,2690,4242,6694
9922,3376,6926,5697
6427,1875,7068,6657
7184,6312,210,7838
9387,2500,4828,6767
7225,5250,4372,7533
7763,4001,5662,6713
8138,4812,5129,7155
6376,3647,4520,8338
6407,4711,5381,7929
7699,6251,7213,7644
9530,5936,3526,6523
8835,2771,6383,8445
6963,8016,6119,7210
6714,5732,3294,6146
5881,4535,4124,6477
8286,4189,4929,7664
9801,2728,6051,6512
5822,5744,4342,7266
9714,2103,3660,7342
5962,6883,3916,7316
8761,229,3031,6286
9597,4051,6720,6844
8968,5002,2769,7329
6777,3708,3093,5361
6911,4922,5820,8533
6634,4272,5661,7530
8447,4849,3701,5850
8490,3563,5912,7388
6590,2653,5786,6313
5818,4280,6455,5618
8299,6550,4185,6944
7898,7297,5145,6721
7929,5300,4713,7169
8981,4334,6641,3897
5082,4040,6022,8550
8788,2701,4685,6970
8756,4658,4384,6459
1663,4786,3909,6771
9791,3990,4907,8753
6860,3889,6621,7654
9969,3845,6785,8612
5171,4423,6829,8655
8376,4833,4608,7258
7741,3052,3053,8296
6360,4593,3612,7245
8758,2922,4690,7394
8102,4598,4355,8395
7239,5229,5485,8076
8469,3741,5368,6519
8515,4190,5377,6594
10202,2732,5467,4904
6879,3708,6647,7229
6280,5020,7231,7487
6314,2442,3693,6318
9920,1977,4463,4336
4399,4257,5409,5139
7928,5851,4643,8329
6768,4444,4442,7901
6515,6246,5363,7835
9796,5745,5075,8234
5844,5965,4697,7295
6084,5216,3055,4239
4478,4577,3454,6636
8947,4383,4643,7456
8280,4501,6424,7633
6811,3732,5388,6352
7101,5233,5933,8079
7580,3205,3870,5827
6348,4279,6844,7466
7508,5125,5090,7498
8590,7421,4658,7635
5435,7228,6798,7677
8778,6007,6705,8432
8886,6873,3878,6885
7069,2929,4818,5672
5875,6525,3906,6190
8211,4243,6484,6911
7974,3451,4514,7398
6003,3471,4971,8410
7115,4368,3612,6623
9604,4104,5183,6773
6227,3456,4996,7291
8069,4716,5927,6228
8537,5128,5830,8181
7902,7152,2481,6462
