Science and Engineering, Research and Development Investment by Country, million USD, skewed
Elmhurst,Northgate,Creston,Mapleton
682,927,212,391
488,194,237,931
483,316,247,345
188,990,251,671
720,529,424,922
553,465,608,747
540,216,285,677
318,585,173,189
636,244,473,196
491,1017,224,1077
581,272,404,1009
643,268,942,252
162,601,460,552
462,468,262,420
696,411,134,444
776,763,527,644
619,743,581,360
494,1378,242,602
1146,271,185,284
433,581,481,474
424,364,388,447
289,1083,332,677
624,1678,219,229
1079,863,436,1151
613,1433,196,430
953,667,611,315
471,281,253,1264
589,897,544,890
332,393,480,783
472,832,320,800
307,525,532,1116
964,728,387,464
643,453,105,827
645,839,437,617
605,181,569,1419
286,260,422,472
493,933,223,1003
731,420,206,522
708,185,574,327
446,430,269,387
275,353,662,1216
602,413,372,736
353,274,132,507
497,563,641,719
545,321,742,272
497,123,411,353
405,433,758,367
503,224,608,246
552,476,398,331
223,746,371,161
475,837,455,1063
592,369,354,379
569,341,779,999
1070,559,178,972
875,162,282,587
378,750,395,773
1151,539,460,427
715,486,108,766
229,209,294,1295
749,437,412,697
438,577,182,650
834,905,368,236
460,843,398,1266
268,209,440,743
361,859,329,372
839,897,592,1216
580,1285,288,195
562,675,600,789
781,671,492,421
601,292,532,582
536,491,431,275
873,357,540,503
639,250,393,560
874,310,476,810
361,294,323,737
431,597,284,349
887,216,696,499
127,468,793,482
388,301,321,274
204,265,400,433
1106,457,512,533
417,285,272,387
784,230,355,1029
411,409,451,691
801,481,176,303
761,344,821,415
363,373,595,943
422,238,589,419
822,827,246,769
945,378,233,424
602,697,673,487
651,241,384,331
587,948,218,755
659,768,695,443
535,726,343,675
197,197,505,946
333,309,301,505
1057,1194,401,639
477,326,139,555
554,705,367,486
394,223,144,841
937,413,694,276
326,152,479,850
396,258,253,1642
393,438,878,811
523,588,398,508
463,289,348,258
598,312,442,369
736,477,528,414
473,503,189,964
634,402,456,495
510,571,313,702
802,377,547,467
292,387,228,553
473,400,481,568
512,411,156,1161
563,574,384,1297
422,202,376,593
