Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, skewed
Oakridge,Creston,Fairmont,Glenhaven,Dunvale,Westport,Ashford
1187,1235,912,1162,1112,1174,891
1383,1214,1127,1030,1020,1283,982
1508,1451,958,969,1140,1931,1302
1422,1415,1379,1344,1074,954,1002
1043,1228,1441,1034,945,1191,960
1003,1038,1504,1391,1066,1413,2032
1010,1368,1535,924,1537,1506,1153
1408,1438,958,842,1228,1288,1015
855,1073,1064,1153,1181,1170,1286
1340,1100,1250,1028,953,1078,1397
1189,898,1085,959,1327,1179,1063
1269,944,1738,1194,1183,1538,1374
1050,1409,1187,1056,1002,1813,1432
1082,1526,1252,1125,798,1251,1103
1207,1237,931,1067,1054,881,1331
981,985,1120,997,1164,974,925
969,956,1445,1187,886,1037,997
1098,842,1290,1621,929,1205,987
968,1057,1063,858,823,1230,1081
1087,936,1229,1821,1359,1750,2120
1182,1219,1307,1116,865,1312,1027
1357,1486,956,1742,898,1038,1212
1649,979,1571,974,1376,1270,1678
859,1056,1272,1339,1041,952,1301
904,1172,1044,1356,1118,1265,1430
1383,1086,1052,829,1271,1081,1526
938,1003,1568,1160,1206,1614,1267
1518,782,1925,1051,962,1243,1353
1566,1030,1201,882,1476,1323,1189
1227,1613,1237,1075,1064,1601,931
1184,1339,948,1795,1347,1121,1284
838,1195,1156,1041,1257,1180,1194
962,887,1177,1323,1033,1027,1774
1549,1304,1101,1071,1349,1451,1311
1123,1129,1049,1194,1197,1297,1702
917,834,1091,1770,953,1286,1082
1134,798,1337,916,964,1262,1994
1414,1482,894,1745,1832,1588,1055
1228,1219,1078,1077,824,951,1060
995,835,1777,1274,862,1725,967
1090,1087,1375,991,927,1531,1297
962,929,1357,1093,1034,1432,942
964,1211,1581,1529,969,1266,1204
1042,1300,1454,970,1359,1158,1103
1253,981,1372,920,1574,1310,1236
1042,1279,1560,1244,835,946,1196
950,1302,1156,1236,1462,1309,969
1060,1547,923,1275,1041,1175,1032
1199,1066,1089,1576,1085,887,997
925,984,1372,922,1212,1281,1018
1365,891,1148,907,945,1220,945
1287,905,1222,997,1391,1396,1529
1415,1052,1104,1114,1214,1077,1125
950,1004,1246,1029,921,1860,1120
903,1068,1072,981,1115,1357,971
1862,1071,1187,971,1159,1086,1107
837,1411,1194,915,1075,1000,1890
1360,891,1291,1346,1322,1657,1113
1071,1085,1029,1545,1198,1020,1160
1181,840,1234,970,975,1409,1472
1394,891,1376,856,875,1837,872
1322,1041,1306,1077,1163,1163,1804
951,1805,1344,1531,950,1374,1240
1214,975,1034,1171,1032,1261,1188
1127,1141,898,1264,1647,974,1077
1146,843,1085,1331,1042,1234,1331
1137,1287,1727,860,845,1181,1141
1219,1573,1026,1254,979,1183,1217
1188,1015,1721,1354,987,1070,1092
1241,1006,1193,975,965,1085,1104
1462,1273,1054,1740,1046,1097,1317
1294,1145,1051,1338,1445,1430,926
1197,901,1148,963,1354,1006,1622
1147,1301,1402,1300,1249,965,1624
1030,1015,1023,972,946,1119,889
1034,1269,1457,1135,1322,2133,1143
1052,1288,1099,1173,960,1050,1063
989,1234,1085,850,1411,1002,1041
1159,932,1132,995,1025,1437,1260
1245,1224,1166,968,1184,1014,1179
1698,1353,1225,1525,837,982,1226
1021,1478,914,1274,1204,1148,1278
1081,790,1540,1230,797,1343,2017
962,1202,1093,1529,1273,1029,1719
1079,837,1096,892,1104,1436,1214
1059,920,1160,1245,1450,1092,1005
905,960,1109,1112,1246,990,1226
1084,952,1609,1414,1058,1110,1353
926,1268,970,1212,1285,1193,1207
1319,1005,1203,1093,973,962,1434
1424,784,1004,905,1051,1258,954
1298,852,1074,1256,1141,1523,973
953,1402,1488,834,1451,1274,1235
1482,926,1223,1584,1169,1321,1087
888,858,1021,1247,1137,1161,1229
1292,939,957,1030,1448,1316,1668
915,899,1342,1010,1413,1626,1063
1157,1068,1337,1396,1792,2124,1235
1611,1029,996,1099,944,1166,960
1108,1105,1082,1137,2037,1008,1211
1151,1417,1134,912,1518,1273,1286
1016,1020,1112,1219,2031,2162,1071
1162,1369,1153,1093,839,1492,1225
1192,1709,1101,1118,939,1053,1331
1299,1097,1149,932,967,952,1012
908,987,1130,892,924,952,1289
1318,999,944,919,1643,980,1023
1070,1073,1266,874,851,1594,1267
1373,1046,1818,935,1242,1117,870
1063,1497,943,939,1585,1331,1192
1207,922,1190,1292,1072,1108,1540
1177,1194,906,1381,807,1077,958
929,904,1551,1533,862,1010,992
1080,824,1179,1310,1190,1189,1435
1474,1656,1378,980,934,1507,1125
1104,928,1240,1126,896,1203,1134
1359,1044,955,986,1051,1135,1194
1221,943,933,930,1040,883,1073
