Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, skewed
Studio,Co-op,Cottage,Duplex,Farmhouse,Beach House
1032,542,391,1042,439,451
1508,679,599,496,1508,1006
475,526,500,518,920,863
761,993,408,670,877,438
420,1069,748,367,439,1118
939,409,387,532,577,1404
620,467,443,701,532,577
654,328,1167,1013,920,606
930,580,551,707,525,685
1686,602,653,432,546,603
597,433,523,931,969,473
379,688,1174,645,611,723
354,653,630,551,742,671
617,747,416,655,781,1299
665,396,486,810,456,710
871,568,873,929,519,579
435,1175,590,624,419,901
442,511,658,573,977,480
1151,1065,640,414,336,593
798,620,435,498,596,662
1074,535,391,1096,636,541
581,469,778,1249,606,399
675,631,1195,540,897,464
780,947,503,864,990,435
398,632,470,554,874,693
680,559,668,661,491,767
974,440,595,416,557,574
469,657,881,1236,818,1262
542,493,951,913,321,606
697,481,977,769,535,423
671,635,539,585,401,489
341,1165,583,1191,320,899
744,586,378,847,664,565
552,569,608,925,353,716
673,443,757,924,1394,1285
959,554,748,1014,751,457
446,768,743,317,497,643
980,913,944,1136,343,579
424,339,497,562,297,539
332,802,563,400,450,324
794,570,749,480,1214,390
612,953,559,1214,362,1029
407,599,1583,665,885,511
593,474,722,459,395,798
460,514,645,693,592,1662
515,815,777,330,834,1569
500,1026,517,380,546,558
596,409,859,412,635,620
532,375,531,387,1448,997
1124,865,646,507,539,489
675,1156,592,843,585,400
634,789,589,579,529,398
1048,639,362,315,319,569
1402,810,585,590,595,462
647,788,369,573,565,1047
705,418,389,590,594,631
527,615,564,585,514,446
798,489,762,400,536,746
560,393,693,611,643,780
872,333,499,719,524,704
1047,529,1265,1020,417,551
397,367,573,784,825,930
913,359,486,896,659,490
649,423,658,628,628,575
1002,468,514,574,468,579
1075,766,505,724,1297,454
767,590,1327,665,1486,784
478,609,492,369,820,795
555,574,793,620,755,662
561,713,463,563,629,521
557,704,924,859,492,595
1324,640,561,879,570,638
821,1053,1080,1483,762,809
659,629,870,552,518,1117
894,520,659,448,657,650
635,585,449,494,557,726
917,475,506,723,452,888
376,759,643,554,850,1205
473,891,955,687,501,530
730,676,638,771,575,1003
452,407,1717,533,787,497
806,470,875,422,385,1079
827,1183,518,525,1144,640
431,731,337,366,501,795
457,797,440,533,655,1092
455,798,662,934,442,467
521,842,881,323,750,646
753,1004,1094,617,699,560
448,883,878,488,395,755
540,1212,795,593,364,654
375,447,690,711,681,335
1166,562,487,488,556,647
380,610,402,461,572,670
517,384,796,345,1045,395
735,374,490,494,708,574
427,589,577,609,430,951
887,881,449,434,337,464
832,1343,996,787,648,603
712,830,1028,581,530,809
519,647,430,1019,659,519
490,553,423,520,900,414
580,731,982,806,431,609
1161,1120,1235,791,1012,706
465,318,336,465,716,563
746,519,808,560,1124,675
664,1096,720,403,1251,668
505,566,521,530,563,454
350,967,694,399,407,356
684,710,883,663,754,533
396,756,835,745,690,696
762,591,356,673,557,687
588,612,829,408,408,480
350,654,416,715,561,737
970,762,785,437,343,1280
397,1111,880,432,549,585
848,1036,507,1245,306,794
390,998,1464,488,777,922
1211,710,1063,946,692,1064
