Energy and Utilities, Data on daily energy consumption accross cities, MWh, normal
Oakridge,Dunvale,Highvale,Westport,Northgate
2526,4777,3527,2985,4127
2585,4390,3396,3329,5018
2404,4596,3070,3168,5169
3033,4743,2833,2661,5204
2520,5309,3525,3242,5059
2486,4566,3405,3278,5201
2412,4848,3968,3241,5641
2134,4483,3909,3088,5411
2667,4353,3113,3487,4702
2957,4099,3043,2983,4618
2373,4732,3301,3678,4563
2456,4469,3559,2639,5242
2222,4683,2876,3345,4489
2092,4932,3872,3013,6053
2797,4789,3306,2960,5090
2290,4511,3606,3299,5338
2989,4751,3305,3003,5202
2185,5021,3126,3248,5635
2277,4775,2996,3294,6082
2009,3893,3108,2984,5562
2457,5075,3550,3038,5164
2593,4554,3627,2898,5086
2513,4440,3838,2917,5252
2290,4742,3833,2938,4986
2126,4516,3406,3341,5913
2430,4612,3088,3441,5726
2611,3923,3388,3130,4950
2630,4898,3397,3808,5520
2161,4438,3982,3096,5368
2282,3771,3067,3519,5901
2582,4747,3800,3542,5051
1987,5271,3270,3371,5085
1912,4496,3278,3080,5100
2832,4460,3028,2904,5213
2575,4347,3612,3765,4874
2775,4525,3567,3639,4516
2312,5057,3527,2854,5496
2195,4395,3266,2809,5024
2482,3980,3922,3342,4714
1833,4906,3456,2820,6142
2515,4717,3359,3786,4504
2210,4484,3463,3215,5956
2284,4803,3108,2740,5634
2702,4574,3296,2898,5069
2032,5246,3193,3521,5541
2255,4161,4001,3208,4967
2530,4106,3094,3382,5485
1910,4780,3801,3066,4743
2632,5099,3536,3012,5762
2146,4289,3666,3104,5283
2574,5283,3481,2706,4697
2592,4450,3255,2800,4946
2637,4733,3637,3530,5151
2791,4616,3670,2804,4742
2484,4508,3111,3274,5509
2166,4708,3683,3272,5521
2231,4779,2774,3751,5131
2410,4482,3489,2966,4792
2637,4214,3985,3718,5307
1844,4523,3108,2732,5462
2151,4523,3621,3083,4942
2354,4783,3291,3363,5158
2302,4988,3062,3656,5027
2413,4956,2758,3316,5534
2308,4809,3623,3573,5811
2668,5001,2967,2875,4884
2447,4812,2864,2782,5033
2216,4185,3621,3601,5241
2610,4588,3778,3392,5450
2197,4671,3807,3109,4975
2422,4903,3419,2789,5641
2929,4348,3872,3031,5076
2378,4602,3763,3106,5437
2476,4451,3203,3504,4811
2601,4254,3234,3426,4964
2617,4492,4144,2818,4815
2218,4640,2929,2995,5817
2311,4462,3303,2922,5760
2243,4937,3069,3229,5406
2377,4524,3217,3148,5357
2487,4528,3441,2933,5254
2376,4169,3830,2701,5224
2222,5231,3328,3045,4942
2288,4628,3251,2792,5635
1915,4279,3229,2859,5045
2512,4432,4163,3127,4706
2375,4685,3421,3545,5322
2027,4688,3980,2996,5070
2128,4717,3475,3092,5321
2648,4675,3948,3350,4711
2231,4638,3358,3268,4757
1565,4396,3673,3219,4392
2323,4661,4027,3617,4892
2002,4834,3666,2921,4992
2618,4710,3351,3044,4873
2747,4967,3286,3374,5079
2812,4593,3236,3303,5420
2953,4951,3398,3078,5584
1800,4834,3394,3500,5006
2323,4422,3265,3375,5975
2471,4772,3194,3079,5856
2560,4573,3181,3553,5085
2385,4808,3873,3257,5039
2942,4437,3807,3012,5051
2339,4533,4080,2541,5355
1835,4392,3048,3554,5193
2609,5152,3513,3380,5395
2798,4324,3635,3318,5406
2314,4156,3490,3375,5799
2679,4980,3180,3430,4669
2284,5203,3338,3322,5270
2042,4777,3007,3665,5593
2313,4614,3224,3228,5069
2237,5017,3074,3007,4857
2374,4365,3234,2781,5623
2248,4804,3867,3020,4457
2631,4362,3668,3256,5391
2837,4775,2968,2868,5362
