Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, t
Ashford,Yorkton
1789,2825
1996,2918
1564,2908
1610,2877
1967,2855
1992,2830
1768,2824
1803,2899
1807,2970
1692,2868
1393,2896
1790,2829
1952,2939
1814,2900
1976,2937
2027,2907
1821,2795
2329,2816
1922,2948
1891,2956
2207,2808
1727,2953
1883,2828
1935,2879
1742,2844
1695,2930
1638,2905
1899,2882
1650,2893
2071,2980
2061,2767
1992,2904
1876,2815
1755,2888
1728,2902
1995,2786
2005,2830
1736,2763
1683,2829
1738,2886
1918,2971
2033,2883
1701,2862
1753,2787
1882,2919
1658,2967
1825,2872
2218,2806
1795,2867
1869,2870
2006,2765
2061,2854
1738,2914
2065,2868
2006,2754
1757,2921
1739,2854
1829,2996
1884,2871
2026,2812
1506,2830
1993,2893
1839,2891
1911,2915
2229,2883
1718,2849
1637,2953
1842,2868
1876,2866
2067,2918
1678,2943
1670,2851
1918,2832
1761,2776
1716,2899
1857,3016
1716,2964
1804,2788
1850,2732
1776,2934
1774,2915
1745,2962
1787,2816
1834,2907
1517,2819
1949,2881
1716,2979
1523,2781
1801,2813
1748,2897
1631,2762
1906,2967
1930,2867
1660,2835
1708,2638
1761,3013
2257,2738
1814,2810
1725,2887
1748,2837
1791,2829
1892,2921
1740,2913
1966,2915
1875,2931
1895,2910
1923,2832
1637,2881
1861,3040
1813,2989
1861,2935
1747,2970
1624,2973
1914,2844
1899,2966
1854,2841
1438,2870
1911,2917
