Science and Engineering, Research and Development Investment by Country, million USD, skewed
Pinehaven,Dunvale,Quarryville,Creston,Ironwood,Fairmont,Springfield
246,559,823,1130,655,202,468
546,194,487,662,331,555,488
594,324,372,193,798,129,809
1039,222,531,1055,795,543,381
683,433,1512,992,829,557,382
785,738,475,589,867,639,809
767,515,480,151,529,690,890
349,278,590,292,1402,852,641
1137,589,397,305,1439,162,476
593,476,835,458,377,215,495
648,395,920,264,286,900,211
668,345,510,350,1192,622,288
479,472,204,609,1326,543,378
553,411,820,157,1708,288,334
604,394,555,324,597,753,817
1163,531,746,252,1003,590,645
1047,247,277,285,771,364,1434
423,533,583,474,311,426,1033
727,801,732,531,1332,316,405
792,760,617,606,1345,327,1044
326,604,326,977,757,472,340
979,302,989,527,414,833,424
315,529,783,1003,488,374,436
848,389,848,579,629,573,597
646,254,412,287,574,648,731
571,1129,376,335,586,147,513
470,612,783,163,197,413,435
368,365,367,260,675,625,1251
281,248,343,370,276,295,634
773,308,1095,923,162,397,862
879,855,562,277,932,769,295
481,852,546,197,498,294,788
732,508,299,1081,335,266,674
731,591,532,403,421,1040,727
532,284,340,217,276,375,618
227,406,481,389,279,255,990
415,786,721,261,975,808,965
880,332,1032,507,1057,561,499
161,676,545,547,1715,772,557
860,912,1238,244,691,295,535
407,649,799,205,309,342,874
392,1154,409,783,867,1296,489
439,378,244,184,510,539,390
303,610,278,215,390,401,392
484,396,407,463,665,498,909
366,386,856,882,750,543,469
297,640,759,552,774,1116,1050
316,538,324,702,724,552,615
1316,327,1111,187,297,285,953
722,765,873,590,853,145,392
551,519,475,625,615,356,676
1107,645,267,309,252,480,888
346,712,1152,463,496,222,246
705,1051,1054,109,1014,639,896
925,446,676,524,352,973,545
800,575,746,1060,449,318,327
444,468,984,419,562,980,570
887,716,524,552,934,688,380
636,723,902,195,653,455,298
310,736,585,690,487,615,863
438,485,256,392,930,560,285
781,530,394,359,139,519,1576
396,407,592,457,482,510,976
962,807,305,397,584,540,955
757,660,908,475,1488,474,145
340,692,410,660,933,767,465
270,926,411,534,617,232,1283
473,587,824,257,727,178,333
392,1273,696,409,1411,206,730
537,326,364,653,501,184,950
1337,1084,469,747,1034,456,767
816,776,368,773,972,298,832
727,434,441,401,210,1076,497
524,1102,452,355,707,1160,367
841,557,768,524,352,302,711
860,448,390,390,1052,673,766
1168,895,373,948,298,656,468
748,674,881,795,736,269,961
188,506,618,341,885,537,1002
839,973,450,539,653,164,195
459,704,787,549,630,444,862
606,722,1112,823,1215,1056,622
580,497,1068,485,536,695,409
753,644,892,396,689,806,1387
454,1106,1156,237,370,287,150
504,360,389,164,233,445,721
540,689,751,456,518,272,654
1198,646,783,304,1076,338,525
573,723,695,311,810,377,811
750,888,950,541,505,155,943
1045,694,1196,416,591,697,1541
528,298,352,431,373,579,834
618,390,293,724,555,733,561
856,621,394,425,304,257,418
645,598,647,173,1188,372,263
1212,230,368,255,217,414,1015
409,409,624,573,706,204,750
443,715,259,264,922,481,507
1291,728,338,126,953,325,639
305,877,427,207,1151,531,472
746,332,528,223,446,404,680
515,160,967,317,747,353,592
506,758,570,218,1103,537,1287
1118,460,284,372,794,270,454
817,699,363,1134,254,299,1046
991,320,706,312,552,302,925
687,333,409,620,137,581,281
240,566,463,978,1684,389,785
654,734,159,385,429,294,454
393,764,457,310,318,317,1266
406,836,704,1073,305,339,853
692,335,590,284,189,464,1507
488,195,651,237,441,536,385
1031,398,261,136,804,523,561
638,415,853,187,549,440,1237
600,655,212,483,380,288,337
490,725,364,745,333,345,513
654,375,398,621,907,552,635
