Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Oakridge,Dunvale,Quarryville,Highvale,Zephyr,Springfield
68645,48965,37654,54046,58476,42833
42978,74954,67066,54808,52842,42240
74732,26248,58601,71252,55043,92092
23308,81762,79648,38400,30142,51955
25744,100879,42760,32264,39724,52598
80572,34373,70895,91836,43170,71809
33250,42749,44382,59723,80829,78008
32424,63983,42421,51870,53064,31831
59347,39873,48774,25267,94287,66118
62393,64447,117635,67319,66980,49817
43596,54111,36675,34837,65702,94791
83025,33165,116460,49630,49957,60905
77705,36709,144519,126041,85905,56727
89030,33500,69583,38272,56248,41417
36552,26862,44399,47287,71553,50583
30615,71066,27335,42326,83638,64575
41926,82086,29466,68266,43761,32570
40943,53786,87254,60731,45480,38726
27239,66677,86133,51944,40722,34877
48316,32057,30671,34993,48983,59020
39821,77266,65885,39198,71960,49370
56583,59872,112663,50799,92536,107109
45593,67336,44998,110970,35608,40313
32292,88332,59250,72934,102378,53871
77279,33375,30082,59584,66200,56201
58429,73276,49573,36661,48088,55560
21869,37424,77224,25672,43317,84599
39706,81611,49153,46651,39012,65145
44678,56031,41246,77951,99614,83062
32956,36817,60129,29311,57682,52908
66137,49323,39117,32911,86661,66775
36513,51869,34512,81169,32116,46786
31860,44332,62227,44869,59408,56099
33545,37664,91155,88660,51018,74780
39798,107888,30132,96095,39019,77350
52424,72221,46983,64304,35785,66901
39643,24180,57919,39932,69625,39923
37898,27758,48551,68712,123038,68261
32450,45272,49382,65939,34034,37163
46020,36057,90648,36910,47392,79221
51515,80420,104327,41306,54034,68907
30396,42204,71677,38684,63252,69682
47294,96176,81341,48431,62565,60689
33023,51946,36221,31462,40916,64352
30853,86020,70156,87757,36382,94161
23183,35267,28473,79346,38000,51647
28058,48303,111755,29201,71769,39911
33532,26257,44845,58413,77525,40442
57967,57714,58597,33256,95295,30554
35933,99049,56783,92583,35818,53023
55173,87305,64451,98548,98119,38881
76070,47408,27850,24530,37123,46999
35493,34601,40366,74693,26974,73065
47519,28699,43839,106600,51284,56808
59617,53701,93407,62054,47584,55180
36844,105262,44247,50254,56929,86309
91351,55009,26680,42196,24364,72091
85632,51422,29180,39626,57164,82373
44743,31795,82162,27132,74134,55673
54156,81806,41294,71325,73381,43223
37832,29338,45197,74432,77323,45938
53089,52624,59816,50133,48780,57421
38907,62448,45284,72762,37324,43705
58439,110367,51721,41572,56677,42029
51144,87743,39347,52508,30041,98370
46359,48491,46455,53192,35837,44424
64109,36436,64810,32838,42261,67884
83602,28872,31621,45067,98831,60497
37370,24137,25688,33744,38360,50642
82523,38638,39223,48133,62194,30531
40198,99275,64127,28197,120169,34402
50874,72106,70516,34388,24887,73093
84750,69813,30281,49486,43705,100289
33571,63821,90065,70875,76987,95418
63426,44952,78540,58915,75360,100264
44132,23346,56849,41847,84899,39849
35202,57956,43059,54072,31887,46379
26124,32325,105747,45658,39977,26667
37263,47018,37444,67966,44695,48489
31626,45878,120803,62535,125246,63348
58480,40772,72736,43110,118875,30292
42000,91839,34657,125531,64376,66767
68230,50182,71487,54757,53560,58512
27195,52303,50901,34365,55184,53675
28849,40748,81593,75986,41821,49288
73520,55543,52712,122666,40431,51641
42484,40229,42801,64552,41824,40921
37255,113983,132725,35449,70820,81494
24310,99758,58323,76231,75425,49311
50773,57725,42298,48512,37592,46599
31484,35833,41282,70707,74526,77399
25480,34781,43809,44128,45999,53958
57877,39695,117126,29842,124472,58111
61763,65407,58215,52961,47016,67575
47713,52239,62656,63648,55527,51996
34480,35239,35899,73865,116450,36687
31709,77252,50190,87049,55675,78193
39599,35724,100968,51589,110447,81072
42796,30514,42965,31360,46866,68701
77454,40374,32097,62403,48833,45818
34534,67053,83701,44214,54443,33598
29107,50760,29727,52181,107863,45841
40971,145268,86457,88553,47108,27680
21645,60246,85835,89625,54065,51885
23629,67037,35234,56608,86164,37757
99085,103082,50446,37272,70945,80827
48515,116753,74409,73523,52566,84956
33037,30591,67405,51035,96206,37005
43183,85623,32690,69723,84259,50056
32128,33097,38506,32280,58537,39938
83760,53324,42927,51002,47337,104043
59969,81238,101934,30648,102752,65381
49810,102988,73931,37113,33650,43461
79262,66686,40860,33438,67937,29462
39492,55331,71455,41468,46772,51310
48525,61436,36815,34134,53359,59388
34011,33118,79375,45973,42150,53546
29803,48171,75439,62502,44203,45013
