Education and Academics, Data on employment rates in different schools, %, t
Glenhaven Academy,Silverton High,Elmwood Prep,Riverdale High,Oakridge College
84.8,80.24,85.48,83.73,77.78
80.33,85.34,83.69,84.04,78.3
75.45,82.53,86.41,88.62,81.38
82.68,70.81,90.03,84.23,76.56
87.7,90.66,90.19,86.96,73.9
85.37,91.85,87.05,90.2,85.11
84.84,81.65,85.8,76.12,81.46
78.26,89.7,91.28,85.4,87.99
76.86,83.4,86.34,84.65,75.43
83.09,77.54,89.12,84.77,93.33
85.83,79.84,88.92,90.88,86.31
83.22,97.25,84.47,88.21,85.31
84.56,82.49,87.14,98.06,76.66
84.58,90.84,86.78,86.99,75.84
82.74,77.69,86.69,85.73,67.42
82.58,67.31,91.41,89.7,77.34
81.49,85.6,86.08,76.03,82.2
81.03,82.49,87.11,80.56,81.07
83.45,80.25,85.31,83.11,79.53
83.66,72.46,85.86,90.44,79.57
84.92,81.74,86.7,89.12,76.14
83.53,77.78,87.63,84.22,81.17
82.5,87.79,83.76,89.6,81.98
83.47,90.49,86.88,84.34,83.93
83.06,92.25,84.23,84.75,90.82
83.84,82.06,88.58,93.46,78.68
82.57,82.4,86.61,89.69,74.6
81.24,84.48,86.55,85.44,77.42
81.37,75.01,87.59,95.17,80.76
82.76,89.65,90.66,90.83,78.77
82.36,77.41,88.55,93.28,77.02
84.26,88.92,86.5,76.06,81.34
86.92,79.94,91.75,88.78,75.71
83.05,95.23,86.81,84.4,78.1
79.22,101.58,88.54,81.57,92.88
86.45,82.36,88.33,90.81,81.95
81.92,69.4,84.0,85.66,85.76
83.14,86.01,87.02,84.04,76.15
83.34,86.84,87.82,86.47,88.09
81.65,86.49,88.05,90.79,80.74
87.89,89.02,84.92,86.65,79.57
85.62,81.34,88.95,90.74,75.29
82.69,89.36,83.99,86.97,78.6
85.01,84.43,87.29,87.57,86.54
79.85,71.79,85.69,88.87,81.71
83.63,80.0,88.84,85.69,79.57
76.13,83.31,87.1,86.22,63.11
82.14,82.83,86.86,81.18,76.93
79.78,82.59,79.91,86.9,74.83
82.01,76.97,87.53,88.54,86.85
86.77,66.14,86.39,92.67,77.71
80.63,87.18,87.37,79.49,84.92
86.15,93.58,89.6,89.39,76.06
82.61,83.51,89.18,80.77,75.47
84.43,87.24,91.96,86.45,67.57
83.21,101.35,84.18,77.31,84.44
86.7,85.29,85.9,87.91,78.6
84.91,82.61,91.92,76.6,83.9
81.2,83.74,87.75,88.47,81.01
86.07,90.85,89.25,87.88,75.85
83.96,79.12,83.76,84.89,81.84
81.87,69.9,86.18,85.7,79.26
84.06,84.11,86.63,90.33,87.83
84.08,83.75,83.83,85.62,89.66
85.07,97.84,86.33,93.41,84.65
82.22,67.99,86.83,93.22,80.56
84.24,85.15,85.65,84.53,82.64
80.11,79.78,85.32,90.41,76.49
83.98,69.04,86.91,92.66,85.81
82.29,82.14,90.07,87.95,80.62
88.99,84.33,89.19,84.43,51.43
81.86,84.63,87.04,82.55,77.14
82.04,79.96,86.44,90.52,79.9
82.24,88.79,90.66,84.26,82.56
85.31,75.03,86.65,83.12,78.36
87.17,81.7,88.42,84.67,86.44
80.8,78.35,87.43,83.5,81.55
80.75,86.09,87.09,80.28,88.79
82.01,80.2,94.12,96.28,90.6
81.47,83.6,85.66,75.15,78.19
80.34,82.1,84.01,88.63,74.24
83.15,81.04,88.19,94.06,81.86
81.99,81.65,93.15,82.76,80.55
83.84,78.05,87.36,95.3,82.01
83.41,83.89,87.52,84.73,75.66
82.44,81.16,85.63,78.18,80.79
83.92,82.66,84.91,90.81,77.46
85.49,84.48,84.5,86.27,68.68
83.55,84.44,87.91,86.76,76.56
86.73,87.97,86.78,82.81,78.67
83.14,98.09,86.47,87.81,83.66
84.02,83.29,87.04,79.34,82.95
83.93,91.84,87.38,84.9,82.27
86.21,79.64,90.01,84.82,73.98
81.66,81.74,94.87,87.1,86.57
84.2,88.05,91.52,85.11,78.14
79.98,86.14,81.24,80.64,76.39
84.17,74.51,87.14,85.25,85.21
82.33,108.83,88.63,91.88,80.89
85.04,89.82,85.06,88.44,81.53
77.26,77.05,85.73,87.47,84.99
81.31,95.6,91.26,85.77,72.0
83.26,86.95,86.31,87.45,76.5
85.53,84.96,90.43,91.49,76.13
82.11,84.6,87.74,84.65,74.21
80.74,86.06,88.28,85.25,74.19
83.5,80.52,89.77,90.48,83.85
86.32,92.31,89.75,85.81,84.55
84.13,90.9,91.56,87.51,77.83
81.62,80.18,85.64,92.14,74.23
82.41,71.48,83.48,86.54,81.13
82.06,74.2,84.88,85.35,76.71
81.39,83.34,85.97,90.67,80.83
83.72,88.53,91.09,84.85,81.72
78.61,76.73,88.19,79.19,77.87
80.78,75.36,87.56,88.51,82.02
86.46,85.36,89.54,96.99,77.62
80.49,80.49,86.93,86.15,83.3
83.38,83.41,89.32,86.02,81.71
85.49,78.69,93.26,85.88,80.37
