Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, skewed
Zephyr,Creston,Mapleton,Quarryville,Ashford,Northgate,Brookfield
1299,1170,2020,880,1240,1976,1144
1585,1448,1227,742,1021,1339,1096
1139,1414,1092,704,1194,1265,1006
2815,1235,572,872,1198,1450,1416
550,993,1307,493,624,1447,1630
952,2678,537,802,1476,686,1395
1589,1880,895,1077,1767,667,1344
1490,1037,629,596,945,1151,1734
993,1197,1133,1005,723,1079,1816
1762,1345,1376,996,715,1288,1301
737,1680,856,839,537,1167,1304
1034,2535,530,809,856,1486,1779
1289,2699,654,1189,989,825,1646
1235,940,860,619,848,1303,1292
2251,2145,1312,846,872,912,1640
1252,1378,692,729,1576,1457,1879
735,1689,1112,979,2279,908,974
1425,1849,893,1105,813,1293,1616
944,1849,1960,557,746,699,1448
1222,1805,1408,789,720,714,1534
2206,2248,1560,775,1157,1207,1459
642,1188,1791,906,1598,771,1594
1369,2789,544,835,1205,641,1070
1671,1514,810,806,754,1372,2466
363,1566,977,900,1091,748,1600
1063,2807,1095,1163,1612,1243,2368
1878,1391,1052,781,723,1065,1331
788,2040,1041,934,760,1121,1026
1274,1898,1344,712,1711,1051,1523
1231,1281,1165,1015,770,851,1099
1989,1484,1412,1108,747,952,1711
792,2020,2217,656,1682,750,1590
1225,1587,1355,586,576,761,1384
1636,2002,2154,960,1578,604,1708
691,1980,1081,791,1174,1396,2016
1640,2064,762,1057,715,1028,1355
1887,1230,1359,764,2115,871,2052
1223,1621,767,925,1313,1628,1639
767,2011,1737,824,649,767,1333
2510,1780,797,818,1013,995,1858
1395,2241,1600,661,1031,2084,1479
1843,1685,823,997,1355,1064,1943
1610,2974,875,686,1033,843,1309
1934,1548,647,1088,638,1523,2092
1666,1230,2270,818,1193,1833,1483
1723,2207,921,1147,2195,599,1762
3065,2412,848,827,837,1343,1479
1189,1094,804,671,866,1417,1515
1588,1256,1547,557,962,822,1013
353,1519,1096,732,1348,1843,1374
1253,1142,939,971,981,1190,1272
1245,822,615,605,995,1384,1354
1457,1607,834,672,841,792,1666
817,2212,905,626,1096,2084,1082
602,2032,535,799,832,792,1230
1556,1543,581,557,924,726,1514
1166,1476,911,899,511,1101,1547
1239,1451,841,1072,1431,1542,1969
2204,1955,551,629,1290,1471,1993
1473,893,1165,1156,892,1442,1189
1526,1331,2255,550,1061,851,1211
1069,1319,979,602,781,1082,1090
1385,1047,1054,521,534,1565,1222
924,1716,2173,641,1087,1164,1930
1576,1465,3184,1264,884,719,1603
1361,1323,924,1157,934,1802,1427
848,2041,1901,920,642,953,1658
1708,1038,764,645,571,1737,2172
1918,2580,775,1229,1168,1749,1370
754,1224,574,693,1289,1135,1141
2725,1900,883,596,1024,653,1433
941,977,737,1144,1580,1207,1257
1552,1693,585,761,1013,2088,1804
888,1106,1310,712,948,877,1419
544,1002,1188,761,1107,1453,1551
1296,2825,1175,705,502,859,1528
1322,1363,710,707,1495,831,1249
490,1131,783,661,822,1379,1606
1824,2346,1043,1283,2194,825,1570
912,929,887,461,708,1475,1389
868,2365,1467,886,2195,968,1418
1893,2541,1335,860,1232,920,1829
837,1224,410,1323,949,925,1651
859,1498,939,707,745,1271,2244
1339,1013,435,819,1344,3099,2003
1739,862,712,1141,1927,1139,1350
1657,1464,1406,1106,1138,725,1480
569,1670,2037,840,602,1837,1561
1956,1756,391,564,818,974,1572
810,2055,2571,601,1166,697,1597
1687,1525,1136,493,1483,2497,1546
557,1952,820,1193,625,697,1251
1238,1622,1043,564,1023,1092,1988
479,1537,1727,751,1296,1440,1330
988,1676,1313,979,964,1656,1895
983,2881,440,794,976,1022,1192
864,1256,1196,1401,1414,1394,1664
1279,1152,1279,636,1707,967,1524
309,1832,1935,1355,562,1608,1388
864,1936,436,664,1378,948,1351
1914,2899,930,856,1258,926,1715
1743,1729,921,763,682,1464,1267
1851,1869,1010,1068,1005,743,1115
887,1655,649,763,907,904,1202
1650,984,637,834,1027,2191,1039
1872,1621,1362,559,681,1793,2024
1772,1651,1127,615,1667,1989,1261
892,1753,832,642,816,892,1153
1819,1088,1317,1279,885,836,1026
917,1904,678,593,761,786,1318
643,1672,1272,928,1018,875,1286
748,1435,1169,946,978,1478,1084
1694,2203,953,857,960,783,1830
956,1369,1262,940,1512,850,1336
613,1027,576,1154,1072,1833,1896
822,1558,457,1091,854,1761,1216
815,2330,1233,680,1125,1077,1813
2828,1477,1287,677,1449,2382,1111
