Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Westport,Lakeview
53013,27835
44962,58874
59886,35661
45437,55310
46562,42934
74044,38165
51233,35798
61988,59794
38308,47656
58781,49034
50033,44921
67578,35737
47046,29228
69801,27591
51776,72106
44325,52238
49017,41404
39663,46037
58581,22853
76982,54204
59227,36917
41039,36728
51439,37204
49586,34558
48984,60013
45335,48952
51379,62179
66720,47522
33854,49786
47604,50964
59803,50002
63374,43298
39917,82680
64080,45547
61296,34424
32267,43327
48518,33298
58085,42525
53736,41587
42821,45046
53768,47507
50600,43915
47498,47294
59806,44571
38293,52925
54667,33784
68558,36011
63613,52861
50998,41399
55715,52370
59831,41432
24591,36238
37214,24359
50595,42713
42421,47569
57021,46068
60825,38338
64388,32698
31790,53871
44641,21105
50206,35566
57235,40789
35904,31866
45261,46778
70104,34756
36352,23719
62940,51368
42993,44538
46288,30511
65678,35174
49356,42014
57971,43261
65921,40458
62731,37470
53738,50717
35864,58977
68657,45345
56207,37335
59784,50796
40053,38120
61408,52155
58931,63318
62329,65975
58774,49412
53411,46646
51955,42506
64747,57710
32241,33040
63314,50274
55106,37528
22218,51836
42063,26674
39533,42297
54301,37263
68769,42928
50032,35582
52866,42295
45228,46728
46563,50747
51741,58982
38058,49922
38943,41093
52979,39574
37895,60321
51733,32443
38562,52764
41486,50315
54916,45489
50893,27068
53890,44161
36479,47608
50426,61700
65785,44591
49220,38970
55947,45820
48624,38200
45492,39613
58479,48403
57977,62010
55798,47925
