Business and Finance, Data on the monthly revenue of different companies, USD, skewed
CoreLogic,SmartHub,QuantumX,TechNova,PrimeVue,SwiftLink
81045,44882,39476,147784,55814,87392
135472,84817,58600,38606,80661,37419
32473,48608,58257,67754,63951,83987
48397,79240,88369,68668,44590,66584
21793,46370,117753,62127,61536,32393
28640,77422,43158,68655,37774,29915
34585,71485,80008,48269,52198,60924
160080,44502,83388,85233,27210,50204
154684,80304,55744,28277,86378,67197
99851,72594,66940,45709,57640,83912
41617,43322,43031,49861,35385,76557
73505,51699,57493,48974,63603,25275
68501,60110,144247,82105,103957,92294
83695,73966,55489,69006,37546,34787
85121,56835,32417,52091,102581,67318
41496,44706,74060,48207,55340,52782
62192,60794,53357,25861,55130,33182
47385,31509,34181,45999,49449,75634
47213,37168,46148,37107,73618,141644
41424,51191,63401,76768,31037,104575
52007,114588,50668,143129,67546,61487
29563,32889,20832,70320,52768,27003
56133,61436,58880,65574,76591,80222
71172,103718,79891,61661,65421,109321
125383,30329,36325,62607,67797,39149
70575,95960,66173,124550,118064,37262
36906,47718,28995,66595,70614,51649
81562,77999,31374,45064,68250,71005
41999,61407,39534,85226,47614,22912
30379,53963,103843,65698,93276,204019
36125,105284,52256,85322,71661,59211
26434,29703,71791,61923,45814,21858
50066,66305,67570,47823,47064,25000
95161,53503,84796,60613,94522,32671
28493,151308,133413,153691,48506,93313
36278,62569,43384,26833,53439,57884
101285,106509,42500,75729,37771,18634
33902,114061,50591,53809,41792,29575
49357,82104,38354,185109,53285,98552
82025,57198,90971,68654,31755,36585
95764,70946,44560,71884,33925,78122
92511,58126,62238,28190,49029,23883
85486,80938,103045,93280,63159,37703
35512,42066,45998,36777,38578,45690
52693,48969,36036,73219,92179,26788
129759,38667,76604,63868,41499,70407
52440,56808,33975,67773,61373,54521
51141,58017,24430,226254,99794,80381
82563,44941,83445,71736,52075,51671
41161,66247,33363,78120,100333,47717
45397,68794,101426,58168,82211,40852
94676,139949,28805,96114,32258,67536
72944,61247,30420,99066,40064,113304
64799,76698,122318,74475,31037,109720
78083,35812,52587,101176,29247,48848
112857,53342,29308,164674,68817,60630
52739,157747,95964,67890,24380,53061
62300,63965,71402,59944,89597,39824
66572,70073,91795,97634,40128,58489
53673,45993,85697,62203,78799,30705
60178,62082,28022,31035,50696,61586
120181,31613,73899,46678,60566,29929
109470,76072,44685,95457,42465,88188
38437,104160,33469,79512,57456,62616
108391,62014,59705,35066,43288,71598
42896,73211,69973,58798,99129,57785
44842,65955,55256,72887,33077,69256
99846,51762,86584,92651,56157,44074
27793,66012,62243,102591,42712,40789
42450,46977,43143,93750,68400,33349
53596,107717,61811,24793,62914,96987
83247,84013,118410,88402,56612,192830
73843,118205,90561,52468,48897,58422
76108,26861,33265,69856,25317,48504
54635,68855,69195,120126,73769,54232
110298,34323,40844,31612,38904,36385
119786,33726,86487,63410,96294,90369
43257,56885,106417,37008,45008,51634
43658,67081,85501,35511,88458,40847
135432,65235,55692,75812,63281,33583
24489,29213,82373,55905,82840,44156
76548,63245,36806,73894,46788,99171
53110,61691,48844,34579,28849,27741
63521,40746,42856,43153,93055,40335
54957,37318,43128,84681,52286,43585
33757,53445,123517,81218,41804,130076
57578,78539,74124,65448,52109,61758
28961,108340,69764,41304,113723,139118
69882,59000,51300,114297,53868,43939
53348,30186,55602,53415,87677,51210
105370,37979,58076,161423,43950,51892
55124,95119,270346,67655,88398,46673
43708,86691,76946,70671,34505,47871
57790,99295,60578,31006,54358,55325
64612,119970,33414,107128,45913,38284
42484,53894,32474,75390,58449,50755
54418,57606,40476,36230,39855,65155
21082,94529,25862,62592,29776,58643
73657,42664,62669,105350,83776,24565
66724,125162,44918,107508,56619,54655
37106,45824,124860,131552,57983,69867
48661,55899,54403,92013,63374,66147
62405,63586,48152,81359,45544,74272
55775,32511,63310,62831,41638,47201
44507,82285,73747,51090,26971,69375
110790,59586,41707,59862,92331,24773
72596,25441,55244,29939,32415,48333
45303,70965,48627,68457,50101,48992
30590,76550,63889,25536,36972,23474
69584,53222,97983,40103,27708,55087
53416,109600,32724,28863,32949,54339
30835,70941,45878,99992,62734,24211
55353,62539,135703,131231,75590,109238
50276,40319,40372,116032,38706,127916
44986,88642,65689,110186,50037,124621
41727,62691,23865,100050,125020,49893
36883,138049,66062,82928,43939,77044
64032,79935,27951,50285,35155,111627
42695,64772,96356,35857,36718,63165
52566,64427,47054,66166,107666,21366
