Business and Finance, Data on the monthly revenue of different companies, USD, t
PrimeVue,EcoCore
68288,53697
55434,36579
62683,35248
31063,41710
48647,46571
57498,26476
27550,37963
37395,65735
75847,70738
48074,46629
33281,63911
41837,33465
45951,33718
50143,51131
44489,56421
428,43893
58663,41194
46944,18882
24815,22878
38750,17769
31134,52170
16675,46854
36471,40039
53020,51012
54135,66619
52376,53325
44177,61227
51982,2687
26938,50869
36929,34229
43194,23946
19989,53311
60638,30541
43276,42949
35617,29873
56113,50841
37073,46655
47502,41673
65871,27340
67458,52625
19096,12731
31232,59375
41647,34040
45199,25001
25879,24450
35988,50948
72398,49402
47871,105063
32444,57080
41700,53396
48316,49342
41873,56582
49036,42603
44322,63006
41687,28831
30191,53181
62412,16352
42355,31011
32592,68830
37565,19985
33903,37537
38871,54739
45259,56266
72787,53022
89087,48541
66996,54302
39747,36131
51668,55488
46440,62085
29835,18562
32023,37566
36680,70102
26969,47403
51682,44072
49155,23786
66163,46114
47182,43024
15150,39277
51830,47485
23305,36355
51547,40320
54502,53473
13539,50754
44508,34189
39536,20999
35860,49478
86454,40604
66098,44462
12280,55204
47569,24196
59688,31765
21031,55571
45963,43667
52601,85436
45158,43206
34802,31007
41477,61220
41373,36872
60093,44821
30742,58803
57171,39962
26592,35501
35128,38733
57156,69307
42991,59079
42973,28734
38800,32405
51713,30409
64728,60930
12278,51927
60904,69077
63741,29469
47881,32445
76348,45850
34875,39132
41018,43043
38883,69604
11035,29221
69642,46794
